edge_id,source,target,sign,effect,pmid,inferred
E0001,N deficiency,Lateral_Root_Density,1,activation,35745438,False
E0002,CCRC,Lateral_Root_Density,-1,repression,12692319,False
E0003,CPTAF10,Lateral_Root_Density,1,activation,34573437,False
E0004,PIN,Lateral_Root_Density,1,activation,32082353,False
E0005,ATNRAMP6,Lateral_Root_Density,-1,repression,31608084,False
E0006,HY5,Lateral_Root_Density,1,activation,33868355,False
E0007,PYL8,Lateral_Root_Density,1,activation,32823728,False
E0008,Cedecea neteri,Lateral_Root_Density,1,activation,34576868,False
E0009,TEA031065,Lateral_Root_Density,1,activation,36235354,False
E0010,ATNPF6.3,Lateral_Root_Density,1,activation,20890965,False
E0011,SAGS,Lateral_Root_Density,1,activation,32424195,False
E0012,ANE,Lateral_Root_Density,1,activation,30372454,False
E0013,GRXS8,Lateral_Root_Density,-1,repression,32537558,False
E0014,salt stress,Lateral_Root_Density,1,activation,19783843,False
E0015,Cytokinin,Lateral_Root_Density,-1,repression,23054471,False
E0016,AGL44,Lateral_Root_Density,1,activation,26258667,False
E0017,AP,Lateral_Root_Density,-1,repression,24098050,False
E0018,WOX5A,Lateral_Root_Density,-1,repression,26621542,False
E0019,Zn deficiency,Lateral_Root_Density,1,activation,28596610,False
E0020,PYL9,Lateral_Root_Density,1,activation,35812959,False
E0021,A11,Lateral_Root_Density,1,activation,31461482,False
E0022,ZmNAC1 overexpressio,Lateral_Root_Density,1,activation,23171309,False
E0023,enhanced cGMP level,Lateral_Root_Density,1,activation,23500713,False
E0024,TDP6,Lateral_Root_Density,-1,repression,37216519,False
E0025,TIR1,Lateral_Root_Density,-1,repression,24194857,False
E0026,COP13,Lateral_Root_Density,1,activation,28377589,False
E0027,CYCLOPHILINS,Lateral_Root_Density,1,activation,29396465,False
E0028,CKX,Lateral_Root_Density,1,activation,26019251,False
E0029,Auxin,Lateral_Root_Density,1,activation,11862947,False
E0030,NI,Lateral_Root_Density,1,activation,31784105,False
E0031,CLV1,Lateral_Root_Density,-1,repression,26779239,False
E0032,NPF5.12,Lateral_Root_Density,-1,repression,31327740,False
E0033,SCDREB5,Lateral_Root_Density,1,activation,35463447,False
E0034,RADICICOL,Lateral_Root_Density,-1,repression,26728313,False
E0035,DFPM,Lateral_Root_Density,-1,repression,37763201,False
E0036,DROUGHT,Lateral_Root_Density,1,activation,36161329,False
E0037,epibrassinolide,Lateral_Root_Density,1,activation,35055009,False
E0038,IAA3,Lateral_Root_Density,1,activation,27402709,False
E0039,LBD18,Lateral_Root_Density,1,activation,23299420,False
E0040,excess Fe,Lateral_Root_Density,-1,repression,26468517,False
E0041,CLE1P,Lateral_Root_Density,1,activation,26188203,False
E0042,IAA27,Lateral_Root_Density,1,activation,37370022,False
E0043,Pi-starvation treatm,Lateral_Root_Density,1,activation,36982176,False
E0044,STM196,Lateral_Root_Density,1,activation,35009131,False
E0045,tzf1 tzf4 double mut,Lateral_Root_Density,1,activation,30892623,False
E0046,Fe conditions,Lateral_Root_Density,1,activation,27014280,False
E0047,Ulva extract,Lateral_Root_Density,-1,repression,30760853,False
E0048,T. atroviride,Lateral_Root_Density,1,activation,30401880,False
E0049,Sucrose supplementat,Lateral_Root_Density,1,activation,31823020,False
E0050,MYCOSUBTILIN,Lateral_Root_Density,1,activation,36501248,False
E0051,SIPHR1,Lateral_Root_Density,1,activation,37628968,False
E0052,FA,Lateral_Root_Density,1,activation,38414258,False
E0053,AXR2,Lateral_Root_Density,-1,repression,32082353,False
E0054,URM12,Lateral_Root_Density,1,activation,24466270,False
E0055,Overexpressing HvPT6,Lateral_Root_Density,1,activation,37179786,False
E0056,PROTODIOSCIN,Lateral_Root_Density,1,activation,34451648,False
E0057,FZB42,Lateral_Root_Density,1,activation,33281760,False
E0058,ALF4,Lateral_Root_Density,-1,repression,34201141,False
E0059,BBO,Lateral_Root_Density,-1,repression,26402640,False
E0060,less LCBs,Lateral_Root_Density,1,activation,21666002,False
E0061,Heterodera schachtii,Lateral_Root_Density,1,activation,38330218,False
E0062,ABA,Lateral_Root_Density,-1,repression,12581312,False
E0063,symplastic Fe,Lateral_Root_Density,1,activation,22234997,False
E0064,GH3,Lateral_Root_Density,1,activation,24285754,False
E0065,NARINGENIN,Lateral_Root_Density,-1,repression,33839683,False
E0066,SMXL678,Lateral_Root_Density,-1,repression,31465451,False
E0067,GBETA,Lateral_Root_Density,1,activation,27610112,False
E0068,Chronic salinity,Lateral_Root_Density,1,activation,36559645,False
E0069,BRZ,Lateral_Root_Density,-1,repression,21909364,False
E0070,LATB,Lateral_Root_Density,-1,repression,21307369,False
E0071,Ethylene,Lateral_Root_Density,-1,repression,21771812,False
E0072,JZ,Lateral_Root_Density,1,activation,34394158,False
E0073,HERBOXIDIENE,Lateral_Root_Density,-1,repression,36714729,False
E0074,ATIDD8,Lateral_Root_Density,1,activation,34768843,False
E0075,S deficiency,Lateral_Root_Density,1,activation,17063378,False
E0076,founder cells,Lateral_Root_Density,1,activation,33725093,False
E0077,CLE,Lateral_Root_Density,-1,repression,37836208,False
E0078,low nitrate,Lateral_Root_Density,1,activation,31993645,False
E0079,BIN2,Lateral_Root_Density,1,activation,30514299,False
E0080,AMMONIUM,Lateral_Root_Density,1,activation,24852366,False
E0081,A plant(s) lipocalin,Lateral_Root_Density,1,activation,34446443,False
E0082,NITRATE,Lateral_Root_Density,1,activation,34357701,False
E0083,IAA15,Lateral_Root_Density,-1,repression,36161329,False
E0084,rhizobacteria Y,Lateral_Root_Density,1,activation,32728116,False
E0085,KD,Lateral_Root_Density,-1,repression,38156797,False
E0086,N-isobutyl decanamid,Lateral_Root_Density,1,activation,20107026,False
E0087,NMIG1,Lateral_Root_Density,1,activation,32595686,False
E0088,GUS,Lateral_Root_Density,1,activation,23749813,False
E0089,Pi deprivation,Lateral_Root_Density,1,activation,29253184,False
E0090,MCLE26PR1A,Lateral_Root_Density,-1,repression,26188203,False
E0091,PIN6,Lateral_Root_Density,-1,repression,23922907,False
E0092,KOK2099,Lateral_Root_Density,-1,repression,35696560,False
E0093,CEPR1,Lateral_Root_Density,1,activation,32278327,False
E0094,AtGLR3.4 and AtGLR3.,Lateral_Root_Density,1,activation,26956369,False
E0095,MELATONIN,Lateral_Root_Density,1,activation,30563469,False
E0096,Changes in nitrogen ,Lateral_Root_Density,1,activation,36846704,False
E0097,PR,Lateral_Root_Density,1,activation,37487096,False
E0098,Pseudomonas rhodesia,Lateral_Root_Density,1,activation,33236245,False
E0099,GLUCOSE,Lateral_Root_Density,1,activation,31867028,False
E0100,Phosphate Starvation,Lateral_Root_Density,1,activation,33193499,False
E0101,AGR,Lateral_Root_Density,1,activation,34357701,False
E0102,Heavy-metal stress,Lateral_Root_Density,1,activation,26867625,False
E0103,PTRBHLH66,Lateral_Root_Density,1,activation,36499381,False
E0104,overexpression of Gm,Lateral_Root_Density,1,activation,32082335,False
E0105,ATTCTP,Lateral_Root_Density,1,activation,24040826,False
E0106,rosmarinic acid,Lateral_Root_Density,-1,repression,30586368,False
E0107,Antioxidant treatmen,Lateral_Root_Density,-1,repression,33839683,False
E0108,D15,Lateral_Root_Density,-1,repression,34446443,False
E0109,PGMADS41,Lateral_Root_Density,1,activation,36780966,False
E0110,ABCB21,Lateral_Root_Density,1,activation,31275345,False
E0111,ATM4,Lateral_Root_Density,-1,repression,29880735,False
E0112,GIGANTEA,Lateral_Root_Density,1,activation,35822517,False
E0113,TRICHODERMA,Lateral_Root_Density,1,activation,30401880,False
E0114,LR,Lateral_Root_Density,1,activation,38378170,False
E0115,ASA1,Lateral_Root_Density,-1,repression,9165751,False
E0116,S58,Lateral_Root_Density,1,activation,32120878,False
E0117,NH4CL,Lateral_Root_Density,-1,repression,28265297,False
E0118,KAEMPFEROL,Lateral_Root_Density,1,activation,33839683,False
E0119,NO,Lateral_Root_Density,1,activation,22523192,False
E0120,ATHO1,Lateral_Root_Density,1,activation,27014280,False
E0121,Osmotic stress,Lateral_Root_Density,-1,repression,19783843,False
E0122,Low N treatment,Lateral_Root_Density,1,activation,35304891,False
E0123,MIR163,Lateral_Root_Density,-1,repression,33860639,False
E0124,ATGSTU17,Lateral_Root_Density,1,activation,20935176,False
E0125,Low Phosphorus,Lateral_Root_Density,1,activation,16040660,False
E0126,CLE26,Lateral_Root_Density,1,activation,26188203,False
E0127,BRI1,Lateral_Root_Density,1,activation,31147541,False
E0128,DAR2,Lateral_Root_Density,1,activation,21749503,False
E0129,Overexpression of 35,Lateral_Root_Density,1,activation,33763299,False
E0130,GmEXLB1 overexpressi,Lateral_Root_Density,1,activation,31333686,False
E0131,ATEOL1,Lateral_Root_Density,1,activation,18435826,False
E0132,SpCdc25 phosphatase,Lateral_Root_Density,1,activation,22452972,False
E0133,STTM167A,Lateral_Root_Density,1,activation,37511608,False
E0134,Zn- or Fe-deficiency,Lateral_Root_Density,1,activation,34804090,False
E0135,ascorbic acid,Lateral_Root_Density,-1,repression,33839683,False
E0136,CRA20,Lateral_Root_Density,1,activation,31231328,False
E0137,BV,Lateral_Root_Density,1,activation,34858942,False
E0138,AUX,Lateral_Root_Density,1,activation,21640126,False
E0139,MFWRKY41,Lateral_Root_Density,1,activation,35937333,False
E0140,FR,Lateral_Root_Density,-1,repression,37360842,False
E0141,blocking of autophag,Lateral_Root_Density,1,activation,25831136,False
E0142,NPA,Lateral_Root_Density,-1,repression,22911780,False
E0143,IBA,Lateral_Root_Density,1,activation,30734619,False
E0144,Spectinomycin treatm,Lateral_Root_Density,-1,repression,29367414,False
E0145,IDA,Lateral_Root_Density,1,activation,31311120,False
E0146,1500mgL-1 concentrat,Lateral_Root_Density,1,activation,37055916,False
E0147,Trichoderma strains,Lateral_Root_Density,1,activation,28232840,False
E0148,FRUCTOSE,Lateral_Root_Density,1,activation,34597404,False
E0149,SPP,Lateral_Root_Density,1,activation,23542149,False
E0150,NIT1,Lateral_Root_Density,1,activation,38202315,False
E0151,ERF,Lateral_Root_Density,-1,repression,37537157,False
E0152,TOYOCAMYCIN,Lateral_Root_Density,-1,repression,19171357,False
E0153,Recovery of redox ho,Lateral_Root_Density,1,activation,22899086,False
E0154,MP1,Lateral_Root_Density,-1,repression,29300919,False
E0155,Nitrate responsive g,Lateral_Root_Density,1,activation,32326090,False
E0156,Blocking carotenoid ,Lateral_Root_Density,1,activation,34446443,False
E0157,CITRATE,Lateral_Root_Density,-1,repression,37142569,False
E0158,A. thaliana,Lateral_Root_Density,1,activation,28441533,False
E0159,naphthalene-1-acetic,Lateral_Root_Density,1,activation,20862254,False
E0160,DEXAMETHASONE,Lateral_Root_Density,1,activation,22523192,False
E0161,Mutant protein(s),Lateral_Root_Density,1,activation,19704831,False
E0162,decrease of endogeno,Lateral_Root_Density,-1,repression,23733053,False
E0163,pericycle cells,Lateral_Root_Density,1,activation,21966441,False
E0164,Loss of CuAOζ,Lateral_Root_Density,1,activation,28992128,False
E0165,High salt exposure,Lateral_Root_Density,-1,repression,19457582,False
E0166,PAT24,Lateral_Root_Density,1,activation,26802038,False
E0167,WL,Lateral_Root_Density,-1,repression,33868355,False
E0168,Weisiensin B,Lateral_Root_Density,-1,repression,31010613,False
E0169,Pi scarcity,Lateral_Root_Density,1,activation,19820337,False
E0170,SQR9,Lateral_Root_Density,1,activation,33548150,False
E0171,MIR393,Lateral_Root_Density,-1,repression,25222737,False
E0172,UPB14,Lateral_Root_Density,1,activation,36430578,False
E0173,BCWRKY33A,Lateral_Root_Density,1,activation,35836472,False
E0174,CLE2,Lateral_Root_Density,-1,repression,36340404,False
E0175,URM11,Lateral_Root_Density,1,activation,24466270,False
E0176,AXR4,Lateral_Root_Density,-1,repression,12396500,False
E0177,ectopic expression o,Lateral_Root_Density,1,activation,37108274,False
E0178,de novo organogenesi,Lateral_Root_Density,1,activation,18435826,False
E0179,PSK,Lateral_Root_Density,1,activation,19076296,False
E0180,single exposures,Lateral_Root_Density,1,activation,34240430,False
E0181,Glutathione depletio,Lateral_Root_Density,1,activation,35628560,False
E0182,NAA,Lateral_Root_Density,1,activation,18440929,False
E0183,RETINAL,Lateral_Root_Density,1,activation,34446443,False
E0184,ATGLR3.3,Lateral_Root_Density,1,activation,31632419,False
E0185,CEP1,Lateral_Root_Density,-1,repression,30759748,False
E0186,PFALAAT,Lateral_Root_Density,-1,repression,25830496,False
E0187,CO2,Lateral_Root_Density,1,activation,23183255,False
E0188,Sequence variation i,Lateral_Root_Density,1,activation,30930926,False
E0189,SWCNHS,Lateral_Root_Density,1,activation,32182044,False
E0190,Exogenous nitrate,Lateral_Root_Density,1,activation,34357701,False
E0191,ABI4,Lateral_Root_Density,1,activation,32041112,False
E0192,AUNPS,Lateral_Root_Density,1,activation,29637317,False
E0193,Limited soil nutrien,Lateral_Root_Density,1,activation,25831136,False
