test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
P001,ARF7,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'arf7 single mutant has reduced lateral roots', 'evidence_sentence': 'arf7 single mutant showed reduced LR formation', 'source': {'doi': '10.1105/tpc.106.047761', 'title': 'ARF7 and ARF19 Regulate LR Formation', 'year': 2007, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P002,ARF19,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'arf19 single mutant has reduced lateral roots', 'evidence_sentence': 'arf19 single mutant showed reduced LR formation', 'source': {'doi': '10.1105/tpc.106.047761', 'title': 'ARF7 and ARF19 Regulate LR Formation', 'year': 2007, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P003,IAA14,gain_of_function,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,22,"{'claim': 'slr-1/iaa14 gain-of-function has no lateral roots', 'evidence_sentence': 'Mutations in SLR severely affect LR formation; solitary root phenotype', 'source': {'doi': '10.1093/plcell/koab173', 'title': 'Auxin-Regulated LR Organogenesis', 'year': 2021, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P004,IAA28,gain_of_function,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,22,"{'claim': 'iaa28-1 gain-of-function has 10-fold fewer LRs', 'evidence_sentence': 'iaa28-1 gain-of-function mutation suppresses lateral root development', 'source': {'doi': '10.1105/tpc.13.3.465', 'title': 'IAA28 suppresses lateral root development', 'year': 2001, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P005,LBD16,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'lbd16-1 has reduced LR number', 'evidence_sentence': 'lbd16-1: 4.7+/-2.4 vs 8.1+/-2.8 WT (P<0.001)', 'source': {'doi': '10.1105/tpc.106.047761', 'title': 'ARF7 and ARF19 Regulate LR Formation', 'year': 2007, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P006,LBD18,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'lbd18-1 has reduced emerged LRs', 'evidence_sentence': 'lbd18-1 showed reduced LR density', 'source': {'doi': '10.1104/pp.109.143685', 'title': 'LBD18/ASL20 Regulates LR Formation', 'year': 2009, 'journal': 'Plant Physiol', 'verification': 'full_text_read', 'full_text_read': True}}"
P007,LBD29,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'lbd29-1 has reduced LR emergence', 'evidence_sentence': 'lbd29-1 showed reduced emergence', 'source': {'doi': '10.1186/s13062-024-00535-5', 'title': 'Shaping root architecture', 'year': 2024, 'journal': 'Biology Direct', 'verification': 'full_text_read', 'full_text_read': True}}"
P008,TIR1,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,decreased,False,Lateral_Root_Density,1,easy,1,True,30,"{'claim': 'tir1 has largest effect among single auxin receptor KOs', 'evidence_sentence': 'tir1 showed the largest effect on lateral root formation among single receptor KOs', 'source': {'doi': '10.7554/eLife.54740', 'title': 'Genetic analysis of TIR1/AFB auxin receptors', 'year': 2020, 'journal': 'eLife', 'verification': 'full_text_read', 'full_text_read': True}}"
P010,E2Fa,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'E2Fa KO decreases early-stage primordia', 'evidence_sentence': 'decrease in number of primordia; significant reduction in early-stage primordia', 'source': {'doi': '10.1105/tpc.111.088377', 'title': 'Auxin-Dependent Cell Cycle Reactivation through E2Fa', 'year': 2011, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P011,NAC1,overexpression,2.0,,,1.0,1.000606,WT,1.0,1.000606,0.0009,0.05,unchanged,increased,False,Lateral_Root_Density,1,easy,1,True,4,"{'claim': 'NAC1 OE increases lateral roots', 'evidence_sentence': '35S::NAC1 plants showed 1.6-2.6x more lateral roots', 'source': {'doi': '10.1101/gad.852200', 'title': 'NAC1 transduces auxin signal downstream of TIR1', 'year': 2000, 'journal': 'Genes Dev', 'verification': 'full_text_read', 'full_text_read': True}}"
P012,KRP2,knockout,0.0,,,1.0,0.994928,WT,1.0,0.994928,-0.0073,0.05,unchanged,increased,False,Lateral_Root_Density,1,easy,1,True,9,"{'claim': 'krp2 KO increases LR density by 40%', 'evidence_sentence': '40% increase in LR density (P<0.002)', 'source': {'doi': '10.1105/tpc.110.080002', 'title': 'CYCD2;1 and ICK2/KRP2 Modulate LR Formation', 'year': 2011, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
P013,KRP2,overexpression,2.0,,,1.0,1.000606,WT,1.0,1.000606,0.0009,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,4,"{'claim': 'KRP2 OE abolishes LR formation', 'evidence_sentence': '~100% inhibition of LR formation in 35S:ICK2/KRP2', 'source': {'doi': '10.1105/tpc.110.080002', 'title': 'CYCD2;1 and ICK2/KRP2 Modulate LR Formation', 'year': 2011, 'journal': 'Plant Cell', 'verification': 'full_text_read', 'full_text_read': True}}"
