test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,TIR1,knockout,0.0,,,1.0,1.124116,WT,1.0,1.124116,0.1688,0.05,increased,decreased,False,Lateral_Root_Density,1,easy,1,True,47,10.7554/eLife.54740
T002,AFB1,knockout,0.997,,,1.0,1.0001,WT,1.0,1.0001,0.0001,0.05,unchanged,increased,False,Lateral_Root_Density,1,easy,1,True,1,10.7554/eLife.54740
T003,AFB2,knockout,0.85,,,1.0,1.043978,WT,1.0,1.043978,0.0621,0.05,unchanged,decreased,False,Lateral_Root_Density,1,easy,1,True,38,10.7554/eLife.54740
T004,TIR1 AFB2,double_knockout,0.5,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Lateral_Root_Density,1,easy,1,True,46,10.7554/eLife.54740
T005,TIR1 AFB2 AFB3,triple_knockout,0.0,,,1.0,1.124116,WT,1.0,1.124116,0.1688,0.05,increased,decreased,False,Lateral_Root_Density,1,easy,1,True,47,10.7554/eLife.54740
T006,AFB4 AFB5,double_knockout,0.8,,,1.0,1.056483,WT,1.0,1.056483,0.0793,0.05,increased,decreased,False,Lateral_Root_Density,1,easy,1,True,40,10.7554/eLife.54740
T007,IAA14,gain_of_function,2.0,,,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1105/tpc.008110
T008,IAA28,gain_of_function,2.0,,,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1101/cshperspect.a039933
T010,IAA3,gain_of_function,2.0,,,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.3390/ijms20030486
T011,ARF7,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.106.047761
T012,ARF19,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.106.047761
T013,ARF7 ARF19,double_knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,decreased,True,Lateral_Root_Density,2,medium,1,True,67,10.1105/tpc.106.047761
T015,LBD16,knockout,0.5,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,66,10.1105/tpc.106.047761
T016,LBD16,overexpression,2.0,,,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.1105/tpc.106.047761
T017,LBD29,overexpression,2.0,,,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.1105/tpc.106.047761
T018,LBD16,knockdown,0.8,,,1.0,0.542178,WT,1.0,0.542178,-0.8832,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,60,10.1105/tpc.106.047761
T019,LBD18,knockout,0.5,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,66,10.1105/tpc.109.066480
T020,LBD29,knockout,0.5,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,66,10.1105/tpc.106.047761
