network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Merged 6 Traits,E0001,ABCB19,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0002,SMXL678,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0003,BES1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0004,HB53,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0005,SMXL2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0006,TRE6P,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0007,NO3,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0008,D2,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0009,HACR,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0010,Nitrogen,METABOLITE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0011,ATCRY1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0012,MAX2,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0013,Extended period of c,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0014,Copper deficiency,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0015,ADL1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0016,SLS,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0017,WT,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0018,BRC1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0019,Heterologous overexp,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0020,SAP11,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0021,KAI2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0022,PIN347,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0023,PP5,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0024,Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0025,GR5,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0026,ES10Y,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0027,Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0028,Effector protein(s),GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0029,shoot meristems,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0030,LCMAX1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0031,low red light to far,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0032,miR156,REGULATORY_RNA,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0033,EBE; (ERF114,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0034,CLAMT,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0035,nutrient availabilit,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0036,FHY3,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0037,CN,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0038,bioactive substance,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0039,ASU1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0040,LBO,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0041,Overexpression of Gh,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0042,HXK1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0043,PERK12,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0044,PIN1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0045,MIR171C,REGULATORY_RNA,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0046,BPTCP19,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0047,exogenous applicatio,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0048,Sucrose,METABOLITE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0049,AUX,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0050,production of long-d,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0051,Auxin,HORMONE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0052,environmental condit,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0053,A1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0054,PHYB,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0055,MECLA,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0056,CYP86A8,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0057,CARLACTONE,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0058,DEFOLIATION,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0059,Overexpression of Cm,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0060,Overexpression of At,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0061,ASL39,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0062,BPTCP8,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0063,(2R)-isomers,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0064,SPL15,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0065,cryptochrome 1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0066,PMF,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0067,D14,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0068,BPTCP14,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0069,Loss-of-function in ,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0070,Altered carotenoid p,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0071,alterations in carbo,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0072,CAND1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0073,SMAX1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0074,remaining MeCLA,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0075,Undefined hormone,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0076,initiation and growt,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0077,A. thaliana,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0078,Gibberellin,HORMONE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0079,CUC3,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0080,CLE42,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0081,VCTCP18,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0082,EBE,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0083,CUC2,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0084,Overexpression of Md,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0085,SPL9,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0086,Verticillium longisp,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0087,SUGARS,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0088,R_FR_Ratio,ENVIRONMENT,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0089,TDIF,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0090,ARR1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0091,RanBP domain-contain,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0092,ABA,HORMONE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0093,BRCA1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0094,CLE41,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0095,Red Light,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0096,BRC2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0097,ERF114,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0098,IPT,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0099,MBD9,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0100,MAX1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0101,Decapitation,ENVIRONMENT,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0102,AXR1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0103,AMS,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0104,CUC1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0105,AP2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0106,BRC,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0107,BrMYC2/3-1OE,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0108,FRI_COMPLEX,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0109,H3K36ME3,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0110,small changes in amb,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0111,Top SNPs,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0112,miR172,REGULATORY_RNA,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0113,GMIDD,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0114,ZmSnRK2.10,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0115,genetic variation,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0116,SA,HORMONE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0117,TCMP,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0118,ART1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0119,diurnal light intens,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0120,FT,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0121,atipk2β,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0122,non-functional gene(,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0123,Mild increase in tem,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0124,genetic background v,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0125,SPL,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0126,BAS1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0127,MED5AB,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0128,ATHDA6,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0129,SVP,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0130,genome size,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0131,NRPC7,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0132,ATTCP8,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0133,overexpression of Mt,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0134,deletion of gene(s) ,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0135,AT-SC35,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0136,EMF1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0137,FLM,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Merged 6 Traits,E0138,Ambient temperature,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0139,CSCOL8,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0140,UV,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Merged 6 Traits,E0141,quality of light,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
