test_id,phenotype_node,expected_direction,algebraic_predicted,algebraic_correct,ode_predicted,ode_correct,rwr_predicted,rwr_correct
PLEIO_001__Flowering_Time,Flowering_Time,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_001__Hypocotyl_Length,Hypocotyl_Length,increased,increased,True,decreased,False,increased,True
PLEIO_001__Plant_Height,Plant_Height,increased,unchanged,False,decreased,False,decreased,False
PLEIO_002__Flowering_Time,Flowering_Time,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_002__Hypocotyl_Length,Hypocotyl_Length,increased,increased,True,decreased,False,increased,True
PLEIO_002__Shoot_Branching,Shoot_Branching,decreased,increased,False,increased,False,increased,False
PLEIO_003__Hypocotyl_Length,Hypocotyl_Length,decreased,increased,False,increased,False,increased,False
PLEIO_003__Plant_Height,Plant_Height,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_003__Seed_Size,Seed_Size,decreased,increased,False,increased,False,increased,False
PLEIO_004__Hypocotyl_Length,Hypocotyl_Length,decreased,increased,False,increased,False,increased,False
PLEIO_004__Plant_Height,Plant_Height,decreased,unchanged,False,unchanged,False,unchanged,False
PLEIO_004__Seed_Size,Seed_Size,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_005__Flowering_Time,Flowering_Time,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_005__Hypocotyl_Length,Hypocotyl_Length,increased,unchanged,False,decreased,False,decreased,False
PLEIO_005__Plant_Height,Plant_Height,increased,unchanged,False,unchanged,False,unchanged,False
PLEIO_006__Hypocotyl_Length,Hypocotyl_Length,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_006__Plant_Height,Plant_Height,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_007__Flowering_Time,Flowering_Time,increased,unchanged,False,decreased,False,decreased,False
PLEIO_007__Hypocotyl_Length,Hypocotyl_Length,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_008__Hypocotyl_Length,Hypocotyl_Length,increased,increased,True,decreased,False,increased,True
PLEIO_008__Lateral_Root_Density,Lateral_Root_Density,increased,increased,True,decreased,False,decreased,False
PLEIO_009__Lateral_Root_Density,Lateral_Root_Density,increased,increased,True,increased,True,increased,True
PLEIO_009__Shoot_Branching,Shoot_Branching,increased,decreased,False,decreased,False,decreased,False
PLEIO_010__Lateral_Root_Density,Lateral_Root_Density,increased,unchanged,False,decreased,False,decreased,False
PLEIO_010__Plant_Height,Plant_Height,decreased,unchanged,False,unchanged,False,unchanged,False
PLEIO_011__Plant_Height,Plant_Height,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_011__Seed_Size,Seed_Size,decreased,unchanged,False,unchanged,False,unchanged,False
PLEIO_012__Flowering_Time,Flowering_Time,increased,unchanged,False,unchanged,False,unchanged,False
PLEIO_012__Lateral_Root_Density,Lateral_Root_Density,increased,increased,True,increased,True,increased,True
PLEIO_013__Lateral_Root_Density,Lateral_Root_Density,decreased,unchanged,False,decreased,True,decreased,True
PLEIO_013__Plant_Height,Plant_Height,decreased,unchanged,False,unchanged,False,unchanged,False
PLEIO_014__Hypocotyl_Length,Hypocotyl_Length,increased,unchanged,False,unchanged,False,increased,True
PLEIO_014__Plant_Height,Plant_Height,increased,unchanged,False,unchanged,False,unchanged,False
PLEIO_015__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,True,decreased,True,decreased,True
PLEIO_015__Plant_Height,Plant_Height,decreased,unchanged,False,unchanged,False,increased,False
