test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
PLEIO_001__Plant_Height,DELLA,knockout,0.0,,,1.0,0.973381,WT,1.0,0.973381,-0.0389,0.05,unchanged,increased,False,Plant_Height,1,easy,5,True,47,10.1038/s41477-017-0003-y
PLEIO_001__Hypocotyl_Length,DELLA,knockout,0.0,,,1.0,9.900777,WT,1.0,9.900777,3.3075,0.05,increased,increased,True,Hypocotyl_Length,1,easy,5,True,47,10.1038/s41477-017-0003-y
PLEIO_001__Flowering_Time,DELLA,knockout,0.0,,,1.0,0.990618,WT,1.0,0.990618,-0.0136,0.05,unchanged,decreased,False,Flowering_Time,1,easy,5,True,47,10.1038/s41477-017-0003-y
PLEIO_002__Hypocotyl_Length,PHYB,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,5,True,32,10.3389/fpls.2022.952214
PLEIO_002__Flowering_Time,PHYB,knockout,0.0,,,1.0,0.991953,WT,1.0,0.991953,-0.0117,0.05,unchanged,decreased,False,Flowering_Time,1,easy,5,True,32,10.3389/fpls.2022.952214
PLEIO_002__Shoot_Branching,PHYB,knockout,0.0,,,1.0,9.999901,WT,1.0,9.999901,3.3219,0.05,increased,decreased,False,Shoot_Branching,1,easy,5,True,32,10.3389/fpls.2022.952214
PLEIO_003__Plant_Height,BRI1,knockout,0.0,,,1.0,0.973732,WT,1.0,0.973732,-0.0384,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,30,10.1104/pp.111.4.671
PLEIO_003__Hypocotyl_Length,BRI1,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,30,10.1104/pp.111.4.671
PLEIO_003__Seed_Size,BRI1,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,decreased,False,Seed_Size,1,easy,1,True,30,10.1104/pp.111.4.671
PLEIO_004__Plant_Height,DET2,knockout,0.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,30,10.1104/pp.113.217703
PLEIO_004__Hypocotyl_Length,DET2,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,30,10.1104/pp.113.217703
PLEIO_004__Seed_Size,DET2,knockout,0.0,,,1.0,0.987497,WT,1.0,0.987497,-0.0182,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,30,10.1104/pp.113.217703
PLEIO_005__Flowering_Time,SPY,knockout,0.0,,,1.0,0.992112,WT,1.0,0.992112,-0.0114,0.05,unchanged,decreased,False,Flowering_Time,1,easy,NA,True,11,10.1105/tpc.5.8.887
PLEIO_005__Hypocotyl_Length,SPY,knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,NA,True,11,10.1105/tpc.5.8.887
PLEIO_005__Plant_Height,SPY,knockout,0.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,increased,False,Plant_Height,1,easy,NA,True,11,10.1105/tpc.5.8.887
PLEIO_006__Plant_Height,Gibberellin,knockout,0.0,,,1.0,0.986778,WT,1.0,0.986778,-0.0192,0.05,unchanged,decreased,False,Plant_Height,1,easy,5,True,56,10.1093/jxb/50.337.1351
PLEIO_006__Hypocotyl_Length,Gibberellin,knockout,0.0,,,1.0,1.004808,WT,1.0,1.004808,0.0069,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,5,True,56,10.1093/jxb/50.337.1351
PLEIO_007__Hypocotyl_Length,PIF4,knockout,0.0,,,1.0,1.004808,WT,1.0,1.004808,0.0069,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,5,True,51,10.1016/j.pbi.2021.102111
PLEIO_007__Flowering_Time,PIF4,knockout,0.0,,,1.0,0.991953,WT,1.0,0.991953,-0.0117,0.05,unchanged,increased,False,Flowering_Time,1,easy,5,True,51,10.1016/j.pbi.2021.102111
PLEIO_008__Hypocotyl_Length,HY5,knockout,0.0,,,1.0,9.996104,WT,1.0,9.996104,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,5,True,42,10.1093/plcell/koac358
PLEIO_008__Lateral_Root_Density,HY5,knockout,0.0,,,1.0,2.142531,WT,1.0,2.142531,1.0993,0.05,increased,increased,True,Lateral_Root_Density,1,easy,5,True,42,10.1093/plcell/koac358
PLEIO_009__Shoot_Branching,MAX2,knockout,0.0,,,1.0,0.921057,WT,1.0,0.921057,-0.1186,0.05,decreased,increased,False,Shoot_Branching,1,easy,1,True,30,10.1007/s00425-010-1310-y
PLEIO_009__Lateral_Root_Density,MAX2,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,30,10.1007/s00425-010-1310-y
