test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
FT_T001,AGL15,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,agl15 agl18 (double): Early flowering under short-day conditions; elevated FT,,,Arabidopsis thaliana,
FT_T002,AGL18,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,agl15 agl18 (double): Early flowering under short-day conditions,,,Arabidopsis thaliana,
FT_T003,AGL24,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,agl24 loss-of-function: Late flowering under both long-day (LD) and short-day (SD) conditions,,,Arabidopsis thaliana,
FT_T004,AGL24,overexpression,,,,WT,Flowering_Time,increased,strong,,,,,,35S:AGL24 strong lines: ~4-6 fewer rosette leaves at flowering (LD); ~20 fewer leaves (SD),,,Arabidopsis thaliana,
FT_T005,AGL28,overexpression,,,,WT,Flowering_Time,increased,moderate,,,,,,overexpression of Arabidopsis AGL28 causes early flowering through increasing FCA and LD expression.,,,Arabidopsis thaliana,
FT_T006,AHL15,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,"ahl15 showed accelerated vegetative-to-adult transition, reduced number of leaves without abaxial trichomes.",,,Arabidopsis thaliana,
FT_T007,AHL15,overexpression,,,,WT,Flowering_Time,decreased,strong,,,,,,p35S:AHL15 showed significant delay of flowering under both SD and LD conditions.,,,Arabidopsis thaliana,
FT_T008,AP1,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,AP1 loss-of-function: Chimeric inflorescence-floral meristems with secondary flowers (delayed floral commitment),,,Arabidopsis thaliana,
FT_T009,AP1,overexpression,,,,WT,Flowering_Time,increased,strong,,,,,,LFY is expressed prematurely in the converted floral meristems of plants constitutively expressing AP1,,,Arabidopsis thaliana,
FT_T010,AP2,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,ap2 Accelerated flowering: 25.3 +/- 1.4 leaves (SD) vs. 47.8 +/- 2.1 in wild-type,,,Arabidopsis thaliana,
FT_T011,APRF1,knockout,,,,WT,Flowering_Time,decreased,weak,,,,,,aprf1 T-DNA insertion weakly delayed flowering; synergizes with sdg26.,,,Arabidopsis thaliana,
FT_T012,ARP6,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,"SWR1 complex mutants (pie1, arp6, swc6): Early flowering, temperature-insensitive",,,Arabidopsis thaliana,
FT_T013,AtNDX,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,eoc1 (AtNDX-deficient): COOLAIR elevated; FLC upregulated; Late flowering,,,Arabidopsis thaliana,
FT_T014,BBX19,overexpression,,,,WT,Flowering_Time,decreased,moderate,,,,,,BBX30 and BBX31... their overexpression causes late-flowering phenotypes by repressing FT expression,,,Arabidopsis thaliana,
FT_T015,BRM,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,brm-3 mutant: Early flowering (loss of negative regulation),,,Arabidopsis thaliana,
FT_T016,BRM_GA1,double_knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,brm-3 ga1 shows rescue toward earlier flowering (brm suppresses ga1 late flowering),,,Arabidopsis thaliana,
FT_T017,CBF,knockout,,,,WT,Flowering_Time,unchanged,weak,,,,,,cbfs exhibits a normal vernalization response,,,Arabidopsis thaliana,
FT_T018,CBF1,overexpression,,,,WT,Flowering_Time,decreased,moderate,,,,,,Late flowering phenotype of CBF overexpression line is caused by increase of FLC expression,,,Arabidopsis thaliana,
FT_T019,CBF2,overexpression,,,,WT,Flowering_Time,decreased,moderate,,,,,,"FLC expression was increased more than twofold in 35S-CBF1, 35S-CBF2, and 35S-CBF3",,,Arabidopsis thaliana,
FT_T020,CBF3,overexpression,,,,WT,Flowering_Time,decreased,moderate,,,,,,"FLC expression was increased more than twofold in 35S-CBF1, 35S-CBF2, and 35S-CBF3",,,Arabidopsis thaliana,
FT_T021,CBP20,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,fri cbp20: Early flowering; FLC reduced,,,Arabidopsis thaliana,
FT_T022,CCA1,overexpression,,,,WT,Flowering_Time,decreased,strong,,,,,,"CCA1-OX: elongated hypocotyls, late flowering, arrhythmicity",,,Arabidopsis thaliana,
FT_T023,CDF1,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,"The gi cdf1235 quintuple mutant suppresses late flowering of gi mutants, restoring photoperiod-dependent flowering",,,Arabidopsis thaliana,
FT_T024,CLF,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,swn7clf28 showed similar fold-repression as Col_FRI during 4 weeks of cold but this repression is not maintained after plants are returned to warm conditions,,,Arabidopsis thaliana,
FT_T025,CLF,knockout,,,,WT,Flowering_Time,decreased,weak,,,,,,Loss of CLF leads to increased FLC expression although to a lesser extent than that observed in fca or fpa mutants.,,,Arabidopsis thaliana,
FT_T026,CO,knockout,,,,WT,Flowering_Time,decreased,strong,,,,,,co shows late flowering in LD,,,Arabidopsis thaliana,
FT_T027,COLDAIR,knockdown,,,,WT,Flowering_Time,decreased,moderate,,,,,,"about half of transgenic lines...showed compromised vernalization response, flowering late even after vernalization",,,Arabidopsis thaliana,
FT_T028,COOLAIR,knockout,,,,WT,Flowering_Time,decreased,weak,,,,,,unspliced FLC transcript levels in both TEX1.0 and TEX2.0 reduced more slowly than in wild-type controls,,,Arabidopsis thaliana,
FT_T029,COP1,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,"cop1 displays early-flowering phenotype under SD, which is largely related to the change of CO abundance",,,Arabidopsis thaliana,
FT_T030,CRY2,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,cry2 mutant: Late flowering under long-day (LD) conditions; normal flowering under short-day (SD),,,Arabidopsis thaliana,
FT_T031,CRY2,knockout,,,,WT,Flowering_Time,decreased,moderate,,,,,,cry2: Extensive delay in flowering under low temperature,,,Arabidopsis thaliana,
FT_T032,DELLA,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,della pentuple mutant: Early flowering vs. WT (L_er),,,Arabidopsis thaliana,
FT_T033,EFS,knockout,,,,WT,Flowering_Time,increased,moderate,,,,,,Induced levels of VIN3 by vernalization are significantly lower in elf7 and efs mutants,,,Arabidopsis thaliana,
FT_T034,ELF3,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,"elf3-1: elongated hypocotyls, early flowering",,,Arabidopsis thaliana,
FT_T035,ELF3,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,elf3 mutant: Early flowering (more pronounced under SD than LD),,,Arabidopsis thaliana,
FT_T036,ELF3,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,elf3 mutants: Constitutive warm temperature responses,,,Arabidopsis thaliana,
