node,node_type,activators,inhibitors,formula
ABCB19,,,,ABCB19 = 1.0 * 1.0 * gene_modifier + exogenous
Shoot_Branching,,"SMXL678,BES1,TRE6P,D2,ATCRY1,MAX2,Extended period of c,Copper deficiency,ADL1,SLS,Heterologous overexp,SAP11,ES10Y,Cytokinin,shoot meristems,miR156,EBE; (ERF114,nutrient availabilit,FHY3,ASU1,LBO,Overexpression of Gh,HXK1,PERK12,PIN1,environmental condit,A1,CYP86A8,DEFOLIATION,Overexpression of At,ASL39,SPL15,Loss-of-function in ,Altered carotenoid p,alterations in carbo,CAND1,initiation and growt,CUC3,CLE42,EBE,CUC2,Verticillium longisp,SUGARS,TDIF,RanBP domain-contain,BRCA1,CLE41,Red Light,ERF114,IPT,MBD9,Decapitation,AXR1,AMS,CUC1,BrMYC2/3-1OE","ABCB19,HB53,SMXL2,NO3,HACR,Nitrogen,WT,BRC1,KAI2,PIN347,PP5,Strigolactone,GR5,Effector protein(s),LCMAX1,low red light to far,CLAMT,CN,bioactive substance,MIR171C,BPTCP19,exogenous applicatio,Sucrose,AUX,production of long-d,Auxin,PHYB,MECLA,CARLACTONE,Overexpression of Cm,BPTCP8,(2R)-isomers,cryptochrome 1,PMF,D14,BPTCP14,SMAX1,remaining MeCLA,Undefined hormone,A. thaliana,Gibberellin,VCTCP18,Overexpression of Md,SPL9,R_FR_Ratio,ARR1,ABA,BRC2,MAX1,AP2,BRC","Shoot_Branching = prod(f(SMXL678, BES1, TRE6P, D2, ATCRY1, MAX2, Extended period of c, Copper deficiency, ADL1, SLS, Heterologous overexp, SAP11, ES10Y, Cytokinin, shoot meristems, miR156, EBE; (ERF114, nutrient availabilit, FHY3, ASU1, LBO, Overexpression of Gh, HXK1, PERK12, PIN1, environmental condit, A1, CYP86A8, DEFOLIATION, Overexpression of At, ASL39, SPL15, Loss-of-function in , Altered carotenoid p, alterations in carbo, CAND1, initiation and growt, CUC3, CLE42, EBE, CUC2, Verticillium longisp, SUGARS, TDIF, RanBP domain-contain, BRCA1, CLE41, Red Light, ERF114, IPT, MBD9, Decapitation, AXR1, AMS, CUC1, BrMYC2/3-1OE)) * prod(g(ABCB19, HB53, SMXL2, NO3, HACR, Nitrogen, WT, BRC1, KAI2, PIN347, PP5, Strigolactone, GR5, Effector protein(s), LCMAX1, low red light to far, CLAMT, CN, bioactive substance, MIR171C, BPTCP19, exogenous applicatio, Sucrose, AUX, production of long-d, Auxin, PHYB, MECLA, CARLACTONE, Overexpression of Cm, BPTCP8, (2R)-isomers, cryptochrome 1, PMF, D14, BPTCP14, SMAX1, remaining MeCLA, Undefined hormone, A. thaliana, Gibberellin, VCTCP18, Overexpression of Md, SPL9, R_FR_Ratio, ARR1, ABA, BRC2, MAX1, AP2, BRC)) * gene_modifier + exogenous"
SMXL678,,,,SMXL678 = 1.0 * 1.0 * gene_modifier + exogenous
BES1,,,,BES1 = 1.0 * 1.0 * gene_modifier + exogenous
HB53,,,,HB53 = 1.0 * 1.0 * gene_modifier + exogenous
SMXL2,,,,SMXL2 = 1.0 * 1.0 * gene_modifier + exogenous
TRE6P,,,,TRE6P = 1.0 * 1.0 * gene_modifier + exogenous
NO3,,,,NO3 = 1.0 * 1.0 * gene_modifier + exogenous
D2,,,,D2 = 1.0 * 1.0 * gene_modifier + exogenous
HACR,,,,HACR = 1.0 * 1.0 * gene_modifier + exogenous
Nitrogen,,,,Nitrogen = 1.0 * 1.0 * gene_modifier + exogenous
ATCRY1,,,,ATCRY1 = 1.0 * 1.0 * gene_modifier + exogenous
MAX2,,,,MAX2 = 1.0 * 1.0 * gene_modifier + exogenous
Extended period of c,,,,Extended period of c = 1.0 * 1.0 * gene_modifier + exogenous
Copper deficiency,,,,Copper deficiency = 1.0 * 1.0 * gene_modifier + exogenous
ADL1,,,,ADL1 = 1.0 * 1.0 * gene_modifier + exogenous
SLS,,,,SLS = 1.0 * 1.0 * gene_modifier + exogenous
WT,,,,WT = 1.0 * 1.0 * gene_modifier + exogenous
BRC1,,,,BRC1 = 1.0 * 1.0 * gene_modifier + exogenous
Heterologous overexp,,,,Heterologous overexp = 1.0 * 1.0 * gene_modifier + exogenous
SAP11,,,,SAP11 = 1.0 * 1.0 * gene_modifier + exogenous
KAI2,,,,KAI2 = 1.0 * 1.0 * gene_modifier + exogenous
PIN347,,,,PIN347 = 1.0 * 1.0 * gene_modifier + exogenous
PP5,,,,PP5 = 1.0 * 1.0 * gene_modifier + exogenous
Strigolactone,,,,Strigolactone = 1.0 * 1.0 * gene_modifier + exogenous
GR5,,,,GR5 = 1.0 * 1.0 * gene_modifier + exogenous
ES10Y,,,,ES10Y = 1.0 * 1.0 * gene_modifier + exogenous
Cytokinin,,,,Cytokinin = 1.0 * 1.0 * gene_modifier + exogenous
Effector protein(s),,,,Effector protein(s) = 1.0 * 1.0 * gene_modifier + exogenous
shoot meristems,,,,shoot meristems = 1.0 * 1.0 * gene_modifier + exogenous
LCMAX1,,,,LCMAX1 = 1.0 * 1.0 * gene_modifier + exogenous
low red light to far,,,,low red light to far = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,,miR156 = 1.0 * 1.0 * gene_modifier + exogenous
EBE; (ERF114,,,,EBE; (ERF114 = 1.0 * 1.0 * gene_modifier + exogenous
CLAMT,,,,CLAMT = 1.0 * 1.0 * gene_modifier + exogenous
nutrient availabilit,,,,nutrient availabilit = 1.0 * 1.0 * gene_modifier + exogenous
FHY3,,,,FHY3 = 1.0 * 1.0 * gene_modifier + exogenous
CN,,,,CN = 1.0 * 1.0 * gene_modifier + exogenous
bioactive substance,,,,bioactive substance = 1.0 * 1.0 * gene_modifier + exogenous
ASU1,,,,ASU1 = 1.0 * 1.0 * gene_modifier + exogenous
LBO,,,,LBO = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Gh,,,,Overexpression of Gh = 1.0 * 1.0 * gene_modifier + exogenous
HXK1,,,,HXK1 = 1.0 * 1.0 * gene_modifier + exogenous
PERK12,,,,PERK12 = 1.0 * 1.0 * gene_modifier + exogenous
PIN1,,,,PIN1 = 1.0 * 1.0 * gene_modifier + exogenous
MIR171C,,,,MIR171C = 1.0 * 1.0 * gene_modifier + exogenous
BPTCP19,,,,BPTCP19 = 1.0 * 1.0 * gene_modifier + exogenous
exogenous applicatio,,,,exogenous applicatio = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose,,,,Sucrose = 1.0 * 1.0 * gene_modifier + exogenous
AUX,,,,AUX = 1.0 * 1.0 * gene_modifier + exogenous
production of long-d,,,,production of long-d = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,photomorphogenesis,,Auxin = prod(f(photomorphogenesis)) * 1.0 * gene_modifier + exogenous
environmental condit,,,,environmental condit = 1.0 * 1.0 * gene_modifier + exogenous
A1,,,,A1 = 1.0 * 1.0 * gene_modifier + exogenous
PHYB,,,,PHYB = 1.0 * 1.0 * gene_modifier + exogenous
MECLA,,,,MECLA = 1.0 * 1.0 * gene_modifier + exogenous
CYP86A8,,,,CYP86A8 = 1.0 * 1.0 * gene_modifier + exogenous
CARLACTONE,,,,CARLACTONE = 1.0 * 1.0 * gene_modifier + exogenous
DEFOLIATION,,,,DEFOLIATION = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of Cm,,,,Overexpression of Cm = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of At,,,,Overexpression of At = 1.0 * 1.0 * gene_modifier + exogenous
ASL39,,,,ASL39 = 1.0 * 1.0 * gene_modifier + exogenous
BPTCP8,,,,BPTCP8 = 1.0 * 1.0 * gene_modifier + exogenous
(2R)-isomers,,,,(2R)-isomers = 1.0 * 1.0 * gene_modifier + exogenous
SPL15,,,,SPL15 = 1.0 * 1.0 * gene_modifier + exogenous
cryptochrome 1,,,,cryptochrome 1 = 1.0 * 1.0 * gene_modifier + exogenous
PMF,,,,PMF = 1.0 * 1.0 * gene_modifier + exogenous
D14,,,,D14 = 1.0 * 1.0 * gene_modifier + exogenous
BPTCP14,,,,BPTCP14 = 1.0 * 1.0 * gene_modifier + exogenous
Loss-of-function in ,,,,Loss-of-function in  = 1.0 * 1.0 * gene_modifier + exogenous
Altered carotenoid p,,,,Altered carotenoid p = 1.0 * 1.0 * gene_modifier + exogenous
alterations in carbo,,,,alterations in carbo = 1.0 * 1.0 * gene_modifier + exogenous
CAND1,,,,CAND1 = 1.0 * 1.0 * gene_modifier + exogenous
SMAX1,,,,SMAX1 = 1.0 * 1.0 * gene_modifier + exogenous
remaining MeCLA,,,,remaining MeCLA = 1.0 * 1.0 * gene_modifier + exogenous
Undefined hormone,,,,Undefined hormone = 1.0 * 1.0 * gene_modifier + exogenous
initiation and growt,,,,initiation and growt = 1.0 * 1.0 * gene_modifier + exogenous
A. thaliana,,,,A. thaliana = 1.0 * 1.0 * gene_modifier + exogenous
Gibberellin,,,DELLA,Gibberellin = 1.0 * prod(g(DELLA)) * gene_modifier + exogenous
CUC3,,,,CUC3 = 1.0 * 1.0 * gene_modifier + exogenous
CLE42,,,,CLE42 = 1.0 * 1.0 * gene_modifier + exogenous
