test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
FT_T003,AGL24,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,67,10.1073/pnas.212624599
FT_T004,AGL24,overexpression,2.0,,,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,increased,True,Flowering_Time,1,easy,1,True,66,10.1073/pnas.212624599
FT_T008,AP1,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,67,10.3389/fpls.2022.852047
FT_T009,AP1,overexpression,2.0,,,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,increased,True,Flowering_Time,1,easy,1,True,66,10.1105/tpc.11.6.1007
FT_T010,AP2,knockout,0.0,,,1.0,1.99914,WT,1.0,1.99914,0.9994,0.05,increased,increased,True,Flowering_Time,1,easy,1,True,67,10.1105/tpc.110.075606
FT_T016,BRM_GA1,double_knockout,0.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,increased,False,Flowering_Time,1,easy,NA,True,67,10.1093/plcell/koad166
FT_T017,CBF,knockout,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,unchanged,False,Flowering_Time,1,easy,1,True,66,10.7554/eLife.84594
FT_T023,CDF1,knockout,0.99,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,increased,False,Flowering_Time,1,easy,NA,True,30,10.1111/tpj.12759
FT_T024,CLF,knockout,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,66,10.1371/journal.pone.0021513
FT_T026,CO,knockout,0.0,,,1.0,0.000886,WT,1.0,0.000886,-10.1408,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,71,10.1016/j.xplc.2023.100552
FT_T027,COLDAIR,knockdown,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,66,10.1371/journal.pgen.1006939
FT_T028,COOLAIR,knockout,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,66,10.1101/gad.348362.121
FT_T031,CRY2,knockout,1.0,COLD,1.0,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,decreased,False,Flowering_Time,1,easy,NA,True,66,10.4161/psb.1.5.3452
FT_T032,DELLA,knockout,0.0,,,1.0,0.000177,WT,1.0,0.000177,-12.4643,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,82,10.1105/tpc.112.101014
FT_T038,ELF7,knockout,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,66,10.4161/psb.5.11.13465
FT_T043,FCA,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,67,10.1534/genetics.104.036533
FT_T044,FCA,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,67,10.1104/pp.19.01009
FT_T045,FD,knockout,0.0,,,1.0,1.99914,WT,1.0,1.99914,0.9994,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,67,10.1371/journal.pone.0116973
FT_T046,FD,knockout,0.0,,,1.0,1.99914,WT,1.0,1.99914,0.9994,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,67,10.1242/dev.204241
FT_T049,FIE,knockdown,1.0,vernalization,1.0,1.0,1.88151,WT,1.0,1.88151,0.9119,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,66,10.1073/pnas.0606385103
FT_T050,FKF1,knockout,0.0,,,1.0,1.99914,WT,1.0,1.99914,0.9994,0.05,increased,decreased,False,Flowering_Time,1,easy,1,True,67,10.1073/pnas.1415375111
FT_T051,FKF1_GI,combined,0.0,,,1.0,1.99914,WT,1.0,1.99914,0.9994,0.05,increased,unchanged,False,Flowering_Time,1,easy,1,True,67,10.1126/science.1146994
FT_T052,FLC,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,67,10.1104/pp.105.061309
FT_T053,FLC,knockout,0.0,,,1.0,0.00086,WT,1.0,0.00086,-10.1842,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,67,10.1104/pp.126.1.122
