test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
FT_T003,AGL24,knockout,0.0,,,0.0,-0.001001,WT,0.0,0.998999,-0.0014,1e-05,decreased,decreased,True,Flowering_Time,1,easy,1,True,2,10.1073/pnas.212624599
FT_T004,AGL24,overexpression,2.0,,,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,increased,True,Flowering_Time,1,easy,1,True,2,10.1073/pnas.212624599
FT_T008,AP1,knockout,0.0,,,0.0,-0.001001,WT,0.0,0.998999,-0.0014,1e-05,decreased,decreased,True,Flowering_Time,1,easy,1,True,2,10.3389/fpls.2022.852047
FT_T009,AP1,overexpression,2.0,,,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,increased,True,Flowering_Time,1,easy,1,True,2,10.1105/tpc.11.6.1007
FT_T010,AP2,knockout,0.0,,,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,increased,True,Flowering_Time,1,easy,1,True,2,10.1105/tpc.110.075606
FT_T016,BRM_GA1,double_knockout,0.0,,,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,increased,False,Flowering_Time,1,easy,NA,True,2,10.1093/plcell/koad166
FT_T017,CBF,knockout,1.0,vernalization,1.0,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,unchanged,False,Flowering_Time,1,easy,1,True,2,10.7554/eLife.84594
FT_T023,CDF1,knockout,0.99,,,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,increased,False,Flowering_Time,1,easy,NA,True,1,10.1111/tpj.12759
FT_T024,CLF,knockout,1.0,vernalization,1.0,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,decreased,False,Flowering_Time,1,easy,1,True,2,10.1371/journal.pone.0021513
FT_T026,CO,knockout,0.0,,,0.0,-0.00025,WT,0.0,0.99975,-0.0004,1e-05,decreased,decreased,True,Flowering_Time,1,easy,1,True,3,10.1016/j.xplc.2023.100552
FT_T027,COLDAIR,knockdown,1.0,vernalization,1.0,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,decreased,False,Flowering_Time,1,easy,1,True,2,10.1371/journal.pgen.1006939
FT_T028,COOLAIR,knockout,1.0,vernalization,1.0,0.0,0.001001,WT,0.0,1.001001,0.0014,1e-05,increased,decreased,False,Flowering_Time,1,easy,1,True,2,10.1101/gad.348362.121
FT_T031,CRY2,knockout,1.0,COLD,1.0,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,decreased,False,Flowering_Time,1,easy,NA,True,2,10.4161/psb.1.5.3452
