network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,E0001,blue light attenuati,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0002,ASKTHETA,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0003,FD,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0004,IBH1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0005,CBP60B,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0006,Propiconazole,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0007,sup6-1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0008,PAD,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0009,MOS3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0010,ATGA20OX3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0011,ATNUP62,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0012,Phytoplasma infectio,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0013,CWPO,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0014,PSS1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0015,ATMYB63,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0016,Gibberellin,HORMONE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0017,ATMYB118,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0018,LUX,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0019,ALD1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0020,CRWN1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0021,Constitutive express,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
