node,type,is_source,n_activators,activators,n_inhibitors,inhibitors,formula
blue light attenuati,GENE,True,0,,0,,blue light attenuati = gene_modifier + exogenous_supply
Plant_Height,PHENOTYPE,False,173,"blue light attenuati, ASKTHETA, FD, IBH1, CBP60B, Propiconazole, MOS3, ATGA20OX3, ATNUP62, Phytoplasma infectio, CWPO, PSS1, ATMYB63, Gibberellin, ATMYB118, ALD1, CRWN1, Constitutive express, Test compounds, A mutation, VHYNP, VUP1, ATFKBP42, DGDG, ATERF6, inhibition of cell e, DR1, ATMMS21, MOT1, ABS1, ATIWS1, CsCBF3 overexpressio, SA, defects in cytokines, GH3, ATDDF1, Overexpression of Dc, DICE1, Brassinolide, CDKF, ARR2, Overexpression of Ml, SHL, R3, ALA4, LOP1, azole derivatives, ATDDF2, ATWIND1, Knocking-out both At, ATNUP160, pht4;1-1, ATSIZ1, null mutations in c3, MIR159, WT, GSF, Increased expression, IX, AT-HSC70-1, restoration of ligni, ATSEC8, β-estradiol treatmen, RPS4, FM, CAMTA1, ANQ1, AUTOIMMUNITY, Auxin, ATLMCO4, Inability to salvage, brassinazole treatme, BNCHMP7, SWEETIE, Reduced cellulose an, FHY3, DFL1, DELLA, CAC3, Genetic lesion, CK, S891D, GA2OX, CRWN, ATIAMT1, S2LB, PP4R3, DEXAMETHASONE, BR6OX2, ATSWI3B, ATMPK4, METHOTREXATE, MED33B, Deficiency of thermo, ANAC104, vamp721vamp722 doubl, development of MrCBF, GA2OX5, PS, 35S:PvTDIFL1 transge, ABCB25, Actin from Candida a, ALDH5F1, AUR3, ATLAC17, overexpression of Pt, DAF1, LL, 5FU, ATGA2OX4, ATMKK7, ATC4H, BSL2, ATFTSH4, AVR2, A. thaliana, ATMSH1, WAK2CTAP, PEAMT1, CTR1, Genetic incompatibil, Actin from Saccharom, RG, ADENINE, BAHD, Overexpression of mi, loss of all ERfs, DWF4, over-expression of P, SCYL2A, ATEDEM1, ASL19, CPL4, YCZ, Mutation of exocyst , HPY2, Ethylene, High-salinity stress, ATPAT10, ATRIN4, LAC11, LRR, GA20OX1, differential accumul, nerd1-1 sec8-6 doubl, EBS1, CBFS, C4H, ATMYB24, ATGA2OX3, CENH3, AtPHT4;1, BRI1, CTP, TENGU, AT2353, ATCBF3, ATKH27, puf2 rha1 double mut, ATDOF5.4, PHT4;6, knockout of four of , RIN13, Turnip Mosaic Virus, SCYL2B, ATXR3, ARAKIN, NHP, 2F-Fuc, EXO84B, ATMYB58, snc1/eds1-2 double m, TSBAHD",32,"sup6-1, PAD, LUX, TKBAHDH, E138K, FMO1, transgenic plant(s) , CCD7, MOS11, ATOS9, KAK, ATCRT3, sup6-2, THF, A. thaliana overexpr, ATICS1, Overexpression of Na, EDS, PRE1, ATEDS1, Growth at 28°C, ATPAD4, BL, BES1, ATNPR1, ET, SUMM2, JA, mutant TkBAHD allele, BTL1, MKS1, ATWRKY52","Plant_Height = (max(blue light attenuati, 0.01) * max(ASKTHETA, 0.01) * max(FD, 0.01) * max(IBH1, 0.01) * max(CBP60B, 0.01) * max(Propiconazole, 0.01) * max(MOS3, 0.01) * max(ATGA20OX3, 0.01) * max(ATNUP62, 0.01) * max(Phytoplasma infectio, 0.01) * max(CWPO, 0.01) * max(PSS1, 0.01) * max(ATMYB63, 0.01) * max(Gibberellin, 0.01) * max(ATMYB118, 0.01) * max(ALD1, 0.01) * max(CRWN1, 0.01) * max(Constitutive express, 0.01) * max(Test compounds, 0.01) * max(A mutation, 0.01) * max(VHYNP, 0.01) * max(VUP1, 0.01) * max(ATFKBP42, 0.01) * max(DGDG, 0.01) * max(ATERF6, 0.01) * max(inhibition of cell e, 0.01) * max(DR1, 0.01) * max(ATMMS21, 0.01) * max(MOT1, 0.01) * max(ABS1, 0.01) * max(ATIWS1, 0.01) * max(CsCBF3 overexpressio, 0.01) * max(SA, 0.01) * max(defects in cytokines, 0.01) * max(GH3, 0.01) * max(ATDDF1, 0.01) * max(Overexpression of Dc, 0.01) * max(DICE1, 0.01) * max(Brassinolide, 0.01) * max(CDKF, 0.01) * max(ARR2, 0.01) * max(Overexpression of Ml, 0.01) * max(SHL, 0.01) * max(R3, 0.01) * max(ALA4, 0.01) * max(LOP1, 0.01) * max(azole derivatives, 0.01) * max(ATDDF2, 0.01) * max(ATWIND1, 0.01) * max(Knocking-out both At, 0.01) * max(ATNUP160, 0.01) * max(pht4;1-1, 0.01) * max(ATSIZ1, 0.01) * max(null mutations in c3, 0.01) * max(MIR159, 0.01) * max(WT, 0.01) * max(GSF, 0.01) * max(Increased expression, 0.01) * max(IX, 0.01) * max(AT-HSC70-1, 0.01) * max(restoration of ligni, 0.01) * max(ATSEC8, 0.01) * max(β-estradiol treatmen, 0.01) * max(RPS4, 0.01) * max(FM, 0.01) * max(CAMTA1, 0.01) * max(ANQ1, 0.01) * max(AUTOIMMUNITY, 0.01) * max(Auxin, 0.01) * max(ATLMCO4, 0.01) * max(Inability to salvage, 0.01) * max(brassinazole treatme, 0.01) * max(BNCHMP7, 0.01) * max(SWEETIE, 0.01) * max(Reduced cellulose an, 0.01) * max(FHY3, 0.01) * max(DFL1, 0.01) * max(DELLA, 0.01) * max(CAC3, 0.01) * max(Genetic lesion, 0.01) * max(CK, 0.01) * max(S891D, 0.01) * max(GA2OX, 0.01) * max(CRWN, 0.01) * max(ATIAMT1, 0.01) * max(S2LB, 0.01) * max(PP4R3, 0.01) * max(DEXAMETHASONE, 0.01) * max(BR6OX2, 0.01) * max(ATSWI3B, 0.01) * max(ATMPK4, 0.01) * max(METHOTREXATE, 0.01) * max(MED33B, 0.01) * max(Deficiency of thermo, 0.01) * max(ANAC104, 0.01) * max(vamp721vamp722 doubl, 0.01) * max(development of MrCBF, 0.01) * max(GA2OX5, 0.01) * max(PS, 0.01) * max(35S:PvTDIFL1 transge, 0.01) * max(ABCB25, 0.01) * max(Actin from Candida a, 0.01) * max(ALDH5F1, 0.01) * max(AUR3, 0.01) * max(ATLAC17, 0.01) * max(overexpression of Pt, 0.01) * max(DAF1, 0.01) * max(LL, 0.01) * max(5FU, 0.01) * max(ATGA2OX4, 0.01) * max(ATMKK7, 0.01) * max(ATC4H, 0.01) * max(BSL2, 0.01) * max(ATFTSH4, 0.01) * max(AVR2, 0.01) * max(A. thaliana, 0.01) * max(ATMSH1, 0.01) * max(WAK2CTAP, 0.01) * max(PEAMT1, 0.01) * max(CTR1, 0.01) * max(Genetic incompatibil, 0.01) * max(Actin from Saccharom, 0.01) * max(RG, 0.01) * max(ADENINE, 0.01) * max(BAHD, 0.01) * max(Overexpression of mi, 0.01) * max(loss of all ERfs, 0.01) * max(DWF4, 0.01) * max(over-expression of P, 0.01) * max(SCYL2A, 0.01) * max(ATEDEM1, 0.01) * max(ASL19, 0.01) * max(CPL4, 0.01) * max(YCZ, 0.01) * max(Mutation of exocyst , 0.01) * max(HPY2, 0.01) * max(Ethylene, 0.01) * max(High-salinity stress, 0.01) * max(ATPAT10, 0.01) * max(ATRIN4, 0.01) * max(LAC11, 0.01) * max(LRR, 0.01) * max(GA20OX1, 0.01) * max(differential accumul, 0.01) * max(nerd1-1 sec8-6 doubl, 0.01) * max(EBS1, 0.01) * max(CBFS, 0.01) * max(C4H, 0.01) * max(ATMYB24, 0.01) * max(ATGA2OX3, 0.01) * max(CENH3, 0.01) * max(AtPHT4;1, 0.01) * max(BRI1, 0.01) * max(CTP, 0.01) * max(TENGU, 0.01) * max(AT2353, 0.01) * max(ATCBF3, 0.01) * max(ATKH27, 0.01) * max(puf2 rha1 double mut, 0.01) * max(ATDOF5.4, 0.01) * max(PHT4;6, 0.01) * max(knockout of four of , 0.01) * max(RIN13, 0.01) * max(Turnip Mosaic Virus, 0.01) * max(SCYL2B, 0.01) * max(ATXR3, 0.01) * max(ARAKIN, 0.01) * max(NHP, 0.01) * max(2F-Fuc, 0.01) * max(EXO84B, 0.01) * max(ATMYB58, 0.01) * max(snc1/eds1-2 double m, 0.01) * max(TSBAHD, 0.01))^(1/173) * min(1/max(sup6-1 * PAD * LUX * TKBAHDH * E138K * FMO1 * transgenic plant(s)  * CCD7 * MOS11 * ATOS9 * KAK * ATCRT3 * sup6-2 * THF * A. thaliana overexpr * ATICS1 * Overexpression of Na * EDS * PRE1 * ATEDS1 * Growth at 28°C * ATPAD4 * BL * BES1 * ATNPR1 * ET * SUMM2 * JA * mutant TkBAHD allele * BTL1 * MKS1 * ATWRKY52, 0.1), 10.0) * gene_modifier + exogenous_supply"
ASKTHETA,GENE,True,0,,0,,ASKTHETA = gene_modifier + exogenous_supply
FD,GENE,True,0,,0,,FD = gene_modifier + exogenous_supply
IBH1,GENE,True,0,,0,,IBH1 = gene_modifier + exogenous_supply
CBP60B,GENE,True,0,,0,,CBP60B = gene_modifier + exogenous_supply
Propiconazole,GENE,True,0,,0,,Propiconazole = gene_modifier + exogenous_supply
sup6-1,GENE,True,0,,0,,sup6-1 = gene_modifier + exogenous_supply
PAD,GENE,True,0,,0,,PAD = gene_modifier + exogenous_supply
MOS3,GENE,True,0,,0,,MOS3 = gene_modifier + exogenous_supply
