test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T002,GA20OX1,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T003,"GA20OX1,GA20OX2",knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T005,GA2OX,overexpression,2.0,,,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,8,
T008,DELLA,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,14,
T009,GAI,overexpression,2.0,,,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,8,
T011,GA20OX1,overexpression,2.0,,,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,8,
T013,DWF4,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T015,BRI1,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T018,BES1,overexpression,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,22,
T020,DWF4,overexpression,2.0,,,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,8,
T039,PRE1,overexpression,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,22,
T040,IBH1,overexpression,2.0,,,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,8,
T044,CTR1,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T061,WT,treatment,1.0,Gibberellin,1.0,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,8,
T062,WT,treatment,1.0,Brassinolide,1.0,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,8,
T063,WT,treatment,1.0,Auxin,1.0,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,8,
T065,WT,treatment,1.0,Ethylene,1.0,1.0,1.003783,WT,1.0,1.003783,0.0054,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,8,
T069,Gibberellin,treatment,1.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,1,
T070,Brassinolide,treatment,1.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,1,
T073,BRI1,rescue,1.0,Brassinolide,1.0,1.0,1.003783,mutant,1.0,1.003783,0.0054,0.05,unchanged,unchanged,True,Plant_Height,1,easy,1,True,8,
T075,BES1,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,30,
T078,GA20OX2,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,14,
T079,GA20OX3,knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,unchanged,True,Plant_Height,1,easy,1,True,14,
T090,WT,control,1.0,,,1.0,1.0,WT,1.0,1.0,0.0,0.05,unchanged,unchanged,True,Plant_Height,1,easy,1,True,1,
T092,BRI1,rescue,1.0,Gibberellin,1.0,1.0,1.003783,mutant,1.0,1.003783,0.0054,0.05,unchanged,unchanged,True,Plant_Height,1,easy,1,True,8,
T099,"GAI,RGA",knockout,0.0,,,1.0,0.97391,WT,1.0,0.97391,-0.0381,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,14,
