node,node_type,activators,inhibitors,formula
blue light attenuati,,,,blue light attenuati = 1.0 * 1.0 * gene_modifier + exogenous
Plant_Height,,"blue light attenuati,ASKTHETA,FD,IBH1,CBP60B,Propiconazole,MOS3,ATGA20OX3,ATNUP62,Phytoplasma infectio,CWPO,PSS1,ATMYB63,Gibberellin,ATMYB118,ALD1,CRWN1,Constitutive express,Test compounds,A mutation,VHYNP,VUP1,ATFKBP42,DGDG,ATERF6,inhibition of cell e,DR1,ATMMS21,MOT1,ABS1,ATIWS1,CsCBF3 overexpressio,SA,defects in cytokines,GH3,ATDDF1,Overexpression of Dc,DICE1,Brassinolide,CDKF,ARR2,Overexpression of Ml,SHL,R3,ALA4,LOP1,azole derivatives,ATDDF2,ATWIND1,Knocking-out both At,ATNUP160,pht4;1-1,ATSIZ1,null mutations in c3,MIR159,WT,GSF,Increased expression,IX,AT-HSC70-1,restoration of ligni,ATSEC8,β-estradiol treatmen,RPS4,FM,CAMTA1,ANQ1,AUTOIMMUNITY,Auxin,ATLMCO4,Inability to salvage,brassinazole treatme,BNCHMP7,SWEETIE,Reduced cellulose an,FHY3,DFL1,DELLA,CAC3,Genetic lesion,CK,S891D,GA2OX,CRWN,ATIAMT1,S2LB,PP4R3,DEXAMETHASONE,BR6OX2,ATSWI3B,ATMPK4,METHOTREXATE,MED33B,Deficiency of thermo,ANAC104,vamp721vamp722 doubl,development of MrCBF,GA2OX5,PS,35S:PvTDIFL1 transge,ABCB25,Actin from Candida a,ALDH5F1,AUR3,ATLAC17,overexpression of Pt,DAF1,LL,5FU,ATGA2OX4,ATMKK7,ATC4H,BSL2,ATFTSH4,AVR2,A. thaliana,ATMSH1,WAK2CTAP,PEAMT1,CTR1,Genetic incompatibil,Actin from Saccharom,RG,ADENINE,BAHD,Overexpression of mi,loss of all ERfs,DWF4,over-expression of P,SCYL2A,ATEDEM1,ASL19,CPL4,YCZ,Mutation of exocyst ,HPY2,Ethylene,High-salinity stress,ATPAT10,ATRIN4,LAC11,LRR,GA20OX1,differential accumul,nerd1-1 sec8-6 doubl,EBS1,CBFS,C4H,ATMYB24,ATGA2OX3,CENH3,AtPHT4;1,BRI1,CTP,TENGU,AT2353,ATCBF3,ATKH27,puf2 rha1 double mut,ATDOF5.4,PHT4;6,knockout of four of ,RIN13,Turnip Mosaic Virus,SCYL2B,ATXR3,ARAKIN,NHP,2F-Fuc,EXO84B,ATMYB58,snc1/eds1-2 double m,TSBAHD","sup6-1,PAD,LUX,TKBAHDH,E138K,FMO1,transgenic plant(s) ,CCD7,MOS11,ATOS9,KAK,ATCRT3,sup6-2,THF,A. thaliana overexpr,ATICS1,Overexpression of Na,EDS,PRE1,ATEDS1,Growth at 28°C,ATPAD4,BL,BES1,ATNPR1,ET,SUMM2,JA,mutant TkBAHD allele,BTL1,MKS1,ATWRKY52","Plant_Height = prod(f(blue light attenuati, ASKTHETA, FD, IBH1, CBP60B, Propiconazole, MOS3, ATGA20OX3, ATNUP62, Phytoplasma infectio, CWPO, PSS1, ATMYB63, Gibberellin, ATMYB118, ALD1, CRWN1, Constitutive express, Test compounds, A mutation, VHYNP, VUP1, ATFKBP42, DGDG, ATERF6, inhibition of cell e, DR1, ATMMS21, MOT1, ABS1, ATIWS1, CsCBF3 overexpressio, SA, defects in cytokines, GH3, ATDDF1, Overexpression of Dc, DICE1, Brassinolide, CDKF, ARR2, Overexpression of Ml, SHL, R3, ALA4, LOP1, azole derivatives, ATDDF2, ATWIND1, Knocking-out both At, ATNUP160, pht4;1-1, ATSIZ1, null mutations in c3, MIR159, WT, GSF, Increased expression, IX, AT-HSC70-1, restoration of ligni, ATSEC8, β-estradiol treatmen, RPS4, FM, CAMTA1, ANQ1, AUTOIMMUNITY, Auxin, ATLMCO4, Inability to salvage, brassinazole treatme, BNCHMP7, SWEETIE, Reduced cellulose an, FHY3, DFL1, DELLA, CAC3, Genetic lesion, CK, S891D, GA2OX, CRWN, ATIAMT1, S2LB, PP4R3, DEXAMETHASONE, BR6OX2, ATSWI3B, ATMPK4, METHOTREXATE, MED33B, Deficiency of thermo, ANAC104, vamp721vamp722 doubl, development of MrCBF, GA2OX5, PS, 35S:PvTDIFL1 transge, ABCB25, Actin from Candida a, ALDH5F1, AUR3, ATLAC17, overexpression of Pt, DAF1, LL, 5FU, ATGA2OX4, ATMKK7, ATC4H, BSL2, ATFTSH4, AVR2, A. thaliana, ATMSH1, WAK2CTAP, PEAMT1, CTR1, Genetic incompatibil, Actin from Saccharom, RG, ADENINE, BAHD, Overexpression of mi, loss of all ERfs, DWF4, over-expression of P, SCYL2A, ATEDEM1, ASL19, CPL4, YCZ, Mutation of exocyst , HPY2, Ethylene, High-salinity stress, ATPAT10, ATRIN4, LAC11, LRR, GA20OX1, differential accumul, nerd1-1 sec8-6 doubl, EBS1, CBFS, C4H, ATMYB24, ATGA2OX3, CENH3, AtPHT4;1, BRI1, CTP, TENGU, AT2353, ATCBF3, ATKH27, puf2 rha1 double mut, ATDOF5.4, PHT4;6, knockout of four of , RIN13, Turnip Mosaic Virus, SCYL2B, ATXR3, ARAKIN, NHP, 2F-Fuc, EXO84B, ATMYB58, snc1/eds1-2 double m, TSBAHD)) * prod(g(sup6-1, PAD, LUX, TKBAHDH, E138K, FMO1, transgenic plant(s) , CCD7, MOS11, ATOS9, KAK, ATCRT3, sup6-2, THF, A. thaliana overexpr, ATICS1, Overexpression of Na, EDS, PRE1, ATEDS1, Growth at 28°C, ATPAD4, BL, BES1, ATNPR1, ET, SUMM2, JA, mutant TkBAHD allele, BTL1, MKS1, ATWRKY52)) * gene_modifier + exogenous"
ASKTHETA,,,,ASKTHETA = 1.0 * 1.0 * gene_modifier + exogenous
FD,,,,FD = 1.0 * 1.0 * gene_modifier + exogenous
IBH1,,,,IBH1 = 1.0 * 1.0 * gene_modifier + exogenous
CBP60B,,,,CBP60B = 1.0 * 1.0 * gene_modifier + exogenous
Propiconazole,,,,Propiconazole = 1.0 * 1.0 * gene_modifier + exogenous
sup6-1,,,,sup6-1 = 1.0 * 1.0 * gene_modifier + exogenous
PAD,,,,PAD = 1.0 * 1.0 * gene_modifier + exogenous
MOS3,,,,MOS3 = 1.0 * 1.0 * gene_modifier + exogenous
