test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T002,GA20OX1,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T003,"GA20OX1,GA20OX2",knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T005,GA2OX,overexpression,2.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,decreased,False,Plant_Height,1,easy,1,True,2,
T008,DELLA,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,increased,False,Plant_Height,1,easy,1,True,2,
T009,GAI,overexpression,2.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,decreased,False,Plant_Height,1,easy,1,True,2,
T011,GA20OX1,overexpression,2.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,increased,True,Plant_Height,1,easy,1,True,2,
T013,DWF4,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T015,BRI1,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T018,BES1,overexpression,2.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,increased,False,Plant_Height,1,easy,1,True,2,
T020,DWF4,overexpression,2.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,increased,True,Plant_Height,1,easy,1,True,2,
T039,PRE1,overexpression,2.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,increased,False,Plant_Height,1,easy,1,True,2,
T040,IBH1,overexpression,2.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,decreased,False,Plant_Height,1,easy,1,True,2,
T044,CTR1,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T061,WT,treatment,1.0,Gibberellin,1.0,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,increased,True,Plant_Height,1,easy,1,True,2,
T062,WT,treatment,1.0,Brassinolide,1.0,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,increased,True,Plant_Height,1,easy,1,True,2,
T063,WT,treatment,1.0,Auxin,1.0,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,increased,True,Plant_Height,1,easy,1,True,2,
T065,WT,treatment,1.0,Ethylene,1.0,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,decreased,False,Plant_Height,1,easy,1,True,2,
T069,Gibberellin,treatment,1.0,,,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,decreased,False,Plant_Height,1,easy,NA,True,1,
T070,Brassinolide,treatment,1.0,,,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,decreased,False,Plant_Height,1,easy,NA,True,1,
T073,BRI1,rescue,1.0,Brassinolide,1.0,0.0,0.002439,mutant,0.0,1.002439,0.0035,1e-05,increased,unchanged,False,Plant_Height,1,easy,1,True,2,
T075,BES1,knockout,0.0,,,0.0,0.002439,WT,0.0,1.002439,0.0035,1e-05,increased,decreased,False,Plant_Height,1,easy,1,True,2,
T078,GA20OX2,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,decreased,True,Plant_Height,1,easy,1,True,2,
T079,GA20OX3,knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,unchanged,False,Plant_Height,1,easy,1,True,2,
T090,WT,control,1.0,,,0.0,0.0,WT,0.0,1.0,0.0,1e-05,unchanged,unchanged,True,Plant_Height,1,easy,NA,True,1,
T092,BRI1,rescue,1.0,Gibberellin,1.0,0.0,0.002439,mutant,0.0,1.002439,0.0035,1e-05,increased,unchanged,False,Plant_Height,1,easy,1,True,2,
T099,"GAI,RGA",knockout,0.0,,,0.0,-0.002439,WT,0.0,0.997561,-0.0035,1e-05,decreased,increased,False,Plant_Height,1,easy,1,True,2,
