test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,miR156,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1371/journal.pgen.1006263
T002,SPL9,double_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1007/s11103-008-9310-z
T003,SPL2,quintuple_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1371/journal.pgen.1006263
T004,SPL9,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1016/j.cell.2009.06.031
T005,TOE1,double_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1105/tpc.016238
T006,miR172,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1105/tpc.016238
T007,FCA,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,13,10.1093/emboj/cdg305
T008,FPA,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,13,10.1105/tpc.13.6.1427
T009,FLD,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,13,10.1007/s12298-017-0458-3
T010,FVE,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,13,10.1007/s10059-011-1022-6
T011,FY,knockdown,0.5,,,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,59,10.1104/pp.110.167817
T012,TOE1,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1105/tpc.016238
T013,SMZ,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1371/journal.pbio.1000148
T014,TOE1,triple_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1371/journal.pbio.1000148
T016,LDL1,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1105/tpc.107.052373
T017,LDL1,double_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1105/tpc.107.052373
T018,FCA,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1093/emboj/cdg305
T019,miR172,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1371/journal.pbio.3001043
T020,SPL9,triple_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1371/journal.pgen.1006263
T021,CPS,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T022,KS,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T023,KO,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T024,GA20ox1,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,13,10.1199/tab.0103
T025,GA20ox1,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1073/pnas.95.15.9019
T026,GA3ox1,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,13,10.1199/tab.0103
T027,GA3ox1,double_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T028,GA2ox,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1199/tab.0103
T029,GID1A,triple_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T030,GAI,gain_of_function,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1101/gad.11.23.3194
T031,RGA,knockout,0.99,,,1.0,0.997472,WT,1.0,0.997472,-0.0037,0.05,unchanged,increased,False,Plant_Height,1,easy,1,True,13,10.1199/tab.0103
T032,RGA,double_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T033,CPS,knockout_plus_treatment,0.0,Gibberellin,1.0,1.0,0.000869,mutant,0.000868,1.001115,0.0016,0.05,unchanged,unchanged,True,Plant_Height,2,medium,1,True,67,10.1199/tab.0103
T034,DELLA,quintuple_knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T035,Gibberellin,exogenous_treatment,1.0,Gibberellin,1.0,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1199/tab.0103
T036,SPY,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1199/tab.0103
T037,SLY1,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1126/science.1080585
T038,BRI1,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1104/pp.111.4.671
T039,BIN2,gain_of_function,2.0,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,66,10.1016/S0092-8674(02)00812-7
T040,BIN2,knockout,0.0,,,1.0,8.999164,WT,1.0,8.999164,3.1698,0.05,increased,increased,True,Plant_Height,1,easy,1,True,87,10.1105/tpc.19.00335
T041,BZR1,gain_of_function,2.0,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,66,10.1016/S0092-8674(02)00721-3
T042,BES1,gain_of_function,2.0,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,66,10.1016/S0092-8674(02)00814-0
T043,DWF4,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1105/tpc.10.2.219
T044,DWF4,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1105/tpc.19.00335
T045,DET2,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1016/0092-8674(96)80116-4
T046,CPD,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1105/tpc.19.00335
T047,Brassinosteroid,exogenous_treatment,1.0,Brassinolide,1.0,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1105/tpc.19.00335
T048,Brassinosteroid,inhibitor_PBZ,0.1,,,1.0,0.000939,WT,1.0,0.000939,-10.0563,0.05,decreased,decreased,True,Plant_Height,2,medium,1,True,67,10.1105/tpc.19.00335
T049,PIF4,knockout,0.99,,,1.0,1.026279,WT,1.0,1.026279,0.0374,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,33,10.1016/j.cub.2009.06.046
T050,PIF4,double_knockout,0.0,,,1.0,8.999164,WT,1.0,8.999164,3.1698,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,87,10.3389/fpls.2019.00914
