network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Seed Size,E0001,phytohormones,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0002,FAE1,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0003,ENO2,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0004,Overexpression of mi,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0005,TASERK3,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0006,GmPSKγ1,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0007,AfAP2-2-overexpressi,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0008,MEE57,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0009,PPD,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0010,Brassinosteroid,HORMONE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0011,PSK,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0012,XsAP2 gene(s),GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0013,CHR7,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0014,transgenic A. thalia,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0015,A. thaliana mutants,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0016,parent-of-origin eff,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0017,TaZIP gene(s),GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0018,HAIKU,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0019,OES,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0020,MINI3,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0021,KLU,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0022,Maternal and paterna,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0023,DDM2,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0024,DA1,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0025,nutrient sink effect,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0026,AP2,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0027,ANT,GENE,Seed_Size,PHENOTYPE,-1,repression,,0,
Seed Size,E0028,AN3,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0029,ARF2,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0030,life history,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0031,VVAGL12,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0032,Reduced expression o,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0033,EOD3,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
Seed Size,E0034,DA2,GENE,Seed_Size,PHENOTYPE,1,activation,,0,
