edge_id,source,target,sign,effect,pmid,inferred
E0001,phytohormones,Seed_Size,1,activation,32983222,False
E0002,FAE1,Seed_Size,1,activation,35717237,False
E0003,ENO2,Seed_Size,-1,repression,32983222,False
E0004,Overexpression of mi,Seed_Size,1,activation,33114207,False
E0005,TASERK3,Seed_Size,1,activation,28959050,False
E0006,GmPSKγ1,Seed_Size,1,activation,30756185,False
E0007,AfAP2-2-overexpressi,Seed_Size,-1,repression,31048121,False
E0008,MEE57,Seed_Size,-1,repression,35088155,False
E0009,PPD,Seed_Size,1,activation,35510737,False
E0010,Brassinosteroid,Seed_Size,1,activation,27498784,False
E0011,PSK,Seed_Size,1,activation,31668114,False
E0012,XsAP2 gene(s),Seed_Size,-1,repression,38225982,False
E0013,CHR7,Seed_Size,1,activation,37931037,False
E0014,transgenic A. thalia,Seed_Size,1,activation,34077776,False
E0015,A. thaliana mutants,Seed_Size,1,activation,19165318,False
E0016,parent-of-origin eff,Seed_Size,1,activation,35330872,False
E0017,TaZIP gene(s),Seed_Size,1,activation,34804090,False
E0018,HAIKU,Seed_Size,-1,repression,23505389,False
E0019,OES,Seed_Size,1,activation,29654768,False
E0020,MINI3,Seed_Size,-1,repression,35291943,False
E0021,KLU,Seed_Size,1,activation,26482479,False
E0022,Maternal and paterna,Seed_Size,1,activation,32055398,False
E0023,DDM2,Seed_Size,1,activation,35389984,False
E0024,DA1,Seed_Size,1,activation,33730150,False
E0025,nutrient sink effect,Seed_Size,1,activation,26261067,False
E0026,AP2,Seed_Size,1,activation,33013987,False
E0027,ANT,Seed_Size,-1,repression,33730150,False
E0028,AN3,Seed_Size,1,activation,28489361,False
E0029,ARF2,Seed_Size,1,activation,29619039,False
E0030,life history,Seed_Size,1,activation,25313128,False
E0031,VVAGL12,Seed_Size,1,activation,38003021,False
E0032,Reduced expression o,Seed_Size,1,activation,23326241,False
E0033,EOD3,Seed_Size,1,activation,29491878,False
E0034,DA2,Seed_Size,1,activation,25071811,False
E0035,YUC4,Seed_Size,1,activation,33730150,False
E0036,CKX2,Seed_Size,1,activation,20406451,False
E0037,ABAP1,Seed_Size,1,activation,33643370,False
E0038,limitation in nutrie,Seed_Size,1,activation,27286190,False
E0039,AUXIN,Seed_Size,1,activation,33670805,False
E0040,EOD1,Seed_Size,1,activation,25071811,False
E0041,EMBRYO,Seed_Size,1,activation,33670805,False
E0042,T-6b,Seed_Size,1,activation,35717237,False
E0043,IMPRINTING,Seed_Size,1,activation,37745544,False
E0044,transition from sync,Seed_Size,1,activation,27450467,False
E0045,BZR1,Seed_Size,1,activation,34386030,False
E0046,DPA4,Seed_Size,1,activation,25783029,False
E0047,genome balance in en,Seed_Size,1,activation,22431617,False
E0048,AGC1,Seed_Size,-1,repression,32219503,False
E0049,ATFAX1,Seed_Size,1,activation,34587987,False
E0050,UBP15,Seed_Size,1,activation,29387079,False
E0051,P1W,Seed_Size,1,activation,35483651,False
E0052,T540,Seed_Size,-1,repression,37372341,False
E0053,paternal genome exce,Seed_Size,1,activation,35330872,False
E0054,CHD3,Seed_Size,1,activation,37931037,False
E0055,EMB71,Seed_Size,1,activation,28489361,False
E0056,truncated R domain,Seed_Size,1,activation,36446861,False
E0057,AGL63,Seed_Size,1,activation,34440362,False
E0058,reduced seed product,Seed_Size,1,activation,26261067,False
E0059,SHB1,Seed_Size,1,activation,19141706,False
E0060,loss of ULTRAPETALA1,Seed_Size,1,activation,38217289,False
E0061,PMEI6,Seed_Size,-1,repression,36432874,False
E0062,Specific mutations,Seed_Size,1,activation,26261067,False
E0063,early expansion of c,Seed_Size,1,activation,27287798,False
E0064,ATMPK10,Seed_Size,-1,repression,33897728,False
E0065,growth conditions,Seed_Size,1,activation,19746162,False
E0066,AMI1,Seed_Size,1,activation,34439873,False
E0067,GMMYB73,Seed_Size,1,activation,24655684,False
E0068,APUM24,Seed_Size,1,activation,33729679,False
E0069,cytonuclear interact,Seed_Size,-1,repression,37745544,False
E0070,AGL,Seed_Size,1,activation,23326241,False
E0071,AGL62,Seed_Size,1,activation,23326241,False
E0072,Maternal excess hybr,Seed_Size,1,activation,26344545,False
E0073,STPL,Seed_Size,1,activation,27450467,False
E0074,soluble sugar accumu,Seed_Size,1,activation,28489361,False
E0075,GhDA1-1AR301K mutant,Seed_Size,1,activation,34093610,False
E0076,CYCD7,Seed_Size,1,activation,35463407,False
E0077,ATWRKY6,Seed_Size,1,activation,32129896,False
E0078,GAI,Seed_Size,1,activation,37435751,False
E0079,Defoliation during f,Seed_Size,1,activation,22276140,False
E0080,MEE45,Seed_Size,1,activation,33730150,False
E0081,IKU2,Seed_Size,-1,repression,23505389,False
E0082,BRI1,Seed_Size,-1,repression,30518173,False
E0083,Sibling abortion,Seed_Size,1,activation,27286190,False
E0084,Overexpression of Gh,Seed_Size,1,activation,34093610,False
E0085,TTG2,Seed_Size,1,activation,33156841,False
E0086,IKU1,Seed_Size,1,activation,35291943,False
E0087,parental genome dosa,Seed_Size,1,activation,35330872,False
E0088,HDG9,Seed_Size,1,activation,38319651,False
E0089,TT15,Seed_Size,-1,repression,34685527,False
E0090,GhDA1-1AR301K,Seed_Size,1,activation,34093610,False
E0091,NODGTT5,Seed_Size,1,activation,28070221,False
E0092,TASERK1,Seed_Size,1,activation,28959050,False
E0093,altered expression,Seed_Size,1,activation,30692258,False
E0094,SOD7,Seed_Size,1,activation,31159296,False
E0095,TaNAK1.2,Seed_Size,1,activation,36531344,False
E0096,constitutive express,Seed_Size,1,activation,29118774,False
E0097,LPFC,Seed_Size,1,activation,32158493,False
E0098,MYCS,Seed_Size,-1,repression,35642375,False
E0099,lipopeptide treatmen,Seed_Size,1,activation,27541497,False
E0100,autotetraploidy,Seed_Size,1,activation,34675953,False
E0101,CLE8,Seed_Size,1,activation,27450467,False
E0102,low redox buffering ,Seed_Size,1,activation,28457165,False
E0103,BnLEA3 gene(s),Seed_Size,1,activation,33882851,False
E0104,16 gene(s),Seed_Size,1,activation,22332878,False
E0105,parental origin,Seed_Size,1,activation,37308530,False
E0106,TEMPERATURE,Seed_Size,1,activation,24573642,False
E0107,Overexpression of Gm,Seed_Size,-1,repression,35216505,False
E0108,UMAMIT25,Seed_Size,1,activation,30312461,False
E0109,Lack of water,Seed_Size,1,activation,34723066,False
E0110,paternal inheritance,Seed_Size,1,activation,35330872,False
E0111,BSK3,Seed_Size,1,activation,32604988,False
E0112,RPT2,Seed_Size,1,activation,25071811,False
E0113,Endosperm developmen,Seed_Size,1,activation,18923020,False
E0114,NR,Seed_Size,1,activation,37625793,False
E0115,AGL11,Seed_Size,1,activation,34440362,False
E0116,Napin-BnGRF2a transg,Seed_Size,1,activation,22442419,False
E0117,GHNAC2,Seed_Size,1,activation,27113714,False
E0118,Overexpression of Xs,Seed_Size,-1,repression,38225982,False
E0119,ATRAV1,Seed_Size,-1,repression,30518173,False
E0120,sibling lethality,Seed_Size,1,activation,27286190,False
E0121,Maternal temperature,Seed_Size,1,activation,24573642,False
E0122,growth of endosperm,Seed_Size,1,activation,19141706,False
E0123,CYP78A9,Seed_Size,1,activation,22251317,False
E0124,GA,Seed_Size,1,activation,37566145,False
E0125,OTP90,Seed_Size,1,activation,32098170,False
E0126,Increased expression,Seed_Size,1,activation,23326241,False
E0127,AA,Seed_Size,1,activation,26628000,False
E0128,PPD1,Seed_Size,-1,repression,32296056,False
E0129,DNA,Seed_Size,1,activation,23505389,False
E0130,Overexpression of ol,Seed_Size,1,activation,31272381,False
E0131,Organellar genomes,Seed_Size,1,activation,35330872,False
E0132,IAA,Seed_Size,1,activation,33670805,False
E0133,TaNAK1.1,Seed_Size,-1,repression,36531344,False
E0134,Auxin export defect,Seed_Size,1,activation,33730150,False
E0135,GIG1,Seed_Size,1,activation,23326241,False
E0136,DECREASE,Seed_Size,1,activation,17012404,False
E0137,C24,Seed_Size,1,activation,36693864,False
E0138,MAX2,Seed_Size,1,activation,30795866,False
E0139,Genome hybridization,Seed_Size,1,activation,22540042,False
E0140,increase in ovule si,Seed_Size,1,activation,37435751,False
E0141,severe nitrogen limi,Seed_Size,1,activation,21800258,False
E0142,Overexpression of At,Seed_Size,1,activation,34093610,False
E0143,Overexpression of Eg,Seed_Size,1,activation,28370622,False
E0144,Endosperm cellulariz,Seed_Size,1,activation,33156841,False
E0145,TASERK2,Seed_Size,1,activation,28959050,False
E0146,MINISEED3,Seed_Size,1,activation,27857719,False
E0147,TaSDIR1-4A-overexpre,Seed_Size,1,activation,32479613,False
E0148,HYBRIDITY,Seed_Size,1,activation,35330872,False
E0149,LEA_1 subfamily,Seed_Size,-1,repression,33882851,False
E0150,P4-SIRNAS,Seed_Size,1,activation,23326241,False
E0151,Endosperm growth,Seed_Size,1,activation,26261067,False
E0152,MNT,Seed_Size,1,activation,16339187,False
E0153,extra cell division ,Seed_Size,1,activation,34386030,False
E0154,TASERK4,Seed_Size,1,activation,28959050,False
E0155,maternal donors,Seed_Size,1,activation,37308530,False
E0156,S2LB,Seed_Size,1,activation,38279311,False
E0157,GLN1,Seed_Size,1,activation,30649517,False
E0158,TAP46,Seed_Size,1,activation,25399018,False
E0159,mitotic synchrony,Seed_Size,1,activation,27450467,False
E0160,overexpressed ginsen,Seed_Size,1,activation,35163287,False
E0161,F1,Seed_Size,1,activation,35330872,False
E0162,LPAT2,Seed_Size,-1,repression,36226675,False
E0163,QTL,Seed_Size,1,activation,25313128,False
E0164,salt stress,Seed_Size,-1,repression,23585834,False
E0165,SUB,Seed_Size,-1,repression,27286190,False
E0166,Hypomethylation in t,Seed_Size,1,activation,17012404,False
E0167,4 x Ler,Seed_Size,1,activation,36693864,False
E0168,TESTA2,Seed_Size,-1,repression,32169818,False
E0169,ALLELE,Seed_Size,1,activation,25313128,False
E0170,timing of endosperm ,Seed_Size,1,activation,37072400,False
E0171,ARF3,Seed_Size,1,activation,29619039,False
E0172,DET2,Seed_Size,1,activation,30518173,False
E0173,USB1,Seed_Size,1,activation,32969475,False
E0174,ETFQO,Seed_Size,1,activation,34741366,False
E0175,FUS3,Seed_Size,1,activation,32265266,False
E0176,TASPL16,Seed_Size,1,activation,30873195,False
E0177,PGI1-2,Seed_Size,-1,repression,35991420,False
E0178,Over-expression of A,Seed_Size,-1,repression,33013987,False
E0179,UGT76C2,Seed_Size,1,activation,32379789,False
E0180,Overexpression of an,Seed_Size,1,activation,33304362,False
E0181,DEFOLIATION,Seed_Size,1,activation,22276140,False
E0182,GMDREBL,Seed_Size,1,activation,27694917,False
E0183,UMAMIT24,Seed_Size,1,activation,30312461,False
