node,node_type,activators,inhibitors,formula
phytohormones,,,,phytohormones = gene_modifier + exogenous_supply
Seed_Size,,"phytohormones,FAE1,Overexpression of mi,TASERK3,GmPSKγ1,PPD,Brassinosteroid,PSK,CHR7,transgenic A. thalia,A. thaliana mutants,parent-of-origin eff,TaZIP gene(s),OES,KLU,Maternal and paterna,DDM2,DA1,nutrient sink effect,AP2,AN3,ARF2,life history,VVAGL12,Reduced expression o,EOD3,DA2,YUC4,CKX2,ABAP1,limitation in nutrie,AUXIN,EOD1,EMBRYO,T-6b,IMPRINTING,transition from sync,BZR1,DPA4,genome balance in en,ATFAX1,UBP15,P1W,paternal genome exce,CHD3,EMB71,truncated R domain,AGL63,reduced seed product,SHB1,loss of ULTRAPETALA1,Specific mutations,early expansion of c,growth conditions,AMI1,GMMYB73,APUM24,AGL,AGL62,Maternal excess hybr,STPL,soluble sugar accumu,GhDA1-1AR301K mutant,CYCD7,ATWRKY6,GAI,Defoliation during f,MEE45,Sibling abortion,Overexpression of Gh,TTG2,IKU1,parental genome dosa,HDG9,GhDA1-1AR301K,NODGTT5,TASERK1,altered expression,SOD7,TaNAK1.2,constitutive express,LPFC,lipopeptide treatmen,autotetraploidy,CLE8,low redox buffering ,BnLEA3 gene(s),16 gene(s),parental origin,TEMPERATURE,UMAMIT25,Lack of water,paternal inheritance,BSK3,RPT2,Endosperm developmen,NR,AGL11,Napin-BnGRF2a transg,GHNAC2,sibling lethality,Maternal temperature,growth of endosperm,CYP78A9,GA,OTP90,Increased expression,AA,DNA,Overexpression of ol,Organellar genomes,IAA,Auxin export defect,GIG1,DECREASE,C24,MAX2,Genome hybridization,increase in ovule si,severe nitrogen limi,Overexpression of At,Overexpression of Eg,Endosperm cellulariz,TASERK2,MINISEED3,TaSDIR1-4A-overexpre,HYBRIDITY,P4-SIRNAS,Endosperm growth,MNT,extra cell division ,TASERK4,maternal donors,S2LB,GLN1,TAP46,mitotic synchrony,overexpressed ginsen,F1,QTL,Hypomethylation in t,4 x Ler,ALLELE,timing of endosperm ,ARF3,DET2,USB1,ETFQO,FUS3,TASPL16,UGT76C2,Overexpression of an,DEFOLIATION,GMDREBL,UMAMIT24,YB12,epigenetic factors,Heterologous express,PLOIDY,ATGPAT9,AHA2,Circadian gene(s) ex,Natural variation,Reduction of auxin b,length and width,OTU1,Partial ovule aborti,ATBAK1,2 x Col x 4 x Col,maternal contributio,DA1R358K,growth of maternal o,environmental factor,ATGSR2,transgenic PfDGAT3-1,3-aminotriazole,genetic correlations,ATLEA3,BPE,JAZ,large flower mutants,ATVPS29,E2,Sizes of cells and c,KS,partial silencing of,JCFATB,GMPLDΓ-OE,Overexpression of Bn,HDG3,CMV,cell number,DGAT,AHLPAAT2,AT3G01472.1,CU5,Overexpression of Ah,Transgenic seeds,RCA,ABX45,overexpression of Ta,Coordinated growth o,over-expression of C,Copper sulfate,EgWRI1-1,DAGT1,NPC6,HpDGAT1-overexpressi,JCFATA,ATGLK1,Seed oil content,Linnemannia elongata,GmDof4 transgenic pl,Delaying flowering,plant(s) photosynthe,CU20,Alteration of lipid ,transgenic PfDGAT2-2,Hybridization,SPECIES,HR02,EhDH domains,Severe water limitat,Ectopic expression o,CU60,PRWRI1,GmDof11 transgenic p,ATDGAT1,GENOTYPES,Severe water depriva,Reduced storage capa,PrLPAAT4-overexpress,overexpressed AhGPAT,BNGRF2A,NRPC3,ATBPC1,ATHD2A,plasma-seed treatmen,AIL5,ATLEC2,changed seed oil com,FIS,ATMDN1,Reproductive growth ,NaCl stress,basipetal auxin flow,ATHMP53,POLLINATION,ATMYB118,DIOXINS,ATC3H17,Growth Defects,ATLEC1,GENOTYPE,NRPC2,TPD1,CJBPC1,inter-ploidy cross d,down regulation of p,EDA3,triploid block,RGE1,LORELEI,low iron levels in c,ATTFIIB1,MIR159,RNAPIII,PCLEC1,ATUPF1,NRPABC1,EMF1,ATDOG1,FLOWERING,Vegetative developme,epigenetic variation,ABA,ABI5,higher fatty acid co,carbon starvation in,ATCSP2,LECOP1,ATHMP51,Autophagy in materna,analyzed peg mutants,changes in the ploid,overexpression of Pf,PheMYB4-1,BBM,ATSCO1,ATPPR2,genomic imprinting,Misbalanced expressi,soluble sugars,ATNPF8.3,SMC6A,parental cross direc,ATCBL3,fertilization with d,ABI3,ATSMC5,ABI4,ATMYB25,PGCRC,parental genome imba,VORICONAZOLE,NRPABC2,Decreased vesicular ,FOC,NRPC8,REM11,paternal genome,ATSR45,MEDEA,disruptions in valin,Maternal tissues,multiple processes/f,ATNDT1,short-term heat expo,integument of the ov,cellularization,NSE4A,E12A11,mitochondrial riboso,defects in endosperm,EMS,TCDD,NADP,altered flavonoid me,PCWRI1,ATTTG1,P5CS2,Fatty acid synthesis,11_11B,ATMYB56,PML3,MPC,ATCBL2,ATRAD18,LOCUS,ASK13,EMB1379,ATNADP-ME1,COSWEET10,FUSCA,MDKIN2,BPCS,PoWRI1 gene(s),Fragmentation of out,ER,BL,GME,overexpression of Ps,SUS,ATMMS21,fertilization proces,EL20Y,ATGRP2,PGA6,paternal regulation,fis class,PEGS,reciprocal inter-plo,ATPRP4,NSE3,BFN1,ATEIN2","ENO2,AfAP2-2-overexpressi,MEE57,XsAP2 gene(s),HAIKU,MINI3,ANT,AGC1,T540,PMEI6,ATMPK10,cytonuclear interact,IKU2,BRI1,TT15,MYCS,Overexpression of Gm,Overexpression of Xs,ATRAV1,PPD1,TaNAK1.1,LEA_1 subfamily,LPAT2,salt stress,SUB,TESTA2,PGI1-2,Over-expression of A,premature endosperm ,sense ZmRLK7 overexp,LuLEA1 gene(s),iku mutations,IAM,Overexpression of Br,TRITERPENE,gfp gene(s),ATMYB123,FAH12,Quadruple mutants,heterologous express,overexpression of Zm,PCF10SRDX,Overexpression of se,BRMYC2OE,OX40,OX26,Col-0 plant(s),macro-element defici,AHL29,triple mutants,gln1;1-gln1;2-gln1;3,Co-silencing RNAi of,E1,Remaining genotypes,AIF2,PRS,ATWDR5A,ATTT8,FIS-PRC2,FIS_PRC2,oxygen concentration,GmZOU-2,Difference in satura,NTRC,Inactivating imprint,Fis mutants,BnGA2ox6 overexpress,H2B,ASH2R,ATCSP4,CESA6,EMF,ATCHS,GCN1,plant(s) homozygous ,RBL","Seed_Size = (max(phytohormones, 0.01) * max(FAE1, 0.01) * max(Overexpression of mi, 0.01) * max(TASERK3, 0.01) * max(GmPSKγ1, 0.01) * max(PPD, 0.01) * max(Brassinosteroid, 0.01) * max(PSK, 0.01) * max(CHR7, 0.01) * max(transgenic A. thalia, 0.01) * max(A. thaliana mutants, 0.01) * max(parent-of-origin eff, 0.01) * max(TaZIP gene(s), 0.01) * max(OES, 0.01) * max(KLU, 0.01) * max(Maternal and paterna, 0.01) * max(DDM2, 0.01) * max(DA1, 0.01) * max(nutrient sink effect, 0.01) * max(AP2, 0.01) * max(AN3, 0.01) * max(ARF2, 0.01) * max(life history, 0.01) * max(VVAGL12, 0.01) * max(Reduced expression o, 0.01) * max(EOD3, 0.01) * max(DA2, 0.01) * max(YUC4, 0.01) * max(CKX2, 0.01) * max(ABAP1, 0.01) * max(limitation in nutrie, 0.01) * max(AUXIN, 0.01) * max(EOD1, 0.01) * max(EMBRYO, 0.01) * max(T-6b, 0.01) * max(IMPRINTING, 0.01) * max(transition from sync, 0.01) * max(BZR1, 0.01) * max(DPA4, 0.01) * max(genome balance in en, 0.01) * max(ATFAX1, 0.01) * max(UBP15, 0.01) * max(P1W, 0.01) * max(paternal genome exce, 0.01) * max(CHD3, 0.01) * max(EMB71, 0.01) * max(truncated R domain, 0.01) * max(AGL63, 0.01) * max(reduced seed product, 0.01) * max(SHB1, 0.01) * max(loss of ULTRAPETALA1, 0.01) * max(Specific mutations, 0.01) * max(early expansion of c, 0.01) * max(growth conditions, 0.01) * max(AMI1, 0.01) * max(GMMYB73, 0.01) * max(APUM24, 0.01) * max(AGL, 0.01) * max(AGL62, 0.01) * max(Maternal excess hybr, 0.01) * max(STPL, 0.01) * max(soluble sugar accumu, 0.01) * max(GhDA1-1AR301K mutant, 0.01) * max(CYCD7, 0.01) * max(ATWRKY6, 0.01) * max(GAI, 0.01) * max(Defoliation during f, 0.01) * max(MEE45, 0.01) * max(Sibling abortion, 0.01) * max(Overexpression of Gh, 0.01) * max(TTG2, 0.01) * max(IKU1, 0.01) * max(parental genome dosa, 0.01) * max(HDG9, 0.01) * max(GhDA1-1AR301K, 0.01) * max(NODGTT5, 0.01) * max(TASERK1, 0.01) * max(altered expression, 0.01) * max(SOD7, 0.01) * max(TaNAK1.2, 0.01) * max(constitutive express, 0.01) * max(LPFC, 0.01) * max(lipopeptide treatmen, 0.01) * max(autotetraploidy, 0.01) * max(CLE8, 0.01) * max(low redox buffering , 0.01) * max(BnLEA3 gene(s), 0.01) * max(16 gene(s), 0.01) * max(parental origin, 0.01) * max(TEMPERATURE, 0.01) * max(UMAMIT25, 0.01) * max(Lack of water, 0.01) * max(paternal inheritance, 0.01) * max(BSK3, 0.01) * max(RPT2, 0.01) * max(Endosperm developmen, 0.01) * max(NR, 0.01) * max(AGL11, 0.01) * max(Napin-BnGRF2a transg, 0.01) * max(GHNAC2, 0.01) * max(sibling lethality, 0.01) * max(Maternal temperature, 0.01) * max(growth of endosperm, 0.01) * max(CYP78A9, 0.01) * max(GA, 0.01) * max(OTP90, 0.01) * max(Increased expression, 0.01) * max(AA, 0.01) * max(DNA, 0.01) * max(Overexpression of ol, 0.01) * max(Organellar genomes, 0.01) * max(IAA, 0.01) * max(Auxin export defect, 0.01) * max(GIG1, 0.01) * max(DECREASE, 0.01) * max(C24, 0.01) * max(MAX2, 0.01) * max(Genome hybridization, 0.01) * max(increase in ovule si, 0.01) * max(severe nitrogen limi, 0.01) * max(Overexpression of At, 0.01) * max(Overexpression of Eg, 0.01) * max(Endosperm cellulariz, 0.01) * max(TASERK2, 0.01) * max(MINISEED3, 0.01) * max(TaSDIR1-4A-overexpre, 0.01) * max(HYBRIDITY, 0.01) * max(P4-SIRNAS, 0.01) * max(Endosperm growth, 0.01) * max(MNT, 0.01) * max(extra cell division , 0.01) * max(TASERK4, 0.01) * max(maternal donors, 0.01) * max(S2LB, 0.01) * max(GLN1, 0.01) * max(TAP46, 0.01) * max(mitotic synchrony, 0.01) * max(overexpressed ginsen, 0.01) * max(F1, 0.01) * max(QTL, 0.01) * max(Hypomethylation in t, 0.01) * max(4 x Ler, 0.01) * max(ALLELE, 0.01) * max(timing of endosperm , 0.01) * max(ARF3, 0.01) * max(DET2, 0.01) * max(USB1, 0.01) * max(ETFQO, 0.01) * max(FUS3, 0.01) * max(TASPL16, 0.01) * max(UGT76C2, 0.01) * max(Overexpression of an, 0.01) * max(DEFOLIATION, 0.01) * max(GMDREBL, 0.01) * max(UMAMIT24, 0.01) * max(YB12, 0.01) * max(epigenetic factors, 0.01) * max(Heterologous express, 0.01) * max(PLOIDY, 0.01) * max(ATGPAT9, 0.01) * max(AHA2, 0.01) * max(Circadian gene(s) ex, 0.01) * max(Natural variation, 0.01) * max(Reduction of auxin b, 0.01) * max(length and width, 0.01) * max(OTU1, 0.01) * max(Partial ovule aborti, 0.01) * max(ATBAK1, 0.01) * max(2 x Col x 4 x Col, 0.01) * max(maternal contributio, 0.01) * max(DA1R358K, 0.01) * max(growth of maternal o, 0.01) * max(environmental factor, 0.01) * max(ATGSR2, 0.01) * max(transgenic PfDGAT3-1, 0.01) * max(3-aminotriazole, 0.01) * max(genetic correlations, 0.01) * max(ATLEA3, 0.01) * max(BPE, 0.01) * max(JAZ, 0.01) * max(large flower mutants, 0.01) * max(ATVPS29, 0.01) * max(E2, 0.01) * max(Sizes of cells and c, 0.01) * max(KS, 0.01) * max(partial silencing of, 0.01) * max(JCFATB, 0.01) * max(GMPLDΓ-OE, 0.01) * max(Overexpression of Bn, 0.01) * max(HDG3, 0.01) * max(CMV, 0.01) * max(cell number, 0.01) * max(DGAT, 0.01) * max(AHLPAAT2, 0.01) * max(AT3G01472.1, 0.01) * max(CU5, 0.01) * max(Overexpression of Ah, 0.01) * max(Transgenic seeds, 0.01) * max(RCA, 0.01) * max(ABX45, 0.01) * max(overexpression of Ta, 0.01) * max(Coordinated growth o, 0.01) * max(over-expression of C, 0.01) * max(Copper sulfate, 0.01) * max(EgWRI1-1, 0.01) * max(DAGT1, 0.01) * max(NPC6, 0.01) * max(HpDGAT1-overexpressi, 0.01) * max(JCFATA, 0.01) * max(ATGLK1, 0.01) * max(Seed oil content, 0.01) * max(Linnemannia elongata, 0.01) * max(GmDof4 transgenic pl, 0.01) * max(Delaying flowering, 0.01) * max(plant(s) photosynthe, 0.01) * max(CU20, 0.01) * max(Alteration of lipid , 0.01) * max(transgenic PfDGAT2-2, 0.01) * max(Hybridization, 0.01) * max(SPECIES, 0.01) * max(HR02, 0.01) * max(EhDH domains, 0.01) * max(Severe water limitat, 0.01) * max(Ectopic expression o, 0.01) * max(CU60, 0.01) * max(PRWRI1, 0.01) * max(GmDof11 transgenic p, 0.01) * max(ATDGAT1, 0.01) * max(GENOTYPES, 0.01) * max(Severe water depriva, 0.01) * max(Reduced storage capa, 0.01) * max(PrLPAAT4-overexpress, 0.01) * max(overexpressed AhGPAT, 0.01) * max(BNGRF2A, 0.01) * max(NRPC3, 0.01) * max(ATBPC1, 0.01) * max(ATHD2A, 0.01) * max(plasma-seed treatmen, 0.01) * max(AIL5, 0.01) * max(ATLEC2, 0.01) * max(changed seed oil com, 0.01) * max(FIS, 0.01) * max(ATMDN1, 0.01) * max(Reproductive growth , 0.01) * max(NaCl stress, 0.01) * max(basipetal auxin flow, 0.01) * max(ATHMP53, 0.01) * max(POLLINATION, 0.01) * max(ATMYB118, 0.01) * max(DIOXINS, 0.01) * max(ATC3H17, 0.01) * max(Growth Defects, 0.01) * max(ATLEC1, 0.01) * max(GENOTYPE, 0.01) * max(NRPC2, 0.01) * max(TPD1, 0.01) * max(CJBPC1, 0.01) * max(inter-ploidy cross d, 0.01) * max(down regulation of p, 0.01) * max(EDA3, 0.01) * max(triploid block, 0.01) * max(RGE1, 0.01) * max(LORELEI, 0.01) * max(low iron levels in c, 0.01) * max(ATTFIIB1, 0.01) * max(MIR159, 0.01) * max(RNAPIII, 0.01) * max(PCLEC1, 0.01) * max(ATUPF1, 0.01) * max(NRPABC1, 0.01) * max(EMF1, 0.01) * max(ATDOG1, 0.01) * max(FLOWERING, 0.01) * max(Vegetative developme, 0.01) * max(epigenetic variation, 0.01) * max(ABA, 0.01) * max(ABI5, 0.01) * max(higher fatty acid co, 0.01) * max(carbon starvation in, 0.01) * max(ATCSP2, 0.01) * max(LECOP1, 0.01) * max(ATHMP51, 0.01) * max(Autophagy in materna, 0.01) * max(analyzed peg mutants, 0.01) * max(changes in the ploid, 0.01) * max(overexpression of Pf, 0.01) * max(PheMYB4-1, 0.01) * max(BBM, 0.01) * max(ATSCO1, 0.01) * max(ATPPR2, 0.01) * max(genomic imprinting, 0.01) * max(Misbalanced expressi, 0.01) * max(soluble sugars, 0.01) * max(ATNPF8.3, 0.01) * max(SMC6A, 0.01) * max(parental cross direc, 0.01) * max(ATCBL3, 0.01) * max(fertilization with d, 0.01) * max(ABI3, 0.01) * max(ATSMC5, 0.01) * max(ABI4, 0.01) * max(ATMYB25, 0.01) * max(PGCRC, 0.01) * max(parental genome imba, 0.01) * max(VORICONAZOLE, 0.01) * max(NRPABC2, 0.01) * max(Decreased vesicular , 0.01) * max(FOC, 0.01) * max(NRPC8, 0.01) * max(REM11, 0.01) * max(paternal genome, 0.01) * max(ATSR45, 0.01) * max(MEDEA, 0.01) * max(disruptions in valin, 0.01) * max(Maternal tissues, 0.01) * max(multiple processes/f, 0.01) * max(ATNDT1, 0.01) * max(short-term heat expo, 0.01) * max(integument of the ov, 0.01) * max(cellularization, 0.01) * max(NSE4A, 0.01) * max(E12A11, 0.01) * max(mitochondrial riboso, 0.01) * max(defects in endosperm, 0.01) * max(EMS, 0.01) * max(TCDD, 0.01) * max(NADP, 0.01) * max(altered flavonoid me, 0.01) * max(PCWRI1, 0.01) * max(ATTTG1, 0.01) * max(P5CS2, 0.01) * max(Fatty acid synthesis, 0.01) * max(11_11B, 0.01) * max(ATMYB56, 0.01) * max(PML3, 0.01) * max(MPC, 0.01) * max(ATCBL2, 0.01) * max(ATRAD18, 0.01) * max(LOCUS, 0.01) * max(ASK13, 0.01) * max(EMB1379, 0.01) * max(ATNADP-ME1, 0.01) * max(COSWEET10, 0.01) * max(FUSCA, 0.01) * max(MDKIN2, 0.01) * max(BPCS, 0.01) * max(PoWRI1 gene(s), 0.01) * max(Fragmentation of out, 0.01) * max(ER, 0.01) * max(BL, 0.01) * max(GME, 0.01) * max(overexpression of Ps, 0.01) * max(SUS, 0.01) * max(ATMMS21, 0.01) * max(fertilization proces, 0.01) * max(EL20Y, 0.01) * max(ATGRP2, 0.01) * max(PGA6, 0.01) * max(paternal regulation, 0.01) * max(fis class, 0.01) * max(PEGS, 0.01) * max(reciprocal inter-plo, 0.01) * max(ATPRP4, 0.01) * max(NSE3, 0.01) * max(BFN1, 0.01) * max(ATEIN2, 0.01))^(1/366) * min(1/max(ENO2 * AfAP2-2-overexpressi * MEE57 * XsAP2 gene(s) * HAIKU * MINI3 * ANT * AGC1 * T540 * PMEI6 * ATMPK10 * cytonuclear interact * IKU2 * BRI1 * TT15 * MYCS * Overexpression of Gm * Overexpression of Xs * ATRAV1 * PPD1 * TaNAK1.1 * LEA_1 subfamily * LPAT2 * salt stress * SUB * TESTA2 * PGI1-2 * Over-expression of A * premature endosperm  * sense ZmRLK7 overexp * LuLEA1 gene(s) * iku mutations * IAM * Overexpression of Br * TRITERPENE * gfp gene(s) * ATMYB123 * FAH12 * Quadruple mutants * heterologous express * overexpression of Zm * PCF10SRDX * Overexpression of se * BRMYC2OE * OX40 * OX26 * Col-0 plant(s) * macro-element defici * AHL29 * triple mutants * gln1;1-gln1;2-gln1;3 * Co-silencing RNAi of * E1 * Remaining genotypes * AIF2 * PRS * ATWDR5A * ATTT8 * FIS-PRC2 * FIS_PRC2 * oxygen concentration * GmZOU-2 * Difference in satura * NTRC * Inactivating imprint * Fis mutants * BnGA2ox6 overexpress * H2B * ASH2R * ATCSP4 * CESA6 * EMF * ATCHS * GCN1 * plant(s) homozygous  * RBL, 0.1), 10.0) * gene_modifier + exogenous_supply"
FAE1,,,,FAE1 = gene_modifier + exogenous_supply
ENO2,,,,ENO2 = gene_modifier + exogenous_supply
Overexpression of mi,,,,Overexpression of mi = gene_modifier + exogenous_supply
TASERK3,,,,TASERK3 = gene_modifier + exogenous_supply
GmPSKγ1,,,,GmPSKγ1 = gene_modifier + exogenous_supply
AfAP2-2-overexpressi,,,,AfAP2-2-overexpressi = gene_modifier + exogenous_supply
MEE57,,,,MEE57 = gene_modifier + exogenous_supply
PPD,,,,PPD = gene_modifier + exogenous_supply
