node,node_type,activators,inhibitors,formula
phytohormones,,,,phytohormones = 1.0 * 1.0 * gene_modifier + exogenous
Seed_Size,,"phytohormones,FAE1,Overexpression of mi,TASERK3,GmPSKγ1,PPD,Brassinosteroid,PSK,CHR7,transgenic A. thalia,A. thaliana mutants,parent-of-origin eff,TaZIP gene(s),OES,KLU,Maternal and paterna,DDM2,DA1,nutrient sink effect,AP2,AN3,ARF2,life history,VVAGL12,Reduced expression o,EOD3,DA2,YUC4,CKX2,ABAP1,limitation in nutrie,AUXIN,EOD1,EMBRYO,T-6b,IMPRINTING,transition from sync,BZR1,DPA4,genome balance in en,ATFAX1,UBP15,P1W,paternal genome exce,CHD3,EMB71,truncated R domain,AGL63,reduced seed product,SHB1,loss of ULTRAPETALA1,Specific mutations,early expansion of c,growth conditions,AMI1,GMMYB73,APUM24,AGL,AGL62,Maternal excess hybr,STPL,soluble sugar accumu,GhDA1-1AR301K mutant,CYCD7,ATWRKY6,GAI,Defoliation during f,MEE45,Sibling abortion,Overexpression of Gh,TTG2,IKU1,parental genome dosa,HDG9,GhDA1-1AR301K,NODGTT5,TASERK1,altered expression,SOD7,TaNAK1.2,constitutive express,LPFC,lipopeptide treatmen,autotetraploidy,CLE8,low redox buffering ,BnLEA3 gene(s),16 gene(s),parental origin,TEMPERATURE,UMAMIT25,Lack of water,paternal inheritance,BSK3,RPT2,Endosperm developmen,NR,AGL11,Napin-BnGRF2a transg,GHNAC2,sibling lethality,Maternal temperature,growth of endosperm,CYP78A9,GA,OTP90,Increased expression,AA,DNA,Overexpression of ol,Organellar genomes,IAA,Auxin export defect,GIG1,DECREASE,C24,MAX2,Genome hybridization,increase in ovule si,severe nitrogen limi,Overexpression of At,Overexpression of Eg,Endosperm cellulariz,TASERK2,MINISEED3,TaSDIR1-4A-overexpre,HYBRIDITY,P4-SIRNAS,Endosperm growth,MNT,extra cell division ,TASERK4,maternal donors,S2LB,GLN1,TAP46,mitotic synchrony,overexpressed ginsen,F1,QTL,Hypomethylation in t,4 x Ler,ALLELE,timing of endosperm ,ARF3,DET2,USB1,ETFQO,FUS3,TASPL16,UGT76C2,Overexpression of an,DEFOLIATION,GMDREBL,UMAMIT24,YB12,epigenetic factors,Heterologous express,PLOIDY,ATGPAT9,AHA2,Circadian gene(s) ex,Natural variation,Reduction of auxin b,length and width,OTU1,Partial ovule aborti,ATBAK1,2 x Col x 4 x Col,maternal contributio,DA1R358K,growth of maternal o,environmental factor,ATGSR2,transgenic PfDGAT3-1,3-aminotriazole,genetic correlations,ATLEA3,BPE,JAZ,large flower mutants,ATVPS29,E2,Sizes of cells and c,KS,partial silencing of,JCFATB,GMPLDΓ-OE,Overexpression of Bn,HDG3,CMV,cell number,DGAT,AHLPAAT2,AT3G01472.1,CU5,Overexpression of Ah,Transgenic seeds,RCA,ABX45,overexpression of Ta,Coordinated growth o,over-expression of C,Copper sulfate,EgWRI1-1,DAGT1,NPC6,HpDGAT1-overexpressi,JCFATA,ATGLK1,Seed oil content,Linnemannia elongata,GmDof4 transgenic pl,Delaying flowering,plant(s) photosynthe,CU20,Alteration of lipid ,transgenic PfDGAT2-2,Hybridization,SPECIES,HR02,EhDH domains,Severe water limitat,Ectopic expression o,CU60,PRWRI1,GmDof11 transgenic p,ATDGAT1,GENOTYPES,Severe water depriva,Reduced storage capa,PrLPAAT4-overexpress,overexpressed AhGPAT,BNGRF2A,NRPC3,ATBPC1,ATHD2A,plasma-seed treatmen,AIL5,ATLEC2,changed seed oil com,FIS,ATMDN1,Reproductive growth ,NaCl stress,basipetal auxin flow,ATHMP53,POLLINATION,ATMYB118,DIOXINS,ATC3H17,Growth Defects,ATLEC1,GENOTYPE,NRPC2,TPD1,CJBPC1,inter-ploidy cross d,down regulation of p,EDA3,triploid block,RGE1,LORELEI,low iron levels in c,ATTFIIB1,MIR159,RNAPIII,PCLEC1,ATUPF1,NRPABC1,EMF1,ATDOG1,FLOWERING,Vegetative developme,epigenetic variation,ABA,ABI5,higher fatty acid co,carbon starvation in,ATCSP2,LECOP1,ATHMP51,Autophagy in materna,analyzed peg mutants,changes in the ploid,overexpression of Pf,PheMYB4-1,BBM,ATSCO1,ATPPR2,genomic imprinting,Misbalanced expressi,soluble sugars,ATNPF8.3,SMC6A,parental cross direc,ATCBL3,fertilization with d,ABI3,ATSMC5,ABI4,ATMYB25,PGCRC,parental genome imba,VORICONAZOLE,NRPABC2,Decreased vesicular ,FOC,NRPC8,REM11,paternal genome,ATSR45,MEDEA,disruptions in valin,Maternal tissues,multiple processes/f,ATNDT1,short-term heat expo,integument of the ov,cellularization,NSE4A,E12A11,mitochondrial riboso,defects in endosperm,EMS,TCDD,NADP,altered flavonoid me,PCWRI1,ATTTG1,P5CS2,Fatty acid synthesis,11_11B,ATMYB56,PML3,MPC,ATCBL2,ATRAD18,LOCUS,ASK13,EMB1379,ATNADP-ME1,COSWEET10,FUSCA,MDKIN2,BPCS,PoWRI1 gene(s),Fragmentation of out,ER,BL,GME,overexpression of Ps,SUS,ATMMS21,fertilization proces,EL20Y,ATGRP2,PGA6,paternal regulation,fis class,PEGS,reciprocal inter-plo,ATPRP4,NSE3,BFN1,ATEIN2","ENO2,AfAP2-2-overexpressi,MEE57,XsAP2 gene(s),HAIKU,MINI3,ANT,AGC1,T540,PMEI6,ATMPK10,cytonuclear interact,IKU2,BRI1,TT15,MYCS,Overexpression of Gm,Overexpression of Xs,ATRAV1,PPD1,TaNAK1.1,LEA_1 subfamily,LPAT2,salt stress,SUB,TESTA2,PGI1-2,Over-expression of A,premature endosperm ,sense ZmRLK7 overexp,LuLEA1 gene(s),iku mutations,IAM,Overexpression of Br,TRITERPENE,gfp gene(s),ATMYB123,FAH12,Quadruple mutants,heterologous express,overexpression of Zm,PCF10SRDX,Overexpression of se,BRMYC2OE,OX40,OX26,Col-0 plant(s),macro-element defici,AHL29,triple mutants,gln1;1-gln1;2-gln1;3,Co-silencing RNAi of,E1,Remaining genotypes,AIF2,PRS,ATWDR5A,ATTT8,FIS-PRC2,FIS_PRC2,oxygen concentration,GmZOU-2,Difference in satura,NTRC,Inactivating imprint,Fis mutants,BnGA2ox6 overexpress,H2B,ASH2R,ATCSP4,CESA6,EMF,ATCHS,GCN1,plant(s) homozygous ,RBL","Seed_Size = prod(f(phytohormones, FAE1, Overexpression of mi, TASERK3, GmPSKγ1, PPD, Brassinosteroid, PSK, CHR7, transgenic A. thalia, A. thaliana mutants, parent-of-origin eff, TaZIP gene(s), OES, KLU, Maternal and paterna, DDM2, DA1, nutrient sink effect, AP2, AN3, ARF2, life history, VVAGL12, Reduced expression o, EOD3, DA2, YUC4, CKX2, ABAP1, limitation in nutrie, AUXIN, EOD1, EMBRYO, T-6b, IMPRINTING, transition from sync, BZR1, DPA4, genome balance in en, ATFAX1, UBP15, P1W, paternal genome exce, CHD3, EMB71, truncated R domain, AGL63, reduced seed product, SHB1, loss of ULTRAPETALA1, Specific mutations, early expansion of c, growth conditions, AMI1, GMMYB73, APUM24, AGL, AGL62, Maternal excess hybr, STPL, soluble sugar accumu, GhDA1-1AR301K mutant, CYCD7, ATWRKY6, GAI, Defoliation during f, MEE45, Sibling abortion, Overexpression of Gh, TTG2, IKU1, parental genome dosa, HDG9, GhDA1-1AR301K, NODGTT5, TASERK1, altered expression, SOD7, TaNAK1.2, constitutive express, LPFC, lipopeptide treatmen, autotetraploidy, CLE8, low redox buffering , BnLEA3 gene(s), 16 gene(s), parental origin, TEMPERATURE, UMAMIT25, Lack of water, paternal inheritance, BSK3, RPT2, Endosperm developmen, NR, AGL11, Napin-BnGRF2a transg, GHNAC2, sibling lethality, Maternal temperature, growth of endosperm, CYP78A9, GA, OTP90, Increased expression, AA, DNA, Overexpression of ol, Organellar genomes, IAA, Auxin export defect, GIG1, DECREASE, C24, MAX2, Genome hybridization, increase in ovule si, severe nitrogen limi, Overexpression of At, Overexpression of Eg, Endosperm cellulariz, TASERK2, MINISEED3, TaSDIR1-4A-overexpre, HYBRIDITY, P4-SIRNAS, Endosperm growth, MNT, extra cell division , TASERK4, maternal donors, S2LB, GLN1, TAP46, mitotic synchrony, overexpressed ginsen, F1, QTL, Hypomethylation in t, 4 x Ler, ALLELE, timing of endosperm , ARF3, DET2, USB1, ETFQO, FUS3, TASPL16, UGT76C2, Overexpression of an, DEFOLIATION, GMDREBL, UMAMIT24, YB12, epigenetic factors, Heterologous express, PLOIDY, ATGPAT9, AHA2, Circadian gene(s) ex, Natural variation, Reduction of auxin b, length and width, OTU1, Partial ovule aborti, ATBAK1, 2 x Col x 4 x Col, maternal contributio, DA1R358K, growth of maternal o, environmental factor, ATGSR2, transgenic PfDGAT3-1, 3-aminotriazole, genetic correlations, ATLEA3, BPE, JAZ, large flower mutants, ATVPS29, E2, Sizes of cells and c, KS, partial silencing of, JCFATB, GMPLDΓ-OE, Overexpression of Bn, HDG3, CMV, cell number, DGAT, AHLPAAT2, AT3G01472.1, CU5, Overexpression of Ah, Transgenic seeds, RCA, ABX45, overexpression of Ta, Coordinated growth o, over-expression of C, Copper sulfate, EgWRI1-1, DAGT1, NPC6, HpDGAT1-overexpressi, JCFATA, ATGLK1, Seed oil content, Linnemannia elongata, GmDof4 transgenic pl, Delaying flowering, plant(s) photosynthe, CU20, Alteration of lipid , transgenic PfDGAT2-2, Hybridization, SPECIES, HR02, EhDH domains, Severe water limitat, Ectopic expression o, CU60, PRWRI1, GmDof11 transgenic p, ATDGAT1, GENOTYPES, Severe water depriva, Reduced storage capa, PrLPAAT4-overexpress, overexpressed AhGPAT, BNGRF2A, NRPC3, ATBPC1, ATHD2A, plasma-seed treatmen, AIL5, ATLEC2, changed seed oil com, FIS, ATMDN1, Reproductive growth , NaCl stress, basipetal auxin flow, ATHMP53, POLLINATION, ATMYB118, DIOXINS, ATC3H17, Growth Defects, ATLEC1, GENOTYPE, NRPC2, TPD1, CJBPC1, inter-ploidy cross d, down regulation of p, EDA3, triploid block, RGE1, LORELEI, low iron levels in c, ATTFIIB1, MIR159, RNAPIII, PCLEC1, ATUPF1, NRPABC1, EMF1, ATDOG1, FLOWERING, Vegetative developme, epigenetic variation, ABA, ABI5, higher fatty acid co, carbon starvation in, ATCSP2, LECOP1, ATHMP51, Autophagy in materna, analyzed peg mutants, changes in the ploid, overexpression of Pf, PheMYB4-1, BBM, ATSCO1, ATPPR2, genomic imprinting, Misbalanced expressi, soluble sugars, ATNPF8.3, SMC6A, parental cross direc, ATCBL3, fertilization with d, ABI3, ATSMC5, ABI4, ATMYB25, PGCRC, parental genome imba, VORICONAZOLE, NRPABC2, Decreased vesicular , FOC, NRPC8, REM11, paternal genome, ATSR45, MEDEA, disruptions in valin, Maternal tissues, multiple processes/f, ATNDT1, short-term heat expo, integument of the ov, cellularization, NSE4A, E12A11, mitochondrial riboso, defects in endosperm, EMS, TCDD, NADP, altered flavonoid me, PCWRI1, ATTTG1, P5CS2, Fatty acid synthesis, 11_11B, ATMYB56, PML3, MPC, ATCBL2, ATRAD18, LOCUS, ASK13, EMB1379, ATNADP-ME1, COSWEET10, FUSCA, MDKIN2, BPCS, PoWRI1 gene(s), Fragmentation of out, ER, BL, GME, overexpression of Ps, SUS, ATMMS21, fertilization proces, EL20Y, ATGRP2, PGA6, paternal regulation, fis class, PEGS, reciprocal inter-plo, ATPRP4, NSE3, BFN1, ATEIN2)) * prod(g(ENO2, AfAP2-2-overexpressi, MEE57, XsAP2 gene(s), HAIKU, MINI3, ANT, AGC1, T540, PMEI6, ATMPK10, cytonuclear interact, IKU2, BRI1, TT15, MYCS, Overexpression of Gm, Overexpression of Xs, ATRAV1, PPD1, TaNAK1.1, LEA_1 subfamily, LPAT2, salt stress, SUB, TESTA2, PGI1-2, Over-expression of A, premature endosperm , sense ZmRLK7 overexp, LuLEA1 gene(s), iku mutations, IAM, Overexpression of Br, TRITERPENE, gfp gene(s), ATMYB123, FAH12, Quadruple mutants, heterologous express, overexpression of Zm, PCF10SRDX, Overexpression of se, BRMYC2OE, OX40, OX26, Col-0 plant(s), macro-element defici, AHL29, triple mutants, gln1;1-gln1;2-gln1;3, Co-silencing RNAi of, E1, Remaining genotypes, AIF2, PRS, ATWDR5A, ATTT8, FIS-PRC2, FIS_PRC2, oxygen concentration, GmZOU-2, Difference in satura, NTRC, Inactivating imprint, Fis mutants, BnGA2ox6 overexpress, H2B, ASH2R, ATCSP4, CESA6, EMF, ATCHS, GCN1, plant(s) homozygous , RBL)) * gene_modifier + exogenous"
FAE1,,,,FAE1 = 1.0 * 1.0 * gene_modifier + exogenous
ENO2,,,,ENO2 = 1.0 * 1.0 * gene_modifier + exogenous
Overexpression of mi,,,,Overexpression of mi = 1.0 * 1.0 * gene_modifier + exogenous
TASERK3,,,,TASERK3 = 1.0 * 1.0 * gene_modifier + exogenous
GmPSKγ1,,,,GmPSKγ1 = 1.0 * 1.0 * gene_modifier + exogenous
AfAP2-2-overexpressi,,,,AfAP2-2-overexpressi = 1.0 * 1.0 * gene_modifier + exogenous
MEE57,,,,MEE57 = 1.0 * 1.0 * gene_modifier + exogenous
PPD,,,,PPD = 1.0 * 1.0 * gene_modifier + exogenous
