test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,DA1,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,increased,False,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.108.060871', 'title': 'Control of final seed and organ size by the DA1 gene family', 'authors': 'Li Y et al.', 'year': 2008, 'journal': 'Genes & Development', 'evidence_sentence': 'large seeds, flowers, and leaves by promoting cell proliferation'}"
T002,DA2,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,increased,False,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.113.115063', 'title': 'DA1 Interacts with DA2 to Regulate Seed and Organ Size', 'authors': 'Xia T et al.', 'year': 2013, 'journal': 'The Plant Cell', 'evidence_sentence': 'Seeds produced by da2-1 were larger and heavier than wild-type seeds'}"
T003,EOD1,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,increased,False,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.108.060871', 'title': 'Control of final seed and organ size by DA1 gene family', 'authors': 'Li Y et al.', 'year': 2008, 'journal': 'Genes & Development', 'evidence_sentence': 'eod1 mutations synergistically enhanced the seed size phenotype of da1-1'}"
T004,UBP15,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,decreased,True,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.114.122663', 'title': 'DA1 Regulates Seed and Organ Size by Modulating UBP15/SOD2', 'authors': 'Du L et al.', 'year': 2014, 'journal': 'The Plant Cell', 'evidence_sentence': 'seeds from ubp15-1 plants were significantly smaller and lighter than wild-type seeds'}"
T005,UBP15,overexpression,2.0,,,0.0,0.001131,WT,0.0,1.001131,0.0016,1e-05,increased,increased,True,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.114.122663', 'title': 'DA1 Regulates Seed Size by Modulating UBP15/SOD2', 'authors': 'Du L et al.', 'year': 2014, 'journal': 'The Plant Cell', 'evidence_sentence': 'overexpression of UBP15 increases seed size of wild-type plants; gUBP15 transgenic plants formed larger and heavier seeds'}"
T006,SHB1,overexpression,2.0,,,0.0,0.001131,WT,0.0,1.001131,0.0016,1e-05,increased,increased,True,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.108.064972', 'title': 'SHB1 Associates with MINI3 and IKU2 Promoters', 'authors': 'Zhou Y et al.', 'year': 2009, 'journal': 'The Plant Cell', 'evidence_sentence': 'shb1-D seeds were 1.5-1.7x larger than wild-type with increased cell size and cell number'}"
T007,SHB1,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,decreased,True,Seed_Size,1,easy,1,True,2,"{'doi': '10.1105/tpc.108.064972', 'title': 'SHB1 Associates with MINI3 and IKU2 Promoters', 'authors': 'Zhou Y et al.', 'year': 2009, 'journal': 'The Plant Cell', 'evidence_sentence': 'shb1 loss-of-function seeds were 15% smaller'}"
T008,IKU2,knockout,0.0,,,0.0,0.001131,WT,0.0,1.001131,0.0016,1e-05,increased,decreased,False,Seed_Size,1,easy,1,True,2,"{'doi': '10.1073/pnas.0508418102', 'title': 'MINISEED3 and HAIKU2 are regulators of seed size in Arabidopsis', 'authors': 'Luo M et al.', 'year': 2005, 'journal': 'PNAS', 'evidence_sentence': 'Homozygotes of iku2 alleles produce a small seed phenotype associated with reduced growth and early cellularization of the endosperm'}"
T009,MINI3,knockout,0.0,,,0.0,0.001131,WT,0.0,1.001131,0.0016,1e-05,increased,decreased,False,Seed_Size,1,easy,1,True,2,"{'doi': '10.1073/pnas.0508418102', 'title': 'MINISEED3 and HAIKU2 are regulators of seed size in Arabidopsis', 'authors': 'Luo M et al.', 'year': 2005, 'journal': 'PNAS', 'evidence_sentence': 'Homozygotes of mini3 alleles produce a small seed phenotype'}"
T010,IKU1,knockout,0.0,,,0.0,-0.001131,WT,0.0,0.998869,-0.0016,1e-05,decreased,decreased,True,Seed_Size,1,easy,1,True,2,"{'doi': '10.1111/j.1365-313X.2010.04271.x', 'title': 'The VQ Motif protein IKU1 regulates endosperm growth and seed size', 'authors': 'Wang A et al.', 'year': 2010, 'journal': 'The Plant Journal', 'evidence_sentence': 'iku1 mutants have reduced endosperm growth and small seeds'}"
