test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,DA1,knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,increased,False,Seed_Size,1,easy,1,True,12,10.1105/tpc.113.115063
T002,DA2,knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,increased,False,Seed_Size,1,easy,1,True,12,10.1105/tpc.113.115063
T003,DA2,overexpression,2.0,,,1.0,1.001673,WT,1.0,1.001673,0.0024,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,6,10.1105/tpc.113.115063
T004,DA1 DA2,double_knockout,0.0,,,1.0,0.975318,WT,1.0,0.975318,-0.0361,0.05,unchanged,increased,False,Seed_Size,2,medium,1,True,14,10.1105/tpc.113.115063
T005,EOD1,knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,increased,False,Seed_Size,1,easy,1,True,12,10.1105/tpc.113.115063
T006,DA1 EOD1,double_knockout,0.0,,,1.0,0.975318,WT,1.0,0.975318,-0.0361,0.05,unchanged,increased,False,Seed_Size,2,medium,1,True,14,10.1105/tpc.113.115063
T007,UBP15,knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,12,10.1105/tpc.114.122663
T008,UBP15,overexpression,2.0,,,1.0,1.001673,WT,1.0,1.001673,0.0024,0.05,unchanged,increased,False,Seed_Size,1,easy,1,True,6,10.1105/tpc.114.122663
T009,UBP15 DA1,double_knockout,0.0,,,1.0,0.975318,WT,1.0,0.975318,-0.0361,0.05,unchanged,decreased,False,Seed_Size,2,medium,1,True,14,10.1105/tpc.114.122663
T010,KLUH,knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,12,10.1073/pnas.0907024106
T011,KLUH,overexpression,2.0,,,1.0,1.001673,WT,1.0,1.001673,0.0024,0.05,unchanged,increased,False,Seed_Size,1,easy,1,True,6,10.1073/pnas.0907024106
T012,CYP78A9,knockout,0.997,,,1.0,0.999998,WT,1.0,0.999998,-0.0,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,1,10.1073/pnas.0907024106
T013,KLUH CYP78A9,double_knockout,0.0,,,1.0,0.987669,WT,1.0,0.987669,-0.0179,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,12,10.1073/pnas.0907024106
T014,CYP78A6,knockout,0.997,,,1.0,0.999998,WT,1.0,0.999998,-0.0,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,1,10.3390/ijms241310666
T015,CYP78A6 CYP78A9,double_knockout,0.5,,,1.0,0.998331,WT,1.0,0.998331,-0.0024,0.05,unchanged,decreased,False,Seed_Size,1,easy,1,True,6,10.3390/ijms241310666
T016,KLUH TTG2,double_knockout,0.0,,,1.0,0.975318,WT,1.0,0.975318,-0.0361,0.05,unchanged,decreased,False,Seed_Size,2,medium,1,True,14,10.1073/pnas.0907024106
