network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Shoot Branching,E0001,ABCB19,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0002,SMXL678,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0003,BES1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0004,HB53,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0005,SMXL2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0006,TRE6P,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0007,NO3,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0008,D2,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0009,HACR,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0010,Nitrogen,METABOLITE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0011,ATCRY1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0012,MAX2,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0013,Extended period of c,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0014,Copper deficiency,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0015,ADL1,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0016,SLS,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0017,WT,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0018,BRC1,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0019,Heterologous overexp,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0020,SAP11,GENE,Shoot_Branching,PHENOTYPE,1,activation,,0,
Shoot Branching,E0021,KAI2,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
Shoot Branching,E0022,PIN347,GENE,Shoot_Branching,PHENOTYPE,-1,repression,,0,
