edge_id,source,target,sign,effect,pmid,inferred
E0001,ABCB19,Shoot_Branching,-1,repression,30865619,False
E0002,SMXL678,Shoot_Branching,1,activation,32295207,False
E0003,BES1,Shoot_Branching,1,activation,33404550,False
E0004,HB53,Shoot_Branching,-1,repression,33404550,False
E0005,SMXL2,Shoot_Branching,-1,repression,26754282,False
E0006,TRE6P,Shoot_Branching,1,activation,26635847,False
E0007,NO3,Shoot_Branching,-1,repression,33580260,False
E0008,D2,Shoot_Branching,1,activation,26257333,False
E0009,HACR,Shoot_Branching,-1,repression,29714687,False
E0010,Nitrogen,Shoot_Branching,-1,repression,25059707,False
E0011,ATCRY1,Shoot_Branching,1,activation,33367238,False
E0012,MAX2,Shoot_Branching,1,activation,30795866,False
E0013,Extended period of c,Shoot_Branching,1,activation,32631114,False
E0014,Copper deficiency,Shoot_Branching,1,activation,33283140,False
E0015,ADL1,Shoot_Branching,1,activation,29532023,False
E0016,SLS,Shoot_Branching,1,activation,33372050,False
E0017,WT,Shoot_Branching,-1,repression,12383090,False
E0018,BRC1,Shoot_Branching,-1,repression,20473553,False
E0019,Heterologous overexp,Shoot_Branching,1,activation,36360301,False
E0020,SAP11,Shoot_Branching,1,activation,30165491,False
E0021,KAI2,Shoot_Branching,-1,repression,30865619,False
E0022,PIN347,Shoot_Branching,-1,repression,30865619,False
E0023,PP5,Shoot_Branching,-1,repression,33372050,False
E0024,Strigolactone,Shoot_Branching,-1,repression,35563637,False
E0025,GR5,Shoot_Branching,-1,repression,35422835,False
E0026,ES10Y,Shoot_Branching,1,activation,22963533,False
E0027,Cytokinin,Shoot_Branching,1,activation,30795866,False
E0028,Effector protein(s),Shoot_Branching,-1,repression,34948378,False
E0029,shoot meristems,Shoot_Branching,1,activation,30865619,False
E0030,LCMAX1,Shoot_Branching,-1,repression,36084353,False
E0031,low red light to far,Shoot_Branching,-1,repression,28062593,False
E0032,miR156,Shoot_Branching,1,activation,22989211,False
E0033,EBE; (ERF114,Shoot_Branching,1,activation,23616605,False
E0034,CLAMT,Shoot_Branching,-1,repression,35344437,False
E0035,nutrient availabilit,Shoot_Branching,1,activation,25059707,False
E0036,FHY3,Shoot_Branching,1,activation,29930561,False
E0037,CN,Shoot_Branching,-1,repression,30643123,False
E0038,bioactive substance,Shoot_Branching,-1,repression,35344437,False
E0039,ASU1,Shoot_Branching,1,activation,26516842,False
E0040,LBO,Shoot_Branching,1,activation,32399509,False
E0041,Overexpression of Gh,Shoot_Branching,1,activation,34827097,False
E0042,HXK1,Shoot_Branching,1,activation,33909299,False
E0043,PERK12,Shoot_Branching,1,activation,20473553,False
E0044,PIN1,Shoot_Branching,1,activation,27618482,False
E0045,MIR171C,Shoot_Branching,-1,repression,20720155,False
E0046,BPTCP19,Shoot_Branching,-1,repression,33019650,False
E0047,exogenous applicatio,Shoot_Branching,-1,repression,33283140,False
E0048,Sucrose,Shoot_Branching,-1,repression,36945724,False
E0049,AUX,Shoot_Branching,-1,repression,23314820,False
E0050,production of long-d,Shoot_Branching,-1,repression,16262707,False
E0051,Auxin,Shoot_Branching,-1,repression,12815068,False
E0052,environmental condit,Shoot_Branching,1,activation,25059707,False
E0053,A1,Shoot_Branching,1,activation,35216327,False
E0054,PHYB,Shoot_Branching,-1,repression,36570939,False
E0055,MECLA,Shoot_Branching,-1,repression,32399509,False
E0056,CYP86A8,Shoot_Branching,1,activation,19876373,False
E0057,CARLACTONE,Shoot_Branching,-1,repression,23773129,False
E0058,DEFOLIATION,Shoot_Branching,1,activation,33909299,False
E0059,Overexpression of Cm,Shoot_Branching,-1,repression,32200192,False
E0060,Overexpression of At,Shoot_Branching,1,activation,34764442,False
E0061,ASL39,Shoot_Branching,1,activation,29367694,False
E0062,BPTCP8,Shoot_Branching,-1,repression,33019650,False
E0063,(2R)-isomers,Shoot_Branching,-1,repression,30643123,False
E0064,SPL15,Shoot_Branching,1,activation,34638756,False
E0065,cryptochrome 1,Shoot_Branching,-1,repression,33367238,False
E0066,PMF,Shoot_Branching,-1,repression,30643123,False
E0067,D14,Shoot_Branching,-1,repression,24610723,False
E0068,BPTCP14,Shoot_Branching,-1,repression,33019650,False
E0069,Loss-of-function in ,Shoot_Branching,1,activation,29532023,False
E0070,Altered carotenoid p,Shoot_Branching,1,activation,19174535,False
E0071,alterations in carbo,Shoot_Branching,1,activation,28471323,False
E0072,CAND1,Shoot_Branching,1,activation,16943276,False
E0073,SMAX1,Shoot_Branching,-1,repression,26754282,False
E0074,remaining MeCLA,Shoot_Branching,-1,repression,35344437,False
E0075,Undefined hormone,Shoot_Branching,-1,repression,16546078,False
E0076,initiation and growt,Shoot_Branching,1,activation,11410537,False
E0077,A. thaliana,Shoot_Branching,-1,repression,26136271,False
