test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
max1_ko,MAX1,knockout,0.0,,,1.0,2.999178,WT,1.0,2.999178,1.5846,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,74,"{'claim': 'MAX1 knockout shows increased shoot branching', 'evidence_sentence': 'MAX mutants show increased branching', 'source': {'doi': '10.1104/pp.112.211383', 'title': 'Strigolactone biosynthesis and signaling in plant development', 'year': 2013, 'verification': 'full_text_read', 'full_text_read': True}}"
lbo_ko,LBO,knockout,0.0,,,1.0,0.030246,WT,1.0,0.030246,-5.0471,0.05,decreased,increased,False,Shoot_Branching,1,easy,1,True,67,"{'claim': 'LBO knockout shows increased branching due to impaired SL biosynthesis', 'evidence_sentence': 'lbo mutants display increased shoot branching similar to other SL-deficient mutants', 'source': {'doi': '10.1016/j.molp.2017.03.013', 'title': 'LATERAL BRANCHING OXIDOREDUCTASE acts in the final stages of strigolactone biosynthesis in Arabidopsis', 'year': 2017, 'verification': 'full_text_read', 'full_text_read': True}}"
d14_ko,D14,knockout,0.0,,,1.0,2.999178,WT,1.0,2.999178,1.5846,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,74,"{'claim': 'D14 knockout shows increased shoot branching', 'evidence_sentence': 'd14-1 phenotypes indistinguishable from max4-5', 'source': {'doi': '10.1242/bio.021402', 'title': 'Strigolactone regulates shoot development through a core signalling pathway', 'year': 2016, 'verification': 'full_text_read', 'full_text_read': True}}"
max2_ko,MAX2,knockout,0.0,,,1.0,0.030246,WT,1.0,0.030246,-5.0471,0.05,decreased,increased,False,Shoot_Branching,1,easy,1,True,67,"{'claim': 'MAX2 knockout shows increased shoot branching', 'evidence_sentence': 'max2-1 shows increased branching, reduced height', 'source': {'doi': '10.1242/bio.021402', 'title': 'Strigolactone regulates shoot development through a core signalling pathway', 'year': 2016, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl6_single_ko,SMXL6,knockout,0.99,,,1.0,0.997497,WT,1.0,0.997497,-0.0036,0.05,unchanged,unchanged,True,Shoot_Branching,1,easy,1,True,13,"{'claim': 'SMXL6 single knockout shows no change in branching due to redundancy', 'evidence_sentence': 'smxl mutants displayed similar phenotypes to wild type', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl7_single_ko,SMXL7,knockout,0.99,,,1.0,0.997497,WT,1.0,0.997497,-0.0036,0.05,unchanged,unchanged,True,Shoot_Branching,1,easy,1,True,13,"{'claim': 'SMXL7 single knockout shows no change in branching due to redundancy', 'evidence_sentence': 'smxl mutants displayed similar phenotypes to wild type', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl8_single_ko,SMXL8,knockout,0.99,,,1.0,0.997497,WT,1.0,0.997497,-0.0036,0.05,unchanged,unchanged,True,Shoot_Branching,1,easy,1,True,13,"{'claim': 'SMXL8 single knockout shows no change in branching due to redundancy', 'evidence_sentence': 'smxl mutants displayed similar phenotypes to wild type', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl67_double_ko,"SMXL6, SMXL7",double_knockout,0.5,,,1.0,0.750845,WT,1.0,0.750845,-0.4134,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,54,"{'claim': 'SMXL6/SMXL7 double knockout shows decreased branching', 'evidence_sentence': 'smxl6/7 double mutant showed fewer branches', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl678_triple_ko,"SMXL6, SMXL7, SMXL8",triple_knockout,0.0,,,1.0,0.030246,WT,1.0,0.030246,-5.0471,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,67,"{'claim': 'SMXL6/7/8 triple knockout shows decreased branching', 'evidence_sentence': 'smxl6/7/8 displayed significant decrease in branching', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
smxl678_max2_quad_ko,"SMXL6, SMXL7, SMXL8, MAX2",quadruple_knockout,0.0,,,1.0,0.001724,WT,1.0,0.001724,-9.1802,0.05,decreased,decreased,True,Shoot_Branching,2,medium,1,True,67,"{'claim': 'smxl6/7/8 triple KO rescues max2 increased branching to decreased levels', 'evidence_sentence': 'smxl6/7/8 rescues max2 branching', 'source': {'doi': '10.1105/tpc.15.00605', 'title': 'SMXL6, SMXL7 and SMXL8 interact with MAX2 to promote strigolactone signalling', 'year': 2015, 'verification': 'full_text_read', 'full_text_read': True}}"
