test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,BRC1,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,brc1 mutants had a significantly higher number of rosette branches (RI and RII) than wild-type plants,,,,
T002,BRC1,OE,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Plants expressing GFP:BRC1 showed pleiotropic developmental defects and retarded growth,,,,
T003,HIGH,KO,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Wild-type plants responded to increased planting density with reduced branching,,,,
T004,DECAPITATION,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,Decapitation is a classical assay to study bud reactivation after release from apical dominance,,,,
T005,CCD7,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,High tillering (more branching) is observed in plant mutants disrupted in Carotenoid Cleavage Dioxygenase 7 (CCD7),,,,
T006,CCD8,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,and CCD8,,,,
T007,D27,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,in Dwarf 27 (D27) encoding an iron-binding polypeptide with unknown catalytic properties,,,,
T008,MAX1,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,in a cytochrome P450 gene represented by More Axillary Growth 1 (MAX1),,,,
T009,GR24,treatment,,,,WT,Shoot_Branching,decreased,moderate,,,,,,The application of the synthetic strigolactone GR24 restored the wild-type tillering/branching phenotype of these mutants,,,,
T010,D14,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,The d14 mutant exhibits increased shoot branching,,,,
T011,D10,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,the previously characterized strigolactone-deficient and -insensitive mutants d10 and d3,,,,
T012,SUCROSE,treatment,,,,WT,Shoot_Branching,increased,moderate,,,,,,Sucrose determined bud entrance into sustained growth in a concentration-dependent manner.,,,,
T013,SMXL6,KO,,,,WT,Shoot_Branching,increased,moderate,,,,,,smxl6 smxl7 smxl8 triple knockout mutants can restore branching in strigolactone biosynthesis and signaling mutant backgrounds to wild type levels,,,,
