test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.106.048934
T002,BRC1,OE,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,27,10.1105/tpc.106.048934
T004,DECAPITATION,KO,0.0,,,1.0,0.100057,WT,1.0,0.100057,-3.3211,0.05,decreased,increased,False,Shoot_Branching,1,easy,2,True,30,10.1105/tpc.106.048934
T009,GR24,treatment,1.0,Strigolactone,1.0,1.0,0.397052,WT,1.0,0.397052,-1.3326,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,25,10.1126/science.1215933
T012,SUCROSE,treatment,1.0,Sucrose,1.0,1.0,9.999802,WT,1.0,9.999802,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,2,True,45,10.1093/jxb/erv047
T013,SMXL6,KO,0.0,,,1.0,0.10005,WT,1.0,0.10005,-3.3212,0.05,decreased,increased,False,Shoot_Branching,1,easy,2,True,35,10.1016/j.tplants.2018.12.001
T015,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1104/pp.108.134783
T019,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1016/j.devcel.2005.01.009
T022,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.114.122903
T023,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.114.122903
T025,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1242/dev.051987
T030,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1038/nrm3088
T031,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1038/nrm3088
T033,rms4,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1104/pp.111.186783
T036,FC1,KO,0.0,,,1.0,9.999772,mutant,9.999772,1.0,0.0,0.05,unchanged,increased,False,Shoot_Branching,1,easy,1,True,35,10.1016/j.molp.2019.12.005
