node,node_type,activators,inhibitors,formula
Auxin,,,,Auxin = gene_modifier + exogenous_supply
BRC1,,"Auxin,MAX_Pathway,Strigolactone,MAX2,SPL9,Strigolactones","Decapitation,Cytokinin,Cytokinins,Auxin,SMXL678,SMXL6,FHY3,FT","BRC1 = (max(max(Auxin,0.01)*max(MAX_Pathway,0.01)*max(Strigolactone,0.01)*max(MAX2,0.01)*max(SPL9,0.01)*max(Strigolactones,0.01),0.01)^(1/6)) * (min(1/max(Decapitation*Cytokinin*Cytokinins*Auxin*SMXL678*SMXL6*FHY3*FT,0.1),10.0)) * gene_modifier + exogenous_supply"
CCD7,,D27,,"CCD7 = (max(max(D27,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
CCD8,,CCD7,,"CCD8 = (max(max(CCD7,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
Cytokinin,,Sucrose,"Auxin,OsCKX9","Cytokinin = (max(max(Sucrose,0.01),0.01)^(1/1)) * (min(1/max(Auxin*OsCKX9,0.1),10.0)) * gene_modifier + exogenous_supply"
Cytokinins,,,,Cytokinins = gene_modifier + exogenous_supply
D14,,,"Strigolactone,MAX2","D14 = (1.0) * (min(1/max(Strigolactone*MAX2,0.1),10.0)) * gene_modifier + exogenous_supply"
D27,,Auxin,,"D27 = (max(max(Auxin,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
D53,,,Strigolactones,"D53 = (1.0) * (min(1/max(Strigolactones,0.1),10.0)) * gene_modifier + exogenous_supply"
Decapitation,,,,Decapitation = gene_modifier + exogenous_supply
FHY3,,,,FHY3 = gene_modifier + exogenous_supply
FT,,Tre6P,,"FT = (max(max(Tre6P,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
HXK1,,,,HXK1 = gene_modifier + exogenous_supply
IPT3,,HXK1,,"IPT3 = (max(max(HXK1,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
MAX1,,,,MAX1 = gene_modifier + exogenous_supply
MAX2,,D14,HXK1,"MAX2 = (max(max(D14,0.01),0.01)^(1/1)) * (min(1/max(HXK1,0.1),10.0)) * gene_modifier + exogenous_supply"
MAX3,,Auxin,,"MAX3 = (max(max(Auxin,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
MAX4,,Auxin,,"MAX4 = (max(max(Auxin,0.01),0.01)^(1/1)) * (1.0) * gene_modifier + exogenous_supply"
MAX_Pathway,,,,MAX_Pathway = gene_modifier + exogenous_supply
OsCKX9,,Strigolactone,D53,"OsCKX9 = (max(max(Strigolactone,0.01),0.01)^(1/1)) * (min(1/max(D53,0.1),10.0)) * gene_modifier + exogenous_supply"
SMAX1,,,,SMAX1 = gene_modifier + exogenous_supply
SMXL6,,FHY3,MAX2,"SMXL6 = (max(max(FHY3,0.01),0.01)^(1/1)) * (min(1/max(MAX2,0.1),10.0)) * gene_modifier + exogenous_supply"
SMXL678,,,,SMXL678 = gene_modifier + exogenous_supply
SMXL7,,,"D14,MAX2","SMXL7 = (1.0) * (min(1/max(D14*MAX2,0.1),10.0)) * gene_modifier + exogenous_supply"
SMXL8,,,,SMXL8 = gene_modifier + exogenous_supply
SPL9,,,SMXL6,"SPL9 = (1.0) * (min(1/max(SMXL6,0.1),10.0)) * gene_modifier + exogenous_supply"
Shoot_Branching,,"Cytokinin,HXK1,Sucrose,VInv,SMXL6,SMXL7,SMXL8,SMAX1,FHY3,Tre6P,FT","BRC1,D14,MAX2,Strigolactones","Shoot_Branching = (max(max(Cytokinin,0.01)*max(HXK1,0.01)*max(Sucrose,0.01)*max(VInv,0.01)*max(SMXL6,0.01)*max(SMXL7,0.01)*max(SMXL8,0.01)*max(SMAX1,0.01)*max(FHY3,0.01)*max(Tre6P,0.01)*max(FT,0.01),0.01)^(1/11)) * (min(1/max(BRC1*D14*MAX2*Strigolactones,0.1),10.0)) * gene_modifier + exogenous_supply"
Strigolactone,,"CCD8,MAX1,MAX3,MAX4,Auxin",,"Strigolactone = (max(max(CCD8,0.01)*max(MAX1,0.01)*max(MAX3,0.01)*max(MAX4,0.01)*max(Auxin,0.01),0.01)^(1/5)) * (1.0) * gene_modifier + exogenous_supply"
Strigolactones,,,,Strigolactones = gene_modifier + exogenous_supply
Sucrose,,,,Sucrose = gene_modifier + exogenous_supply
Tre6P,,,,Tre6P = gene_modifier + exogenous_supply
VInv,,"Cytokinin,Sucrose",,"VInv = (max(max(Cytokinin,0.01)*max(Sucrose,0.01),0.01)^(1/2)) * (1.0) * gene_modifier + exogenous_supply"
