node,node_type,activators,inhibitors,formula
Auxin,,,,Auxin = 1.0 * 1.0 * gene_modifier + exogenous
BRC1,,"Auxin,MAX_Pathway,Strigolactone,MAX2,SPL9,Strigolactones","Decapitation,Cytokinin,Cytokinins,Auxin,SMXL678,SMXL6,FHY3,FT",BRC1 = ((Auxin^2 * (1.0+1) / (1.0 + Auxin^2)) * (MAX_Pathway^2 * (1.0+1) / (1.0 + MAX_Pathway^2)) * (Strigolactone^2 * (1.0+1) / (1.0 + Strigolactone^2)) * (MAX2^2 * (1.0+1) / (1.0 + MAX2^2)) * (SPL9^2 * (1.0+1) / (1.0 + SPL9^2)) * (Strigolactones^2 * (1.0+1) / (1.0 + Strigolactones^2))) * (((1.0+1) / (1.0 + Decapitation^2)) * ((1.0+1) / (1.0 + Cytokinin^2)) * ((1.0+1) / (1.0 + Cytokinins^2)) * ((1.0+1) / (1.0 + Auxin^2)) * ((1.0+1) / (1.0 + SMXL678^2)) * ((1.0+1) / (1.0 + SMXL6^2)) * ((1.0+1) / (1.0 + FHY3^2)) * ((1.0+1) / (1.0 + FT^2))) * gene_modifier + exogenous
CCD7,,D27,,CCD7 = ((D27^2 * (1.0+1) / (1.0 + D27^2))) * (1.0) * gene_modifier + exogenous
CCD8,,CCD7,,CCD8 = ((CCD7^2 * (1.0+1) / (1.0 + CCD7^2))) * (1.0) * gene_modifier + exogenous
Cytokinin,,Sucrose,"Auxin,OsCKX9",Cytokinin = ((Sucrose^2 * (1.0+1) / (1.0 + Sucrose^2))) * (((1.0+1) / (1.0 + Auxin^2)) * ((1.0+1) / (1.0 + OsCKX9^2))) * gene_modifier + exogenous
Cytokinins,,,,Cytokinins = 1.0 * 1.0 * gene_modifier + exogenous
D14,,,"Strigolactone,MAX2",D14 = (1.0) * (((1.0+1) / (1.0 + Strigolactone^2)) * ((1.0+1) / (1.0 + MAX2^2))) * gene_modifier + exogenous
D27,,Auxin,,D27 = ((Auxin^2 * (1.0+1) / (1.0 + Auxin^2))) * (1.0) * gene_modifier + exogenous
D53,,,Strigolactones,D53 = (1.0) * (((1.0+1) / (1.0 + Strigolactones^2))) * gene_modifier + exogenous
Decapitation,,,,Decapitation = 1.0 * 1.0 * gene_modifier + exogenous
FHY3,,,,FHY3 = 1.0 * 1.0 * gene_modifier + exogenous
FT,,Tre6P,,FT = ((Tre6P^2 * (1.0+1) / (1.0 + Tre6P^2))) * (1.0) * gene_modifier + exogenous
HXK1,,,,HXK1 = 1.0 * 1.0 * gene_modifier + exogenous
IPT3,,HXK1,,IPT3 = ((HXK1^2 * (1.0+1) / (1.0 + HXK1^2))) * (1.0) * gene_modifier + exogenous
MAX1,,,,MAX1 = 1.0 * 1.0 * gene_modifier + exogenous
MAX2,,D14,HXK1,MAX2 = ((D14^2 * (1.0+1) / (1.0 + D14^2))) * (((1.0+1) / (1.0 + HXK1^2))) * gene_modifier + exogenous
MAX3,,Auxin,,MAX3 = ((Auxin^2 * (1.0+1) / (1.0 + Auxin^2))) * (1.0) * gene_modifier + exogenous
MAX4,,Auxin,,MAX4 = ((Auxin^2 * (1.0+1) / (1.0 + Auxin^2))) * (1.0) * gene_modifier + exogenous
MAX_Pathway,,,,MAX_Pathway = 1.0 * 1.0 * gene_modifier + exogenous
OsCKX9,,Strigolactone,D53,OsCKX9 = ((Strigolactone^2 * (1.0+1) / (1.0 + Strigolactone^2))) * (((1.0+1) / (1.0 + D53^2))) * gene_modifier + exogenous
SMAX1,,,,SMAX1 = 1.0 * 1.0 * gene_modifier + exogenous
SMXL6,,FHY3,MAX2,SMXL6 = ((FHY3^2 * (1.0+1) / (1.0 + FHY3^2))) * (((1.0+1) / (1.0 + MAX2^2))) * gene_modifier + exogenous
SMXL678,,,,SMXL678 = 1.0 * 1.0 * gene_modifier + exogenous
SMXL7,,,"D14,MAX2",SMXL7 = (1.0) * (((1.0+1) / (1.0 + D14^2)) * ((1.0+1) / (1.0 + MAX2^2))) * gene_modifier + exogenous
SMXL8,,,,SMXL8 = 1.0 * 1.0 * gene_modifier + exogenous
SPL9,,,SMXL6,SPL9 = (1.0) * (((1.0+1) / (1.0 + SMXL6^2))) * gene_modifier + exogenous
Shoot_Branching,,"Cytokinin,HXK1,Sucrose,VInv,SMXL6,SMXL7,SMXL8,SMAX1,FHY3,Tre6P,FT","BRC1,D14,MAX2,Strigolactones",Shoot_Branching = ((Cytokinin^2 * (1.0+1) / (1.0 + Cytokinin^2)) * (HXK1^2 * (1.0+1) / (1.0 + HXK1^2)) * (Sucrose^2 * (1.0+1) / (1.0 + Sucrose^2)) * (VInv^2 * (1.0+1) / (1.0 + VInv^2)) * (SMXL6^2 * (1.0+1) / (1.0 + SMXL6^2)) * (SMXL7^2 * (1.0+1) / (1.0 + SMXL7^2)) * (SMXL8^2 * (1.0+1) / (1.0 + SMXL8^2)) * (SMAX1^2 * (1.0+1) / (1.0 + SMAX1^2)) * (FHY3^2 * (1.0+1) / (1.0 + FHY3^2)) * (Tre6P^2 * (1.0+1) / (1.0 + Tre6P^2)) * (FT^2 * (1.0+1) / (1.0 + FT^2))) * (((1.0+1) / (1.0 + BRC1^2)) * ((1.0+1) / (1.0 + D14^2)) * ((1.0+1) / (1.0 + MAX2^2)) * ((1.0+1) / (1.0 + Strigolactones^2))) * gene_modifier + exogenous
Strigolactone,,"CCD8,MAX1,MAX3,MAX4,Auxin",,Strigolactone = ((CCD8^2 * (1.0+1) / (1.0 + CCD8^2)) * (MAX1^2 * (1.0+1) / (1.0 + MAX1^2)) * (MAX3^2 * (1.0+1) / (1.0 + MAX3^2)) * (MAX4^2 * (1.0+1) / (1.0 + MAX4^2)) * (Auxin^2 * (1.0+1) / (1.0 + Auxin^2))) * (1.0) * gene_modifier + exogenous
Strigolactones,,,,Strigolactones = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose,,,,Sucrose = 1.0 * 1.0 * gene_modifier + exogenous
Tre6P,,,,Tre6P = 1.0 * 1.0 * gene_modifier + exogenous
VInv,,"Cytokinin,Sucrose",,VInv = ((Cytokinin^2 * (1.0+1) / (1.0 + Cytokinin^2)) * (Sucrose^2 * (1.0+1) / (1.0 + Sucrose^2))) * (1.0) * gene_modifier + exogenous
