network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Shoot Branching,N001,BRC1,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,BRC1 inhibits shoot branching,1,10.1105/tpc.106.048934
Shoot Branching,N002,Auxin,HORMONE,BRC1,GENE,1,activation,Auxin promotes BRC1 expression,1,10.1105/tpc.106.048934
Shoot Branching,N003,MAX_Pathway,GENE,BRC1,GENE,1,activation,MAX pathway promotes BRC1 expression,1,10.1105/tpc.106.048934
Shoot Branching,N004,Decapitation,ENVIRONMENT,BRC1,GENE,-1,inhibition,Decapitation inhibits BRC1 expression,1,10.1105/tpc.106.048934
Shoot Branching,N005,D27,GENE,CCD7,GENE,1,activation,D27 provides the substrate for CCD7,1,10.1126/science.1215933
Shoot Branching,N006,CCD7,GENE,CCD8,GENE,1,activation,CCD7 provides the substrate for CCD8,1,10.1126/science.1215933
Shoot Branching,N007,CCD8,GENE,Strigolactone,HORMONE,1,activation,CCD8 promotes Strigolactone biosynthesis,1,10.1126/science.1215933
Shoot Branching,N008,MAX1,GENE,Strigolactone,HORMONE,1,activation,MAX1 promotes Strigolactone biosynthesis,1,10.1093/pcp/pcp091
Shoot Branching,N009,MAX3,GENE,Strigolactone,HORMONE,1,activation,MAX3 promotes Strigolactone biosynthesis,1,10.1093/pcp/pcp091
Shoot Branching,N010,MAX4,GENE,Strigolactone,HORMONE,1,activation,MAX4 promotes Strigolactone biosynthesis,1,10.1093/pcp/pcp091
Shoot Branching,N011,Auxin,HORMONE,Strigolactone,HORMONE,1,activation,Auxin promotes Strigolactone biosynthesis,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N012,Auxin,HORMONE,Cytokinin,HORMONE,-1,inhibition,Auxin inhibits Cytokinin,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N013,Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,1,activation,Cytokinin promotes shoot branching,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N014,Cytokinin,HORMONE,BRC1,GENE,-1,inhibition,Cytokinin inhibits BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N015,Strigolactone,HORMONE,BRC1,GENE,1,activation,Strigolactone promotes BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N016,D14,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,D14 suppresses shoot branching,1,10.1105/tpc.114.122903
Shoot Branching,N017,MAX2,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,MAX2 suppresses shoot branching,1,10.1105/tpc.114.122903
Shoot Branching,N018,Strigolactone,HORMONE,D14,GENE,-1,inhibition,Strigolactone promotes degradation of D14,1,10.1105/tpc.114.122903
Shoot Branching,N019,MAX2,GENE,D14,GENE,-1,inhibition,MAX2 promotes degradation of D14,1,10.1105/tpc.114.122903
Shoot Branching,N020,Auxin,HORMONE,MAX3,GENE,1,activation,Auxin activates MAX3 expression,1,10.1038/nrm3088
Shoot Branching,N021,Auxin,HORMONE,MAX4,GENE,1,activation,Auxin activates MAX4 expression,1,10.1038/nrm3088
Shoot Branching,N022,MAX2,GENE,BRC1,GENE,1,activation,MAX2 promotes BRC1 expression,1,10.3390/plants3020223
Shoot Branching,N023,Cytokinins,GENE,BRC1,GENE,-1,inhibition,Cytokinins inhibit BRC1 expression,1,10.3390/plants3020223
Shoot Branching,N024,D14,GENE,SMXL7,GENE,-1,inhibition,D14 promotes the degradation of SMXL7,1,10.1105/tpc.16.00286
Shoot Branching,N025,MAX2,GENE,SMXL7,GENE,-1,inhibition,MAX2 promotes the degradation of SMXL7,1,10.1105/tpc.16.00286
Shoot Branching,N026,HXK1,GENE,Shoot_Branching,PHENOTYPE,1,activation,HXK1 signalling promotes shoot branching,1,10.1111/nph.17427
Shoot Branching,N027,HXK1,GENE,MAX2,GENE,-1,inhibition,HXK1 expression negatively correlates with MAX2 expression,1,10.1111/nph.17427
Shoot Branching,N028,Sucrose,METABOLITE,Shoot_Branching,PHENOTYPE,1,activation,Sucrose promotes shoot branching,1,10.1093/plphys/kiab003
Shoot Branching,N029,Sucrose,METABOLITE,Cytokinin,HORMONE,1,activation,Sucrose promotes cytokinin accumulation,1,10.1093/plphys/kiab003
Shoot Branching,N030,Cytokinin,HORMONE,VInv,GENE,1,activation,Cytokinin regulates VInv expression/activity,1,10.1093/plphys/kiab003
Shoot Branching,N031,VInv,GENE,Shoot_Branching,PHENOTYPE,1,activation,VInv promotes shoot branching,1,10.1093/plphys/kiab003
Shoot Branching,N032,Sucrose,METABOLITE,VInv,GENE,1,activation,Sucrose induces VInv expression,1,10.1093/plphys/kiab003
Shoot Branching,N033,Auxin,HORMONE,BRC1,GENE,-1,inhibition,Auxin inhibits BRC1 transcription,1,10.1242/dev.145649
Shoot Branching,N034,SMXL678,PROTEIN_COMPLEX,BRC1,GENE,-1,inhibition,SMXL678 inhibits BRC1,1,10.1242/dev.145649
Shoot Branching,N035,SMXL6,GENE,Shoot_Branching,PHENOTYPE,1,activation,SMXL6 promotes shoot branching,1,10.1105/tpc.15.00562
Shoot Branching,N036,SMXL7,GENE,Shoot_Branching,PHENOTYPE,1,activation,SMXL7 promotes shoot branching,1,10.1105/tpc.15.00562
Shoot Branching,N037,SMXL8,GENE,Shoot_Branching,PHENOTYPE,1,activation,SMXL8 promotes shoot branching,1,10.1105/tpc.15.00562
Shoot Branching,N038,Strigolactones,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,Strigolactones inhibit shoot branching,1,10.1105/tpc.15.00562
Shoot Branching,N039,SMAX1,GENE,Shoot_Branching,PHENOTYPE,1,activation,SMAX1 promotes shoot branching,1,10.1105/tpc.15.00562
Shoot Branching,N040,SMXL6,GENE,BRC1,GENE,-1,inhibition,SMXL6 inhibits BRC1 expression,1,10.1105/tpc.15.00605
Shoot Branching,N041,MAX2,GENE,SMXL6,GENE,-1,inhibition,MAX2 promotes the degradation of SMXL6,1,10.1105/tpc.15.00605
Shoot Branching,N042,FHY3,GENE,BRC1,GENE,-1,inhibition,FHY3 inhibits BRC1 expression,1,10.1038/s41467-020-15893-7
Shoot Branching,N043,FHY3,GENE,SMXL6,GENE,1,activation,FHY3 activates SMXL6 expression,1,10.1038/s41467-020-15893-7
Shoot Branching,N044,SPL9,GENE,BRC1,GENE,1,activation,SPL9 activates BRC1 expression,1,10.1038/s41467-020-15893-7
Shoot Branching,N045,SMXL6,GENE,SPL9,GENE,-1,inhibition,SMXL6 inhibits SPL9 activity,1,10.1038/s41467-020-15893-7
Shoot Branching,N046,FHY3,GENE,Shoot_Branching,PHENOTYPE,1,activation,FHY3 promotes shoot branching,1,10.1038/s41467-020-15893-7
Shoot Branching,N047,Strigolactones,GENE,BRC1,GENE,1,activation,Strigolactones promote BRC1 expression,1,10.1038/s41477-021-01011-y
Shoot Branching,N048,D14,GENE,MAX2,GENE,1,activation,D14 interacts with MAX2 in a strigolactone-dependent manner,1,10.1038/nature19073
Shoot Branching,N049,Strigolactone,HORMONE,OsCKX9,GENE,1,activation,Strigolactone activates the expression of OsCKX9,1,10.1073/pnas.1810980116
Shoot Branching,N050,OsCKX9,GENE,Cytokinin,HORMONE,-1,inhibition,OsCKX9 degrades cytokinin,1,10.1073/pnas.1810980116
Shoot Branching,N051,D53,GENE,OsCKX9,GENE,-1,inhibition,D53 represses the expression of OsCKX9,1,10.1073/pnas.1810980116
Shoot Branching,N052,Tre6P,METABOLITE,Shoot_Branching,PHENOTYPE,1,activation,Tre6P promotes shoot branching,1,10.1146/annurev-arplant-050718-095929
Shoot Branching,N053,FT,GENE,Shoot_Branching,PHENOTYPE,1,activation,FT promotes shoot branching,1,10.1146/annurev-arplant-050718-095929
Shoot Branching,N054,Tre6P,METABOLITE,FT,GENE,1,activation,Tre6P promotes FT expression,1,10.1146/annurev-arplant-050718-095929
Shoot Branching,N055,Auxin,HORMONE,D27,GENE,1,activation,Auxin activates D27 expression,1,10.1104/pp.112.196253
Shoot Branching,N056,HXK1,GENE,IPT3,GENE,1,activation,HXK1 expression positively correlates with IPT3 expression,1,10.1111/nph.17427
Shoot Branching,N057,FT,GENE,BRC1,GENE,-1,inhibition,FT inhibits BRC1,1,10.1111/nph.17006
Shoot Branching,N058,Strigolactones,GENE,D53,GENE,-1,inhibition,Strigolactones induce degradation of D53,1,10.1038/nature12870
