test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T002,BRC1,OE,,,,WT,,decreased,,,,,,,,,,,
T003,HIGH,KO,,,,WT,,decreased,,,,,,,,,,,
T004,DECAPITATION,KO,,,,WT,,increased,,,,,,,,,,,
T005,CCD7,KO,,,,WT,,increased,,,,,,,,,,,
T006,CCD8,KO,,,,WT,,increased,,,,,,,,,,,
T007,D27,KO,,,,WT,,increased,,,,,,,,,,,
T008,MAX1,KO,,,,WT,,increased,,,,,,,,,,,
T009,GR24,treatment,,,,WT,,decreased,,,,,,,,,,,
T010,D14,KO,,,,WT,,increased,,,,,,,,,,,
T011,D10,KO,,,,WT,,increased,,,,,,,,,,,
T012,SUCROSE,treatment,,,,WT,,increased,,,,,,,,,,,
T013,SMXL6,KO,,,,WT,,increased,,,,,,,,,,,
T014,MAX4,KO,,,,WT,,increased,,,,,,,,,,,
T015,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T016,axr1,KO,,,,WT,,increased,,,,,,,,,,,
T017,CCD8,treatment,,,,mutant,,decreased,,,,,,,,,,,
T018,MAX1,KO,,,,WT,,increased,,,,,,,,,,,
T019,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T020,MAX3,KO,,,,WT,,increased,,,,,,,,,,,
T021,D14,KO,,,,WT,,increased,,,,,,,,,,,
T022,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T023,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T024,MAX1,KO,,,,WT,,increased,,,,,,,,,,,
T025,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T026,MAX1,OE,,,,mutant,,decreased,,,,,,,,,,,
T027,MAX1,treatment,,,,WT,,decreased,,,,,,,,,,,
T028,athxk1,KO,,,,WT,,decreased,,,,,,,,,,,
T029,AcF,OE,,,,WT,,increased,,,,,,,,,,,
T030,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T031,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T032,rms1,KO,,,,WT,,increased,,,,,,,,,,,
T033,rms4,KO,,,,WT,,increased,,,,,,,,,,,
T034,PsBRC1,KO,,,,WT,,increased,,,,,,,,,,,
T035,OsBZR1,KD,,,,WT,,decreased,,,,,,,,,,,
T036,FC1,KO,,,,mutant,,increased,,,,,,,,,,,
T037,D14,KO,,,,WT,,increased,,,,,,,,,,,
T038,phyB,KO,,,,WT,,decreased,,,,,,,,,,,
T039,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T040,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T041,RMS1,KO,,,,WT,,increased,,,,,,,,,,,
T042,RMS2,KO,,,,WT,,increased,,,,,,,,,,,
T043,RMS4,KO,,,,WT,,increased,,,,,,,,,,,
T044,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T045,FT,KO,,,,WT,,decreased,,,,,,,,,,,
T046,FT,OE,,,,WT,,increased,,,,,,,,,,,
T047,DAD2,KO,,,,WT,,increased,,,,,,,,,,,
T048,DAD2,OE,,,,mutant,,decreased,,,,,,,,,,,
T049,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T050,D3,KO,,,,WT,,increased,,,,,,,,,,,
T051,FC1,KO,,,,WT,,increased,,,,,,,,,,,
T052,FC1,OE,,,,WT,,decreased,,,,,,,,,,,
T053,D53,KO,,,,WT,,increased,,,,,,,,,,,
T054,D53,treatment,,,,WT,,decreased,,,,,,,,,,,
T055,D14,KO,,,,WT,,increased,,,,,,,,,,,
T056,D10,KO,,,,WT,,increased,,,,,,,,,,,
T057,IPA1,OE,,,,WT,,decreased,,,,,,,,,,,
T058,IPA1,KO,,,,WT,,increased,,,,,,,,,,,
T059,miR156,OE,,,,WT,,increased,,,,,,,,,,,
T060,PHYB,KO,,,,WT,,decreased,,,,,,,,,,,
T061, ,treatment,,,,WT,,decreased,,,,,,,,,,,
T062,LAS,KO,,,,WT,,decreased,,,,,,,,,,,
T063,axr1,KO,,,,WT,,increased,,,,,,,,,,,
T064,MAX4,KO,,,,WT,,increased,,,,,,,,,,,
T065,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T066,MAX2,KO,,,,WT,,increased,,,,,,,,,,,
T067,D27,KO,,,,WT,,increased,,,,,,,,,,,
T068,D27,treatment,,,,mutant,,decreased,,,,,,,,,,,
T069,D27,treatment,,,,mutant,,decreased,,,,,,,,,,,
T070,FC1,KO,,,,WT,,increased,,,,,,,,,,,
T071,FC1,OE,,,,mutant,,decreased,,,,,,,,,,,
T072,FC1,treatment,,,,WT,,unchanged,,,,,,,,,,,
T073,rms3,KO,,,,WT,,increased,,,,,,,,,,,
T074,NAA,treatment,,,,WT,,decreased,,,,,,,,,,,
T075,TPS1,KO,,,,WT,,decreased,,,,,,,,,,,
T076,BRC1,KO,,,,WT,,increased,,,,,,,,,,,
T077,FT,KO,,,,WT,,decreased,,,,,,,,,,,
T078,otsA,OE,,,,WT,,increased,,,,,,,,,,,
T079,HXK1,KO,,,,WT,,decreased,,,,,,,,,,,
T080,D3,KO,,,,WT,,increased,,,,,,,,,,,
T081,D14,KO,,,,WT,,increased,,,,,,,,,,,
