test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.106.048934
T002,BRC1,OE,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,27,10.1105/tpc.106.048934
T004,DECAPITATION,KO,0.0,,,1.0,0.100057,WT,1.0,0.100057,-3.3211,0.05,decreased,increased,False,Shoot_Branching,1,easy,2,True,30,10.1105/tpc.106.048934
T005,CCD7,KO,0.0,,,1.0,0.630664,WT,1.0,0.630664,-0.6651,0.05,decreased,increased,False,Shoot_Branching,1,easy,4,True,62,10.1126/science.1215933
T006,CCD8,KO,0.0,,,1.0,0.63067,WT,1.0,0.63067,-0.665,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,54,10.1126/science.1215933
T007,D27,KO,0.0,,,1.0,0.630642,WT,1.0,0.630642,-0.6651,0.05,decreased,increased,False,Shoot_Branching,1,easy,5,True,68,10.1126/science.1215933
T008,MAX1,KO,0.0,,,1.0,0.630655,WT,1.0,0.630655,-0.6651,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,46,10.1126/science.1215933
T010,D14,KO,0.0,,,1.0,15.198926,WT,1.0,15.198926,3.9259,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,43,10.1093/pcp/pcp091
T011,D10,KO,0.0,,,1.0,0.63067,WT,1.0,0.63067,-0.665,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,54,10.1093/pcp/pcp091
T013,SMXL6,KO,0.97,,,1.0,0.96267,WT,1.0,0.96267,-0.0549,0.05,unchanged,increased,False,Shoot_Branching,1,easy,1,True,27,10.1016/j.tplants.2018.12.001
T014,MAX4,KO,0.0,,,1.0,0.63067,WT,1.0,0.63067,-0.665,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,54,10.1104/pp.108.134783
T015,MAX2,KO,0.0,,,1.0,15.198892,WT,1.0,15.198892,3.9259,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,44,10.1104/pp.108.134783
T018,MAX1,KO,0.0,,,1.0,0.630655,WT,1.0,0.630655,-0.6651,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,46,10.1016/j.devcel.2005.01.009
T019,MAX2,KO,0.0,,,1.0,15.198892,WT,1.0,15.198892,3.9259,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,44,10.1016/j.devcel.2005.01.009
T020,MAX3,KO,0.0,,,1.0,0.63067,WT,1.0,0.63067,-0.665,0.05,decreased,increased,False,Shoot_Branching,1,easy,3,True,54,10.1016/j.devcel.2005.01.009
T021,D14,KO,0.0,,,1.0,15.198926,WT,1.0,15.198926,3.9259,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,43,10.1105/tpc.114.122903
