id	type	color
Glucose	ENVIRONMENT	#87CEEB
Glycerol	ENVIRONMENT	#87CEEB
Xylose	ENVIRONMENT	#87CEEB
IPTG	ENVIRONMENT	#87CEEB
Arabinose	ENVIRONMENT	#87CEEB
Plasmid_Copy_Number	ENVIRONMENT	#87CEEB
Oxygen_Level	ENVIRONMENT	#87CEEB
Temperature	ENVIRONMENT	#87CEEB
G3P	METABOLITE	#FFD700
Pyruvate	METABOLITE	#FFD700
Acetyl_CoA	METABOLITE	#FFD700
Acetyl_P	METABOLITE	#FFD700
NADPH	METABOLITE	#FFD700
ATP	METABOLITE	#FFD700
Mevalonate	METABOLITE	#FFD700
IPP	METABOLITE	#FFD700
DMAPP	METABOLITE	#FFD700
GPP	METABOLITE	#FFD700
FPP	METABOLITE	#FFD700
GGPP	METABOLITE	#FFD700
Phytoene	METABOLITE	#FFD700
ROS	METABOLITE	#FFD700
PGI	GENE	#6495ED
ZWF	GENE	#6495ED
GAPA	GENE	#6495ED
PYKA	GENE	#6495ED
PYKF	GENE	#6495ED
PPC	GENE	#6495ED
PPS	GENE	#6495ED
EDD	GENE	#6495ED
EDA	GENE	#6495ED
GND	GENE	#6495ED
GDHA	GENE	#6495ED
ACEE	GENE	#6495ED
PTA	GENE	#6495ED
LDH	GENE	#6495ED
DXS	GENE	#6495ED
DXR	GENE	#6495ED
IDI	GENE	#6495ED
ATOB	GENE	#6495ED
HMGS	GENE	#6495ED
HMGR	GENE	#6495ED
MVK	GENE	#6495ED
MVD	GENE	#6495ED
ISPA	GENE	#6495ED
ISPB	GENE	#6495ED
CRTE	GENE	#6495ED
CRTB	GENE	#6495ED
CRTI	GENE	#6495ED
RPOS	GENE	#6495ED
CRL	GENE	#6495ED
HNR	GENE	#6495ED
ARCA	GENE	#6495ED
FNR	GENE	#6495ED
SOXR	GENE	#6495ED
SOXS	GENE	#6495ED
CRA	GENE	#6495ED
NRI	GENE	#6495ED
KATE	GENE	#6495ED
Lycopene_Titer	PHENOTYPE	#FF6347
ENVELOPE_STRESS	PROTEIN_COMPLEX	#DDA0DD
MEMBRANE_STORAGE	PROTEIN_COMPLEX	#DDA0DD
