network,method,complexity_label,complexity_score,n_correct,n_total,accuracy_pct
Lycopene Titer,Algebraic,easy,1,41,59,69.49
Lycopene Titer,Algebraic,hard,3,3,4,75.0
Lycopene Titer,Algebraic,hard,4,2,4,50.0
Lycopene Titer,Algebraic,hard,5,4,4,100.0
Lycopene Titer,Algebraic,hard,6,1,1,100.0
Lycopene Titer,Algebraic,medium,2,9,14,64.29
Lycopene Titer,ODE,easy,1,49,59,83.05
Lycopene Titer,ODE,hard,3,4,4,100.0
Lycopene Titer,ODE,hard,4,1,4,25.0
Lycopene Titer,ODE,hard,5,4,4,100.0
Lycopene Titer,ODE,hard,6,1,1,100.0
Lycopene Titer,ODE,medium,2,6,14,42.86
Lycopene Titer,RWR,easy,1,51,59,86.44
Lycopene Titer,RWR,hard,3,4,4,100.0
Lycopene Titer,RWR,hard,4,2,4,50.0
Lycopene Titer,RWR,hard,5,4,4,100.0
Lycopene Titer,RWR,hard,6,1,1,100.0
Lycopene Titer,RWR,medium,2,11,14,78.57
