network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Lycopene Titer,E001,Glucose,G3P,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E002,Glucose,Pyruvate,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E003,Glycerol,G3P,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E004,Pgi,G3P,1,MEDIUM,True,1,10.1128/AEM.02155-15
Lycopene Titer,E005,Zwf,G3P,-1,HIGH,True,2,10.1007/s10529-013-1317-0; 10.3390/biom13121747
Lycopene Titer,E006,GapA,G3P,-1,MEDIUM,True,1,10.1038/75398
Lycopene Titer,E007,PykA,Pyruvate,1,MEDIUM,True,1,10.3390/molecules25143136
Lycopene Titer,E008,PykF,Pyruvate,1,MEDIUM,True,1,10.3390/molecules25143136
Lycopene Titer,E009,Pps,Pyruvate,-1,HIGH,True,1,10.3390/biom13121747
Lycopene Titer,E010,Pps,G3P,1,HIGH,True,1,10.1038/75398
Lycopene Titer,E011,Ppc,Acetyl_CoA,-1,MEDIUM,True,1,10.3390/molecules25143136
Lycopene Titer,E012,AceE,Acetyl_CoA,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E013,FdhF,Acetyl_CoA,-1,MEDIUM,True,1,10.3390/biom13121747
Lycopene Titer,E014,GdhA,NADPH,-1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E015,Pta,Acetyl_CoA,-1,MEDIUM,True,1,10.3390/molecules25143136
Lycopene Titer,E016,Ldh,Pyruvate,-1,LOW,True,1,10.3390/molecules25143136
Lycopene Titer,E017,Acetyl_CoA,Mevalonate,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E018,AtoB,Mevalonate,1,HIGH,True,1,10.1016/j.synbio.2021.04.001
Lycopene Titer,E019,HMGS,Mevalonate,1,HIGH,True,1,10.3390/molecules25143136
Lycopene Titer,E020,HMGR,Mevalonate,1,HIGH,True,1,10.3390/biom13121747
Lycopene Titer,E021,NADPH,Mevalonate,1,HIGH,True,1,10.1016/j.synbio.2021.04.001
Lycopene Titer,E022,MVK,IPP,1,HIGH,True,1,10.1186/s13568-022-01418-6
