network,method,path_length,n_correct,n_total,accuracy_pct
Lycopene Titer,Algebraic,1,15,16,93.75
Lycopene Titer,Algebraic,2,7,9,77.78
Lycopene Titer,Algebraic,3,13,13,100.0
Lycopene Titer,Algebraic,4,7,7,100.0
Lycopene Titer,Algebraic,5,12,19,63.16
Lycopene Titer,Algebraic,6,3,15,20.0
Lycopene Titer,Algebraic,7,3,7,42.86
Lycopene Titer,ODE,1,15,16,93.75
Lycopene Titer,ODE,2,7,9,77.78
Lycopene Titer,ODE,3,7,13,53.85
Lycopene Titer,ODE,4,4,7,57.14
Lycopene Titer,ODE,5,18,19,94.74
Lycopene Titer,ODE,6,10,15,66.67
Lycopene Titer,ODE,7,4,7,57.14
Lycopene Titer,RWR,1,15,16,93.75
Lycopene Titer,RWR,2,8,9,88.89
Lycopene Titer,RWR,3,13,13,100.0
Lycopene Titer,RWR,4,7,7,100.0
Lycopene Titer,RWR,5,18,19,94.74
Lycopene Titer,RWR,6,9,15,60.0
Lycopene Titer,RWR,7,3,7,42.86
