test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,Dxs,overexpression,,,,,,increased,strong,,,,,,overexpression of dxs in E. coli carotenoid production was enhanced 3.5-fold,,,Escherichia coli,
T002,Idi,overexpression,,,,,,increased,moderate,,,,,,mutant IDI exhibited a 1.8-fold increase in lycopene production,,,Escherichia coli,
T003,Dxs_Idi,combined,,,,,,increased,strong,,,,,,"expressed the foreign MEP pathway genes dxs and idi simultaneously in E. coli, resulting in an increase of 16.5 times in lycopene yield",,,Escherichia coli,
T004,Dxs_Dxr,combined,,,,,,increased,strong,,,,,,highest lycopene yield (22 mg/L) was reached with the arabinose-inducible promoter on a medium-copy plasmid pBAD24 in the E. coli XL1-Blue strain,,,Escherichia coli,
T005,Dxs_Idi_IspD_IspF,combined,,,,,,increased,strong,,,,,,"co-overexpression of IDI, DXS, IspD, and IspF...showed a 6-fold increase in lycopene production (5.39 mg/g DCW)",,,Escherichia coli,
T006,IspA,overexpression,,,,,,increased,slight,,,,,,"four E. coli genes (dxs, dxr, ispA, and idi) were cloned into a mid-copy plasmid and overexpressed under PBAD promoter control",,,Escherichia coli,
T007,IspB,knockdown,,,,,,increased,moderate,,,,,,"FPP, in turn, is catalyzed by geranylgeranyl diphosphate (GGPP) synthase (CrtE)",,,Escherichia coli,
T008,CrtE,overexpression,,,,,,increased,moderate,,,,,,enhanced the expression of CrtE...60% increase in lycopene production,,,Escherichia coli,
T009,CrtB,overexpression,,,,,,increased,moderate,,,,,,combinational overexpression...resulted in lycopene production of 5.2 mg/g DCW,,,Escherichia coli,
T010,CrtI,overexpression,,,,,,increased,moderate,,,,,,produced an engineered CrtI mutant (Y160F&N576S)...60% increase in lycopene production,,,Escherichia coli,
T011,CrtE_CrtB_CrtI,combined,,,,,,increased,strong,,,,,,combinational overexpression...resulted in lycopene production of 5.2 mg/g DCW,,,Escherichia coli,
T012,CrtE,knockout,,,,,,decreased,strong,,,,,,"heterologous expressions of geranylgeranyl diphosphate synthase (crtE), phytoene synthase (crtB), and phytoene desaturase (crtI) allow conversion of FPP to lycopene",,,Escherichia coli,
T013,CrtB,knockout,,,,,,decreased,strong,,,,,,phytoene synthase (CrtB),,,Escherichia coli,
T014,CrtI,knockout,,,,,,decreased,strong,,,,,,phytoene desaturase (CrtI) to successively form...finally lycopene,,,Escherichia coli,
T015,MVA_full_upper_lower,overexpression,,,,,,increased,strong,,,,,,reaching 1.22 g/L of lycopene...integrated strain with heterologous mevalonate,,,Escherichia coli,
T016,AtoB,overexpression,,,,,,increased,moderate,,,,,,mvaE and mvaS...catalyzes the conversion from acetyl-CoA to mevalonic acid,,,Escherichia coli,
T017,HMGS,overexpression,,,,,,increased,moderate,,,,,,mvaE and mvaS...catalyzes the conversion from acetyl-CoA to mevalonic acid,,,Escherichia coli,
T018,HMGR,overexpression,,,,,,increased,strong,,,,,,"overexpressed tHMGR from X. dendrorhous, a truncated form of HMGR...2.2-fold enhancement in beta-carotene production",,,Escherichia coli,
T019,MVK,overexpression,,,,,,increased,moderate,,,,,,Mevalonate kinase (MK) is one of the rate-limiting enzymes in the lycopene synthetic pathway,,,Escherichia coli,
T020,PMK,overexpression,,,,,,increased,slight,,,,,,"addition of the MVA pathway genes mvak1, mvak2, mvaD, and idi...resulted in...> three-fold increase in lycopene production",,,Escherichia coli,
T021,MVD,overexpression,,,,,,increased,slight,,,,,,"addition of the MVA pathway genes mvak1, mvak2, mvaD, and idi...resulted in...> three-fold increase in lycopene production",,,Escherichia coli,
T022,Dxs,knockout,,,,,,decreased,strong,,,,,,the step that limits the rate of the MEP pathway,,,Escherichia coli,
T023,IspA,knockout,,,,,,decreased,strong,,,,,,farnesyl pyrophosphate (FPP) is formed from GPP catalyzed by FPP synthase (IspA),,,Escherichia coli,
T024,Pgi,knockout,,,,,,increased,moderate,,,,,,Deletion of pgi and zwf was found to eliminate catabolite repression...yield from glucose of the bioproduct...was significantly increased,,,Escherichia coli,
T025,Zwf,knockout,,,,,,increased,strong,,,,,,"knockout of the zwf gene, significantly enhanced lycopene production by over 130%",,,Escherichia coli,
T026,Pgi_Zwf,double_knockout,,,,,,increased,strong,,,,,,Deletion of pgi and zwf was found to eliminate catabolite repression as well as the ability of E. coli to consume glucose for biomass formation,,,Escherichia coli,
T027,PpsA,overexpression,,,,,,increased,strong,,,,,,overexpressing phosphoenolpyruvate (PEP) synthase (PPS)...achieved a 250% increase in lycopene production,,,Escherichia coli,
T028,PykA_PykF,double_knockout,,,,,,increased,moderate,,,,,,deleting pyruvate kinases-I and -II (Pyk-I and-II)...lycopene production was significantly increased,,,Escherichia coli,
T029,AceE_GdhA,double_knockout,,,,,,increased,strong,,,,,,"knockout of the aceE and gdhA genes, resulting in enhanced carbon metabolic flux towards lycopene production",,,Escherichia coli,
T030,GdhA_AceE_FdhF,triple_knockout,,,,,,increased,moderate,,,,,,37% improvement in lycopene yield in a gdhA/aceE/fdhF triple-knockout construct,,,Escherichia coli,
T031,GdhA_AceE_YjiD,triple_knockout,,,,,,increased,strong,,,,,,"a four-fold increase in lycopene yield following the deletion of gdhA, aceE, and yjiD",,,Escherichia coli,
