test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,Dxs,overexpression,,,,WT,Lycopene_Titer,increased,strong,,,,,,overexpression of dxs in E. coli carotenoid production was enhanced 3.5-fold,,,Escherichia coli,Dxs -> DXS (case)
T002,Idi,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,mutant IDI exhibited a 1.8-fold increase in lycopene production,,,Escherichia coli,Idi -> IDI
T003,Dxs_Idi,combined,,,,WT,Lycopene_Titer,increased,strong,,,,,,"expressed the foreign MEP pathway genes dxs and idi simultaneously in E. coli, resulting in an increase of 16.5 times in lycopene yield",,,Escherichia coli,dxs+idi combined OE
T004,Dxs_Dxr,combined,,,,WT,Lycopene_Titer,increased,strong,,,,,,highest lycopene yield (22 mg/L) was reached with the arabinose-inducible promoter on a medium-copy plasmid pBAD24 in the E. coli XL1-Blue strain,,,Escherichia coli,dxs+dxr combined OE
T005,Dxs_Idi_IspD_IspF,combined,,,,WT,Lycopene_Titer,increased,strong,,,,,,"co-overexpression of IDI, DXS, IspD, and IspF...showed a 6-fold increase in lycopene production (5.39 mg/g DCW)",,,Escherichia coli,ispD/ispF not explicit nodes; kept dxs+idi OE
T006,IspA,overexpression,,,,WT,Lycopene_Titer,increased,slight,,,,,,"four E. coli genes (dxs, dxr, ispA, and idi) were cloned into a mid-copy plasmid and overexpressed under PBAD promoter control",,,Escherichia coli,IspA -> ISPA OE
T007,IspB,knockdown,,,,WT,Lycopene_Titer,increased,moderate,,,,,,"FPP, in turn, is catalyzed by geranylgeranyl diphosphate (GGPP) synthase (CrtE)",,,Escherichia coli,IspB RBS-down / antisense KD (essential gene cannot be fully KO'd)
T008,CrtE,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,enhanced the expression of CrtE...60% increase in lycopene production,,,Escherichia coli,CrtE -> CRTE OE
T009,CrtB,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,combinational overexpression...resulted in lycopene production of 5.2 mg/g DCW,,,Escherichia coli,CrtB -> CRTB OE
T010,CrtI,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,produced an engineered CrtI mutant (Y160F&N576S)...60% increase in lycopene production,,,Escherichia coli,CrtI -> CRTI OE
T011,CrtE_CrtB_CrtI,combined,,,,WT,Lycopene_Titer,increased,strong,,,,,,combinational overexpression...resulted in lycopene production of 5.2 mg/g DCW,,,Escherichia coli,crtEBI cassette co-OE
T012,CrtE,knockout,,,,WT,Lycopene_Titer,decreased,strong,,,,,,"heterologous expressions of geranylgeranyl diphosphate synthase (crtE), phytoene synthase (crtB), and phytoene desaturase (crtI) allow conversion of FPP to lycopene",,,Escherichia coli,CrtE KO
T013,CrtB,knockout,,,,WT,Lycopene_Titer,decreased,strong,,,,,,phytoene synthase (CrtB),,,Escherichia coli,CrtB KO
T014,CrtI,knockout,,,,WT,Lycopene_Titer,decreased,strong,,,,,,phytoene desaturase (CrtI) to successively form...finally lycopene,,,Escherichia coli,CrtI KO
T015,MVA_full_upper_lower,overexpression,,,,WT,Lycopene_Titer,increased,strong,,,,,,reaching 1.22 g/L of lycopene...integrated strain with heterologous mevalonate,,,Escherichia coli,Full MVA upper+lower cassette OE; PMK not in network so omitted
T016,AtoB,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,mvaE and mvaS...catalyzes the conversion from acetyl-CoA to mevalonic acid,,,Escherichia coli,AtoB -> ATOB OE
T017,HMGS,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,mvaE and mvaS...catalyzes the conversion from acetyl-CoA to mevalonic acid,,,Escherichia coli,HMGS OE
T018,HMGR,overexpression,,,,WT,Lycopene_Titer,increased,strong,,,,,,"overexpressed tHMGR from X. dendrorhous, a truncated form of HMGR...2.2-fold enhancement in beta-carotene production",,,Escherichia coli,HMGR OE (maps to tHMGR engineered variant too)
T019,MVK,overexpression,,,,WT,Lycopene_Titer,increased,moderate,,,,,,Mevalonate kinase (MK) is one of the rate-limiting enzymes in the lycopene synthetic pathway,,,Escherichia coli,MVK OE
T020,PMK,overexpression,,,,WT,Lycopene_Titer,increased,slight,,,,,,"addition of the MVA pathway genes mvak1, mvak2, mvaD, and idi...resulted in...> three-fold increase in lycopene production",,,Escherichia coli,PMK (phosphomevalonate kinase) not a node in this network
T021,MVD,overexpression,,,,WT,Lycopene_Titer,increased,slight,,,,,,"addition of the MVA pathway genes mvak1, mvak2, mvaD, and idi...resulted in...> three-fold increase in lycopene production",,,Escherichia coli,MVD OE
T022,Dxs,knockout,,,,WT,Lycopene_Titer,decreased,strong,,,,,,the step that limits the rate of the MEP pathway,,,Escherichia coli,Dxs KO
T023,IspA,knockout,,,,WT,Lycopene_Titer,decreased,strong,,,,,,farnesyl pyrophosphate (FPP) is formed from GPP catalyzed by FPP synthase (IspA),,,Escherichia coli,IspA KO (encoded as full KO of node)
T024,Pgi,knockout,,,,WT,Lycopene_Titer,increased,moderate,,,,,,Deletion of pgi and zwf was found to eliminate catabolite repression...yield from glucose of the bioproduct...was significantly increased,,,Escherichia coli,Pgi KO (redirects flux to PPP)
T025,Zwf,knockout,,,,WT,Lycopene_Titer,increased,strong,,,,,,"knockout of the zwf gene, significantly enhanced lycopene production by over 130%",,,Escherichia coli,Zwf KO (removes PPP entry)
T026,Pgi_Zwf,double_knockout,,,,WT,Lycopene_Titer,increased,strong,,,,,,Deletion of pgi and zwf was found to eliminate catabolite repression as well as the ability of E. coli to consume glucose for biomass formation,,,Escherichia coli,Pgi+Zwf double KO (Alper 2005 classic)
T027,PpsA,overexpression,,,,WT,Lycopene_Titer,increased,strong,,,,,,overexpressing phosphoenolpyruvate (PEP) synthase (PPS)...achieved a 250% increase in lycopene production,,,Escherichia coli,PpsA = PPS (phosphoenolpyruvate synthase)
T028,PykA_PykF,double_knockout,,,,WT,Lycopene_Titer,increased,moderate,,,,,,deleting pyruvate kinases-I and -II (Pyk-I and-II)...lycopene production was significantly increased,,,Escherichia coli,PykA+PykF double KO
