node,node_type,activators,inhibitors,formula
Glucose,,,,Glucose = gene_modifier + exogenous_supply
Glycerol,,,,Glycerol = gene_modifier + exogenous_supply
Xylose,,,,Xylose = gene_modifier + exogenous_supply
IPTG,,,,IPTG = gene_modifier + exogenous_supply
Arabinose,,,,Arabinose = gene_modifier + exogenous_supply
Plasmid_Copy_Number,,,,Plasmid_Copy_Number = gene_modifier + exogenous_supply
Oxygen_Level,,,,Oxygen_Level = gene_modifier + exogenous_supply
Temperature,,,,Temperature = gene_modifier + exogenous_supply
G3P,,"Glucose,Glycerol,Xylose,PGI,PPS,EDD,EDA","ZWF,GAPA,DXS","G3P = (max(Glucose, 0.01) * max(Glycerol, 0.01) * max(Xylose, 0.01) * max(PGI, 0.01) * max(PPS, 0.01) * max(EDD, 0.01) * max(EDA, 0.01))^(1/7) * min(1/max(ZWF * GAPA * DXS, 0.1), 10.0) * gene_modifier + exogenous_supply"
Pyruvate,,"Glucose,Xylose,PGI,PYKA,PYKF,EDD,EDA","PPS,LDH,DXS","Pyruvate = (max(Glucose, 0.01) * max(Xylose, 0.01) * max(PGI, 0.01) * max(PYKA, 0.01) * max(PYKF, 0.01) * max(EDD, 0.01) * max(EDA, 0.01))^(1/7) * min(1/max(PPS * LDH * DXS, 0.1), 10.0) * gene_modifier + exogenous_supply"
Acetyl_CoA,,ACEE,"PTA,PPC","Acetyl_CoA = max(ACEE, 0.01)^(1/1) * min(1/max(PTA * PPC, 0.1), 10.0) * gene_modifier + exogenous_supply"
Acetyl_P,,Glucose,,"Acetyl_P = max(Glucose, 0.01)^(1/1) * gene_modifier + exogenous_supply"
NADPH,,GND,GDHA,"NADPH = max(GND, 0.01)^(1/1) * min(1/max(GDHA, 0.1), 10.0) * gene_modifier + exogenous_supply"
ATP,,,,ATP = gene_modifier + exogenous_supply
Mevalonate,,"Acetyl_CoA,ATOB,HMGS,HMGR,NADPH",,"Mevalonate = (max(Acetyl_CoA, 0.01) * max(ATOB, 0.01) * max(HMGS, 0.01) * max(HMGR, 0.01) * max(NADPH, 0.01))^(1/5) * gene_modifier + exogenous_supply"
IPP,,"DXS,G3P,Pyruvate,Mevalonate,MVK,MVD,DXR",,"IPP = (max(DXS, 0.01) * max(G3P, 0.01) * max(Pyruvate, 0.01) * max(Mevalonate, 0.01) * max(MVK, 0.01) * max(MVD, 0.01) * max(DXR, 0.01))^(1/7) * gene_modifier + exogenous_supply"
DMAPP,,"IDI,IPP",,"DMAPP = (max(IDI, 0.01) * max(IPP, 0.01))^(1/2) * gene_modifier + exogenous_supply"
GPP,,ISPA,,"GPP = max(ISPA, 0.01)^(1/1) * gene_modifier + exogenous_supply"
FPP,,"ISPA,IPP,DMAPP",ISPB,"FPP = (max(ISPA, 0.01) * max(IPP, 0.01) * max(DMAPP, 0.01))^(1/3) * min(1/max(ISPB, 0.1), 10.0) * gene_modifier + exogenous_supply"
GGPP,,"CRTE,FPP",,"GGPP = (max(CRTE, 0.01) * max(FPP, 0.01))^(1/2) * gene_modifier + exogenous_supply"
