node,node_type,activators,inhibitors,formula
Glucose,,,,Glucose = 1.0 * 1.0 * gene_modifier + exogenous
Glycerol,,,,Glycerol = 1.0 * 1.0 * gene_modifier + exogenous
Xylose,,,,Xylose = 1.0 * 1.0 * gene_modifier + exogenous
IPTG,,,,IPTG = 1.0 * 1.0 * gene_modifier + exogenous
Arabinose,,,,Arabinose = 1.0 * 1.0 * gene_modifier + exogenous
Plasmid_Copy_Number,,,,Plasmid_Copy_Number = 1.0 * 1.0 * gene_modifier + exogenous
Oxygen_Level,,,,Oxygen_Level = 1.0 * 1.0 * gene_modifier + exogenous
Temperature,,,,Temperature = 1.0 * 1.0 * gene_modifier + exogenous
G3P,,"Glucose,Glycerol,Xylose,PGI,PPS,EDD,EDA","ZWF,GAPA,DXS","G3P = prod(f(Glucose, Glycerol, Xylose, PGI, PPS, EDD, EDA)) * prod(g(ZWF, GAPA, DXS)) * gene_modifier + exogenous"
Pyruvate,,"Glucose,Xylose,PGI,PYKA,PYKF,EDD,EDA","PPS,LDH,DXS","Pyruvate = prod(f(Glucose, Xylose, PGI, PYKA, PYKF, EDD, EDA)) * prod(g(PPS, LDH, DXS)) * gene_modifier + exogenous"
Acetyl_CoA,,ACEE,"PTA,PPC","Acetyl_CoA = prod(f(ACEE)) * prod(g(PTA, PPC)) * gene_modifier + exogenous"
Acetyl_P,,Glucose,,Acetyl_P = prod(f(Glucose)) * 1.0 * gene_modifier + exogenous
NADPH,,GND,GDHA,NADPH = prod(f(GND)) * prod(g(GDHA)) * gene_modifier + exogenous
ATP,,,,ATP = 1.0 * 1.0 * gene_modifier + exogenous
Mevalonate,,"Acetyl_CoA,ATOB,HMGS,HMGR,NADPH",,"Mevalonate = prod(f(Acetyl_CoA, ATOB, HMGS, HMGR, NADPH)) * 1.0 * gene_modifier + exogenous"
IPP,,"DXS,G3P,Pyruvate,Mevalonate,MVK,MVD,DXR",,"IPP = prod(f(DXS, G3P, Pyruvate, Mevalonate, MVK, MVD, DXR)) * 1.0 * gene_modifier + exogenous"
DMAPP,,"IDI,IPP",,"DMAPP = prod(f(IDI, IPP)) * 1.0 * gene_modifier + exogenous"
GPP,,ISPA,,GPP = prod(f(ISPA)) * 1.0 * gene_modifier + exogenous
FPP,,"ISPA,IPP,DMAPP",ISPB,"FPP = prod(f(ISPA, IPP, DMAPP)) * prod(g(ISPB)) * gene_modifier + exogenous"
GGPP,,"CRTE,FPP",,"GGPP = prod(f(CRTE, FPP)) * 1.0 * gene_modifier + exogenous"
Phytoene,,"CRTB,GGPP",,"Phytoene = prod(f(CRTB, GGPP)) * 1.0 * gene_modifier + exogenous"
ROS,,Oxygen_Level,"KATE,Lycopene_Titer","ROS = prod(f(Oxygen_Level)) * prod(g(KATE, Lycopene_Titer)) * gene_modifier + exogenous"
PGI,,,,PGI = 1.0 * 1.0 * gene_modifier + exogenous
ZWF,,SOXS,,ZWF = prod(f(SOXS)) * 1.0 * gene_modifier + exogenous
GAPA,,,,GAPA = 1.0 * 1.0 * gene_modifier + exogenous
PYKA,,,,PYKA = 1.0 * 1.0 * gene_modifier + exogenous
PYKF,,,,PYKF = 1.0 * 1.0 * gene_modifier + exogenous
PPC,,,,PPC = 1.0 * 1.0 * gene_modifier + exogenous
PPS,,"NRI,CRA",,"PPS = prod(f(NRI, CRA)) * 1.0 * gene_modifier + exogenous"
EDD,,,,EDD = 1.0 * 1.0 * gene_modifier + exogenous
EDA,,,,EDA = 1.0 * 1.0 * gene_modifier + exogenous
GND,,,,GND = 1.0 * 1.0 * gene_modifier + exogenous
GDHA,,,,GDHA = 1.0 * 1.0 * gene_modifier + exogenous
ACEE,,,"ARCA,FNR","ACEE = 1.0 * prod(g(ARCA, FNR)) * gene_modifier + exogenous"
PTA,,,,PTA = 1.0 * 1.0 * gene_modifier + exogenous
LDH,,,,LDH = 1.0 * 1.0 * gene_modifier + exogenous
DXS,,"IPTG,Arabinose",,"DXS = prod(f(IPTG, Arabinose)) * 1.0 * gene_modifier + exogenous"
DXR,,"Arabinose,NADPH",,"DXR = prod(f(Arabinose, NADPH)) * 1.0 * gene_modifier + exogenous"
IDI,,"NRI,IPTG,Arabinose,Plasmid_Copy_Number",,"IDI = prod(f(NRI, IPTG, Arabinose, Plasmid_Copy_Number)) * 1.0 * gene_modifier + exogenous"
ATOB,,,,ATOB = 1.0 * 1.0 * gene_modifier + exogenous
HMGS,,,,HMGS = 1.0 * 1.0 * gene_modifier + exogenous
HMGR,,NADPH,,HMGR = prod(f(NADPH)) * 1.0 * gene_modifier + exogenous
MVK,,"Plasmid_Copy_Number,ATP","GPP,FPP,GGPP","MVK = prod(f(Plasmid_Copy_Number, ATP)) * prod(g(GPP, FPP, GGPP)) * gene_modifier + exogenous"
MVD,,,,MVD = 1.0 * 1.0 * gene_modifier + exogenous
ISPA,,Arabinose,,ISPA = prod(f(Arabinose)) * 1.0 * gene_modifier + exogenous
ISPB,,,,ISPB = 1.0 * 1.0 * gene_modifier + exogenous
CRTE,,"IPTG,Plasmid_Copy_Number",,"CRTE = prod(f(IPTG, Plasmid_Copy_Number)) * 1.0 * gene_modifier + exogenous"
CRTB,,"IPTG,Plasmid_Copy_Number",,"CRTB = prod(f(IPTG, Plasmid_Copy_Number)) * 1.0 * gene_modifier + exogenous"
CRTI,,"IPTG,Plasmid_Copy_Number,NADPH",,"CRTI = prod(f(IPTG, Plasmid_Copy_Number, NADPH)) * 1.0 * gene_modifier + exogenous"
RPOS,,CRL,HNR,RPOS = prod(f(CRL)) * prod(g(HNR)) * gene_modifier + exogenous
CRL,,,,CRL = 1.0 * 1.0 * gene_modifier + exogenous
HNR,,,,HNR = 1.0 * 1.0 * gene_modifier + exogenous
ARCA,,,Oxygen_Level,ARCA = 1.0 * prod(g(Oxygen_Level)) * gene_modifier + exogenous
FNR,,,Oxygen_Level,FNR = 1.0 * prod(g(Oxygen_Level)) * gene_modifier + exogenous
SOXR,,,,SOXR = 1.0 * 1.0 * gene_modifier + exogenous
SOXS,,SOXR,,SOXS = prod(f(SOXR)) * 1.0 * gene_modifier + exogenous
CRA,,,,CRA = 1.0 * 1.0 * gene_modifier + exogenous
NRI,,Acetyl_P,,NRI = prod(f(Acetyl_P)) * 1.0 * gene_modifier + exogenous
KATE,,RPOS,,KATE = prod(f(RPOS)) * 1.0 * gene_modifier + exogenous
Lycopene_Titer,,"CRTI,Phytoene,MEMBRANE_STORAGE","Temperature,ROS,ENVELOPE_STRESS","Lycopene_Titer = prod(f(CRTI, Phytoene, MEMBRANE_STORAGE)) * prod(g(Temperature, ROS, ENVELOPE_STRESS)) * gene_modifier + exogenous"
ENVELOPE_STRESS,,,,ENVELOPE_STRESS = 1.0 * 1.0 * gene_modifier + exogenous
MEMBRANE_STORAGE,,,,MEMBRANE_STORAGE = 1.0 * 1.0 * gene_modifier + exogenous
