network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Kernel Row Number,N001,ZMCLE7,GENE,FEA2,GENE,1,activation,CLE peptide ligand binds LRR-RLP receptor FEA2,1,10.7554/eLife.35673
Kernel Row Number,N002,ZMCLE7,GENE,TD1,GENE,1,activation,CLV3-like peptide perceived by TD1 (CLV1 ortholog) LRR receptor kinase,1,10.1242/dev.01671
Kernel Row Number,N003,ZMFCP1,GENE,FEA2,GENE,1,activation,ZmFCP1 also signals through FEA2 (shared receptor with ZmCLE7),1,10.7554/eLife.35673
Kernel Row Number,N004,ZMFCP1,GENE,FEA3,GENE,1,activation,ZmFCP1 peptide ligand binds FEA3 LRR-RLP receptor in the rib zone (parallel arm),1,10.7554/eLife.35673
Kernel Row Number,N005,FEA2,GENE,CT2,GENE,1,activation,FEA2 receptor couples to heterotrimeric G-alpha subunit CT2 in complex,1,10.7554/eLife.35673
Kernel Row Number,N006,FEA2,GENE,ZMCRN,GENE,1,activation,FEA2 receptor partners with ZmCRN pseudokinase in the signaling complex,1,10.7554/eLife.35673
Kernel Row Number,N008,TD1,GENE,IM_Size,PROCESS,-1,inhibition,TD1 LRR-RLK relays CLV3-like CLE signal to restrict meristem proliferation,1,10.1242/dev.01671
Kernel Row Number,N009,CT2,GENE,IM_Size,PROCESS,-1,inhibition,G-alpha CT2 relays CLV signal from FEA2 complex to restrict stem-cell proliferation,1,10.7554/eLife.35673
Kernel Row Number,N010,ZMCRN,GENE,IM_Size,PROCESS,-1,inhibition,ZmCRN pseudokinase in FEA2 complex restricts meristem proliferation,1,10.7554/eLife.35673
Kernel Row Number,N011,FEA3,GENE,ZMWUS1,GENE,-1,repression,FEA3-ZmFCP1 signaling directly represses ZmWUS1 expression in the rib zone (canonical CLE-WUS repression),1,10.1038/s41467-021-22699-8
Kernel Row Number,N012,FEA4,GENE,IM_Size,PROCESS,-1,inhibition,bZIP TF FEA4 promotes peripheral differentiation and limits meristem,1,10.1105/tpc.114.132506
Kernel Row Number,N013,ABPH2,GENE,FEA4,GENE,-1,inhibition,MSCA1/ABPH2 glutaredoxin post-translationally inhibits FEA4 activity (dominant Abphyl2 allele derepresses meristem),1,10.1105/tpc.114.130393
