network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Kernel Row Number,E001,ZmCLE7,FEA2,1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E002,ZmFCP1,FEA2,1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E003,ZmFCP1,FEA3,1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E004,ZmCLE7,TD1,1,MEDIUM,True,1,10.1242/dev.01671
Kernel Row Number,E005,FEA2,CT2,1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E006,FEA2,ZmCRN,1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E007,CT2,IM_Size,-1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E008,ZmCRN,IM_Size,-1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E009,FEA2,IM_Size,-1,HIGH,True,1,10.1101/gad.208501
Kernel Row Number,E010,FEA3,IM_Size,-1,HIGH,True,1,10.7554/eLife.35673
Kernel Row Number,E011,FEA4,IM_Size,-1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E012,TD1,IM_Size,-1,HIGH,True,1,10.1242/dev.01671
Kernel Row Number,E013,FEA4,ARF6,1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E014,FEA4,IAA24,1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E015,FEA4,ARF8,1,MEDIUM,True,1,10.1105/tpc.114.132506
Kernel Row Number,E016,FEA4,BA1,1,MEDIUM,True,1,10.1105/tpc.114.132506
Kernel Row Number,E017,FEA4,RA3,1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E018,FEA4,RA1,1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E019,FEA4,GNARLEY1,1,MEDIUM,True,1,10.1105/tpc.114.132506
Kernel Row Number,E020,KN1,GNARLEY1,-1,MEDIUM,True,1,10.1105/tpc.114.132506
Kernel Row Number,E021,FEA4,ZAG1,1,MEDIUM,True,1,10.1105/tpc.114.132506
Kernel Row Number,E022,IM_Size,Kernel_Row_Number,1,HIGH,True,1,10.1105/tpc.114.132506
Kernel Row Number,E023,ABPH2,FEA4,-1,HIGH,True,1,10.1105/tpc.114.130393
Kernel Row Number,E024,ABPH2,IM_Size,-1,HIGH,True,1,10.1105/tpc.114.130393
Kernel Row Number,E025,Cytokinin,ABPH1,1,HIGH,True,1,10.1038/nature02778
Kernel Row Number,E026,ABPH1,IM_Size,-1,HIGH,True,1,10.1038/nature02778
Kernel Row Number,E027,ABPH1,ZmPIN1a,1,MEDIUM,True,1,10.1104/pp.109.137034
Kernel Row Number,E028,Auxin,ABPH1,1,MEDIUM,True,1,10.1104/pp.109.137034
Kernel Row Number,E029,Cytokinin,Type_B_ARR,1,HIGH,True,1,10.1093/plphys/kiad652
Kernel Row Number,E030,Type_B_ARR,ZmWUS1,1,HIGH,True,1,10.1038/s41467-021-22699-8
Kernel Row Number,E031,Cytokinin,ZmWUS1,1,HIGH,True,1,10.1038/s41467-021-22699-8
Kernel Row Number,E032,ZmWUS1,IM_Size,1,HIGH,True,1,10.1038/s41467-021-22699-8
Kernel Row Number,E033,ZmWUS1,ZmCLE7,1,HIGH,True,1,10.1038/s41467-021-22699-8
Kernel Row Number,E034,FEA3,ZmWUS1,-1,HIGH,True,1,10.1038/s41467-021-22699-8
Kernel Row Number,E035,KN1,VT2,1,HIGH,True,1,10.1101/gad.193433.112
Kernel Row Number,E036,KN1,TB1,1,HIGH,True,1,10.1101/gad.193433.112
Kernel Row Number,E037,KN1,IM_Size,1,HIGH,True,1,10.1101/gad.193433.112
Kernel Row Number,E038,RA2,RA1,1,HIGH,True,1,10.1038/nature03892
Kernel Row Number,E039,RA3,RA1,1,HIGH,True,1,10.1038/nature04725
Kernel Row Number,E040,RA1,SPM_Determinacy,1,HIGH,True,1,10.1038/nature03892
Kernel Row Number,E041,RA1,REL2,1,HIGH,True,1,10.1104/pp.18.00913
Kernel Row Number,E042,RA1,Ear_Branching,-1,HIGH,True,1,10.1038/nature03892
Kernel Row Number,E043,REL2,Ear_Branching,-1,HIGH,True,1,10.1242/dev.051748
Kernel Row Number,E044,RA2,Ear_Branching,-1,HIGH,True,1,10.1242/dev.051748
Kernel Row Number,E045,RA3,T6P,-1,HIGH,True,1,10.1038/nature04725
Kernel Row Number,E046,T6P,SPM_Determinacy,-1,MEDIUM,True,1,10.1038/nature04725
Kernel Row Number,E047,RA1,KN1,1,MEDIUM,True,1,10.1101/gr.166397.113
Kernel Row Number,E048,REL2,IM_Size,-1,HIGH,True,1,10.1104/pp.18.00913
Kernel Row Number,E049,REL2,Kernel_Row_Number,-1,HIGH,True,1,10.1104/pp.18.00913
Kernel Row Number,E050,miR172,IDS1,-1,HIGH,True,1,10.1242/dev.024273
