network,method,path_length,n_correct,n_total,accuracy_pct
Kernel Row Number,Algebraic,1,8,9,88.89
Kernel Row Number,Algebraic,2,26,32,81.25
Kernel Row Number,Algebraic,3,19,20,95.0
Kernel Row Number,Algebraic,4,3,5,60.0
Kernel Row Number,Algebraic,5,2,2,100.0
Kernel Row Number,Algebraic,6,3,3,100.0
Kernel Row Number,ODE,1,4,9,44.44
Kernel Row Number,ODE,2,28,32,87.5
Kernel Row Number,ODE,3,17,20,85.0
Kernel Row Number,ODE,4,3,5,60.0
Kernel Row Number,ODE,5,2,2,100.0
Kernel Row Number,ODE,6,3,3,100.0
Kernel Row Number,RWR,1,7,9,77.78
Kernel Row Number,RWR,2,23,32,71.88
Kernel Row Number,RWR,3,17,20,85.0
Kernel Row Number,RWR,4,5,5,100.0
Kernel Row Number,RWR,5,2,2,100.0
Kernel Row Number,RWR,6,3,3,100.0
