source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
ZmCLE7,GENE,FEA2,GENE,activation,ligand-receptor,HIGH,CLE peptide binds LRR receptor-like protein FEA2,,,,,,"FEA2 transmits signaling from two distinct CLE peptides, the maize CLV3 ortholog ZmCLE7 and ZmFCP1",,
ZmFCP1,GENE,FEA2,GENE,activation,ligand-receptor,HIGH,CLE peptide ligand-receptor binding,,,,,,"FEA2 also participates in ZmFCP1 signaling, in addition to controlling responses to the maize CLV3 ortholog",,
ZmFCP1,GENE,FEA3,GENE,activation,ligand-receptor,HIGH,CLE peptide signals through FEA3 LRR-RLP,,,,,,Both fea3 and fea2 mutants are resistant to the ZmFCP1 peptide,,
ZmCLE7,GENE,TD1,GENE,activation,ligand-receptor,MEDIUM,CLV3-like peptide perception by TD1 (maize CLV1 ortholog),,,,,,TD1 functions as maize CLV1 ortholog perceiving CLV3-like peptides; td1 fasciated ears phenocopy CLV-pathway loss,,
FEA2,GENE,CT2,GENE,activation,protein-protein,HIGH,FEA2 receptor couples to CT2 Galpha subunit,,,,,,FEA2 interacted with CT2 in co-immunoprecipitation (co-IP) experiments,,
FEA2,GENE,ZmCRN,GENE,activation,protein-protein,HIGH,FEA2 receptor couples to ZmCRN pseudokinase,,,,,,ZmCRN-mCherry was able to pull down FEA2-Myc,,
CT2,GENE,IM_Size,PROCESS,inhibition,signaling,HIGH,Galpha relays CLV signal to restrict stem cell proliferation,,,,,,ct2 mutants had larger SAMs (157.1 Â± 11.8 Î¼m),,
ZmCRN,GENE,IM_Size,PROCESS,inhibition,signaling,HIGH,Pseudokinase restricts meristem proliferation,,,,,,"Zmcrn mutants had larger vegetative shoot meristems (130.0 Â± 4.1 Î¼m, compared to 109.2 Â± 4.6 Î¼m for normal sibs)",,
FEA2,GENE,IM_Size,PROCESS,inhibition,signaling,HIGH,LRR-RLP receptor restricts meristem proliferation,,,,,,fea2 lateral ear shoot meristems were slightly wider and about twice as tall as normal prior to the inflorescence transition,,
FEA3,GENE,IM_Size,PROCESS,inhibition,signaling,HIGH,LRR-RLP limits meristem size (ZmFCP1-specific),,,,,,fea3 mutant background only partially rescued meristem size when ZmFCP1 expressed,,
FEA4,GENE,IM_Size,PROCESS,inhibition,transcriptional,HIGH,"bZIP TF promotes peripheral differentiation, limits meristem",,,,,,fea4 mutants were also characterized by a larger than normal SAM diameter,,
