test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,fea2,knockout,,,,,,increased,strong,,,,,,fea2 ears can have up to double the normal number of vertical rows of seeds (26-36 vs 16-18),,,Zea mays,
T002,fea2_weak_allele,knockdown,,,,,,increased,moderate,,,,,,weak allele of FEA2 increases KRN without the fasciation phenotype of stronger alleles,,,Zea mays,
T003,fea3,knockout,,,,,,increased,moderate,,,,,,fea3 mutants show enlarged inflorescence meristems and increased kernel rows,,,Zea mays,
T004,fea4,knockout,,,,,,increased,strong,,,,,,B73 kernel row number: wild-type 17.14 Â± 1.51 vs fea4 28 Â± 2.31,,,Zea mays,
T005,ct2,knockout,,,,,,increased,moderate,,,,,,ct2 mutants have enlarged SAMs and fasciated ears,,,Zea mays,
T006,Zmcrn,knockout,,,,,,increased,moderate,,,,,,Zmcrn mutants had larger vegetative shoot meristems and developed fasciated ear phenotype,,,Zea mays,
T007,td1,knockout,,,,,,increased,strong,,,,,,td1 female inflorescence is fasciated with extra rows of kernels,,,Zea mays,
T008,Zmcrn_het,heterozygous,,,,,,increased,slight,,,,,,Zmcrn heterozygotes had 0.5 to 1.4 more rows than WT,,,Zea mays,
T009,Zmcle7_het,heterozygous,,,,,,increased,slight,,,,,,Zmcle7 heterozygotes had increased KRN,,,Zea mays,
T010,ZmCLE7_CRISPR_promoter,knockout_CRISPR,,,,,,increased,moderate,,,,,,Promoter edited alleles of ZmCLE7 have larger IM diameters and increased kernel row numbers,,,Zea mays,
T011,ZmFCP1_CRISPR,knockout_CRISPR,,,,,,increased,moderate,,,,,,Edited lines showed increased kernel row numbers and grain yields,,,Zea mays,
T012,ZmCLE1E5_CRISPR,knockout_CRISPR,,,,,,increased,slight,,,,,,Coding region-edited alleles of ZmCLE1E5 have larger IM diameters,,,Zea mays,
T013,fea2;Zmcrn,double_knockout,,,,,,increased,strong,,,,,,fea2 is epistatic to Zmcrn; fea2;Zmcrn meristem 177.2 um,,,Zea mays,
T014,fea3;fea2,double_knockout,,,,,,increased,strong,,,,,,fea3;fea2 double mutants had the largest meristems,,,Zea mays,
T015,fea4;fea2,double_knockout,,,,,,increased,strong,,,,,,fea2 fea4 double SAM 347 vs 205 (fea4) or 202 (fea2) um; synergistic,,,Zea mays,
T016,ct2;Zmcrn,double_knockout,,,,,,increased,strong,,,,,,SAMs of double mutants were significantly larger than each single mutant (191.8 Â± 18.6 Î¼m),,,Zea mays,
T017,fea3;Zmcrn,double_knockout,,,,,,increased,strong,,,,,,fea3;Zmcrn double mutants were larger than single mutants (221.5 Â± 21.2 Î¼m),,,Zea mays,
T018,WT_plus_ZmCLE7,treatment,,,,,,decreased,moderate,,,,,,peptides suppress the growth of the SAM,,,Zea mays,
T019,WT_plus_ZmFCP1,treatment,,,,,,decreased,moderate,,,,,,ZmFCP1 peptide suppresses SAM growth,,,Zea mays,
T020,fea2_plus_ZmCLE7,rescue_experiment,,,,,,unchanged,,,,,,,fea2 mutants were insensitive to ZmCLE7,,,Zea mays,
T021,ct2_plus_ZmCLE7,rescue_experiment,,,,,,unchanged,,,,,,,ct2 growth was insensitive only to ZmCLE7 peptide,,,Zea mays,
T022,Zmcrn_plus_ZmFCP1,rescue_experiment,,,,,,unchanged,,,,,,,Zmcrn was partially resistant only to ZmFCP1 peptide,,,Zea mays,
T023,fea3_plus_ZmFCP1,rescue_experiment,,,,,,unchanged,,,,,,,"fea3 mutants are resistant only to ZmFCP1, and not to ZmCLE7",,,Zea mays,
T024,abph1,knockout,,,,,,increased,slight,,,,,,abph1 mutants have enlarged shoot apical meristem (larger SAM),,,Zea mays,
