test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,fea2,knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,fea2 ears can have up to double the normal number of vertical rows of seeds (26-36 vs 16-18),,,Zea mays,fea2 reference null allele → FEA2 KO
T002,fea2_weak_allele,knockdown,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,weak allele of FEA2 increases KRN without the fasciation phenotype of stronger alleles,,,Zea mays,fea2 weak natural-variation allele = partial-LOF → FEA2 gm=0.5 (KD)
T003,fea3,knockout,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,fea3 mutants show enlarged inflorescence meristems and increased kernel rows,,,Zea mays,fea3 null → FEA3 KO
T004,fea4,knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,B73 kernel row number: wild-type 17.14 Â± 1.51 vs fea4 28 Â± 2.31,,,Zea mays,fea4 null → FEA4 KO
T005,ct2,knockout,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,ct2 mutants have enlarged SAMs and fasciated ears,,,Zea mays,ct2 null → CT2 KO
T006,Zmcrn,knockout,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,Zmcrn mutants had larger vegetative shoot meristems and developed fasciated ear phenotype,,,Zea mays,Zmcrn null → ZMCRN KO
T007,td1,knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,td1 female inflorescence is fasciated with extra rows of kernels,,,Zea mays,td1 null → TD1 KO (CLV1-ortholog LRR-RK)
T008,Zmcrn_het,heterozygous,,,,WT,Kernel_Row_Number,increased,slight,,,,,,Zmcrn heterozygotes had 0.5 to 1.4 more rows than WT,,,Zea mays,Zmcrn heterozygote dosage-dependent effect → ZMCRN gm=0.5
T009,Zmcle7_het,heterozygous,,,,WT,Kernel_Row_Number,increased,slight,,,,,,Zmcle7 heterozygotes had increased KRN,,,Zea mays,Zmcle7 heterozygote dosage-dependent effect → ZMCLE7 gm=0.5
T010,ZmCLE7_CRISPR_promoter,knockout_CRISPR,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,Promoter edited alleles of ZmCLE7 have larger IM diameters and increased kernel row numbers,,,Zea mays,ZmCLE7 CRISPR-Cas9 promoter deletion → reduced peptide = ZMCLE7 KO
T011,ZmFCP1_CRISPR,knockout_CRISPR,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,Edited lines showed increased kernel row numbers and grain yields,,,Zea mays,ZmFCP1 CRISPR KO
T012,ZmCLE1E5_CRISPR,knockout_CRISPR,,,,WT,Kernel_Row_Number,increased,slight,,,,,,Coding region-edited alleles of ZmCLE1E5 have larger IM diameters,,,Zea mays,ZmCLE1E5 is a distinct CLE peptide (not ZmCLE7 or ZmFCP1) — no matching node
T013,fea2;Zmcrn,double_knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,fea2 is epistatic to Zmcrn; fea2;Zmcrn meristem 177.2 um,,,Zea mays,fea2;Zmcrn double KO
T014,fea3;fea2,double_knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,fea3;fea2 double mutants had the largest meristems,,,Zea mays,fea2;fea3 double KO — both CLE arms disabled
T015,fea4;fea2,double_knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,fea2 fea4 double SAM 347 vs 205 (fea4) or 202 (fea2) um; synergistic,,,Zea mays,fea2;fea4 double KO — ZmCLE7 signalling + FEA4 both disabled
T016,ct2;Zmcrn,double_knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,SAMs of double mutants were significantly larger than each single mutant (191.8 Â± 18.6 Î¼m),,,Zea mays,ct2;Zmcrn double KO
T017,fea3;Zmcrn,double_knockout,,,,WT,Kernel_Row_Number,increased,strong,,,,,,fea3;Zmcrn double mutants were larger than single mutants (221.5 Â± 21.2 Î¼m),,,Zea mays,fea3;Zmcrn double KO
T018,WT_plus_ZmCLE7,treatment,,,,WT,Kernel_Row_Number,decreased,moderate,,,,,,peptides suppress the growth of the SAM,,,Zea mays,Synthetic ZmCLE7 peptide on WT ear primordia → exogenous ZMCLE7 supply
T019,WT_plus_ZmFCP1,treatment,,,,WT,Kernel_Row_Number,decreased,moderate,,,,,,ZmFCP1 peptide suppresses SAM growth,,,Zea mays,Synthetic ZmFCP1 peptide on WT ear primordia → exogenous ZMFCP1 supply
T020,fea2_plus_ZmCLE7,rescue_experiment,,,,mutant,Kernel_Row_Number,unchanged,,,,,,,fea2 mutants were insensitive to ZmCLE7,,,Zea mays,fea2 + ZmCLE7 peptide — Perception Gate: receptor gone so peptide cannot signal
T021,ct2_plus_ZmCLE7,rescue_experiment,,,,mutant,Kernel_Row_Number,unchanged,,,,,,,ct2 growth was insensitive only to ZmCLE7 peptide,,,Zea mays,ct2 + ZmCLE7 peptide — downstream G-alpha gone; Perception Gate logic
T022,Zmcrn_plus_ZmFCP1,rescue_experiment,,,,mutant,Kernel_Row_Number,unchanged,,,,,,,Zmcrn was partially resistant only to ZmFCP1 peptide,,,Zea mays,Zmcrn + ZmFCP1 peptide — coreceptor gone; Perception Gate logic
T023,fea3_plus_ZmFCP1,rescue_experiment,,,,mutant,Kernel_Row_Number,unchanged,,,,,,,"fea3 mutants are resistant only to ZmFCP1, and not to ZmCLE7",,,Zea mays,fea3 + ZmFCP1 peptide — FEA3 receptor gone; Perception Gate logic
T024,abph1,knockout,,,,WT,Kernel_Row_Number,increased,slight,,,,,,abph1 mutants have enlarged shoot apical meristem (larger SAM),,,Zea mays,abph1 null → ABPH1 KO (loss of CK-mediated negative feedback on IM)
T025,Abphyl2_dominant,gain_of_function,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,Abphyl2 dominant meristem width 185 vs 96 Î¼m wild-type - 2-fold enlarged,,,Zea mays,Abphyl2 dominant (ectopic expression) → ABPH2 gm=2.0
T026,Bif3,gain_of_function,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,Bif3 dominant ZmWUS1 duplication produces ball-shaped ears with highly disorganized meristems,,,Zea mays,Bif3 = dominant ZmWUS1-locus duplication producing ectopic ZMWUS1 expression → ZMWUS1 gm=2.0; extreme fasciation/barren ear
T027,kn1,knockout,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,kn1 loss-of-function plants occasionally lack shoots; null allele produces a small cob with poor kernel yield,,,Zea mays,kn1 null → KN1 KO (meristem termination)
T028,Kn1_N,gain_of_function,,,,WT,Kernel_Row_Number,increased,slight,,,,,,Kn1-N ectopic expression induces cell proliferation; VT2 up-regulated in Kn1-N,,,Zea mays,Kn1-N dominant neomorph — ectopic KN1 expression → KN1 gm=2.0
T029,ra1,knockout,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,"The ear is usually unbranched, is highly branched in ra1 mutants, resulting in reduced fertility",,,Zea mays,ra1 KO — SPM identity loss / disorganised ear
T030,ra2,knockout,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,ra2 loss-of-function gives abnormal branching in ears,,,Zea mays,ra2 KO
T031,ra3,knockout,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,"in ra3 plants the inflorescence branching pattern is disturbed, with ears producing abnormally shaped long branches at their bases",,,Zea mays,ra3 KO
T032,rel2,knockout,,,,WT,Kernel_Row_Number,increased,moderate,,,,,,rel2 ears showed increased kernel rows with ~16% enlarged IM,,,Zea mays,rel2 KO (TPL-like corepressor) — disrupted Ramosa repression
T033,rel2;ra1,double_knockout,,,,WT,Kernel_Row_Number,decreased,strong,,,,,,rel2;ra1-RS double mutants had highly branched ears,,,Zea mays,rel2;ra1 double KO
