node,node_type,activators,inhibitors,formula
ZMCLE7,,,,ZMCLE7 = gene_modifier + exogenous_supply
ZMFCP1,,,,ZMFCP1 = gene_modifier + exogenous_supply
ZMEPFL,,,,ZMEPFL = gene_modifier + exogenous_supply
ABPH2,,,,ABPH2 = gene_modifier + exogenous_supply
ZMCKX,,Cytokinin,,"ZMCKX = max(Cytokinin, 0.01)^(1/1) * gene_modifier + exogenous_supply"
ARF6,,,,ARF6 = gene_modifier + exogenous_supply
RA2,,,,RA2 = gene_modifier + exogenous_supply
RA3,,FEA4,,"RA3 = max(FEA4, 0.01)^(1/1) * gene_modifier + exogenous_supply"
REL2,,,,REL2 = gene_modifier + exogenous_supply
miR172,,,,miR172 = gene_modifier + exogenous_supply
miR156,,,,miR156 = gene_modifier + exogenous_supply
KRN2,,,,KRN2 = gene_modifier + exogenous_supply
KRN5B,,,,KRN5B = gene_modifier + exogenous_supply
KNR6,,,,KNR6 = gene_modifier + exogenous_supply
FarRed_Light,,,,FarRed_Light = gene_modifier + exogenous_supply
FEA2,,"ZMCLE7,ZMFCP1",,"FEA2 = (max(ZMCLE7, 0.01) * max(ZMFCP1, 0.01))^(1/2) * gene_modifier + exogenous_supply"
FEA3,,ZMFCP1,,"FEA3 = max(ZMFCP1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
TD1,,ZMCLE7,,"TD1 = max(ZMCLE7, 0.01)^(1/1) * gene_modifier + exogenous_supply"
CT2,,FEA2,,"CT2 = max(FEA2, 0.01)^(1/1) * gene_modifier + exogenous_supply"
ZMCRN,,FEA2,,"ZMCRN = max(FEA2, 0.01)^(1/1) * gene_modifier + exogenous_supply"
FEA4,,,ABPH2,"FEA4 = min(1/max(ABPH2, 0.1), 10.0) * gene_modifier + exogenous_supply"
ZMER1,,ZMEPFL,,"ZMER1 = max(ZMEPFL, 0.01)^(1/1) * gene_modifier + exogenous_supply"
ZMWUS1,,TYPE_B_ARR,"FEA3,ZMER1,ABPH1","ZMWUS1 = max(TYPE_B_ARR, 0.01)^(1/1) * min(1/max(FEA3 * ZMER1 * ABPH1, 0.1), 10.0) * gene_modifier + exogenous_supply"
KN1,,"RA1,UB3,UB2",,"KN1 = (max(RA1, 0.01) * max(UB3, 0.01) * max(UB2, 0.01))^(1/3) * gene_modifier + exogenous_supply"
ZMIPT,,KN1,,"ZMIPT = max(KN1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
Cytokinin,,ZMIPT,"ZMCKX,UB3","Cytokinin = max(ZMIPT, 0.01)^(1/1) * min(1/max(ZMCKX * UB3, 0.1), 10.0) * gene_modifier + exogenous_supply"
TYPE_B_ARR,,Cytokinin,,"TYPE_B_ARR = max(Cytokinin, 0.01)^(1/1) * gene_modifier + exogenous_supply"
