node,node_type,activators,inhibitors,formula
ZMCLE7,,,,ZMCLE7 = 1.0 * 1.0 * gene_modifier + exogenous
ZMFCP1,,,,ZMFCP1 = 1.0 * 1.0 * gene_modifier + exogenous
ZMEPFL,,,,ZMEPFL = 1.0 * 1.0 * gene_modifier + exogenous
ABPH2,,,,ABPH2 = 1.0 * 1.0 * gene_modifier + exogenous
ZMCKX,,Cytokinin,,ZMCKX = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
ARF6,,,,ARF6 = 1.0 * 1.0 * gene_modifier + exogenous
RA2,,,,RA2 = 1.0 * 1.0 * gene_modifier + exogenous
RA3,,FEA4,,RA3 = prod(f(FEA4)) * 1.0 * gene_modifier + exogenous
REL2,,,,REL2 = 1.0 * 1.0 * gene_modifier + exogenous
miR172,,,,miR172 = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,,miR156 = 1.0 * 1.0 * gene_modifier + exogenous
KRN2,,,,KRN2 = 1.0 * 1.0 * gene_modifier + exogenous
KRN5B,,,,KRN5B = 1.0 * 1.0 * gene_modifier + exogenous
KNR6,,,,KNR6 = 1.0 * 1.0 * gene_modifier + exogenous
FarRed_Light,,,,FarRed_Light = 1.0 * 1.0 * gene_modifier + exogenous
FEA2,,"ZMCLE7,ZMFCP1",,"FEA2 = prod(f(ZMCLE7, ZMFCP1)) * 1.0 * gene_modifier + exogenous"
FEA3,,ZMFCP1,,FEA3 = prod(f(ZMFCP1)) * 1.0 * gene_modifier + exogenous
TD1,,ZMCLE7,,TD1 = prod(f(ZMCLE7)) * 1.0 * gene_modifier + exogenous
CT2,,FEA2,,CT2 = prod(f(FEA2)) * 1.0 * gene_modifier + exogenous
ZMCRN,,FEA2,,ZMCRN = prod(f(FEA2)) * 1.0 * gene_modifier + exogenous
FEA4,,,ABPH2,FEA4 = 1.0 * prod(g(ABPH2)) * gene_modifier + exogenous
ZMER1,,ZMEPFL,,ZMER1 = prod(f(ZMEPFL)) * 1.0 * gene_modifier + exogenous
ZMWUS1,,TYPE_B_ARR,"FEA3,ZMER1,ABPH1","ZMWUS1 = prod(f(TYPE_B_ARR)) * prod(g(FEA3, ZMER1, ABPH1)) * gene_modifier + exogenous"
KN1,,"RA1,UB3,UB2",,"KN1 = prod(f(RA1, UB3, UB2)) * 1.0 * gene_modifier + exogenous"
ZMIPT,,KN1,,ZMIPT = prod(f(KN1)) * 1.0 * gene_modifier + exogenous
Cytokinin,,ZMIPT,"ZMCKX,UB3","Cytokinin = prod(f(ZMIPT)) * prod(g(ZMCKX, UB3)) * gene_modifier + exogenous"
TYPE_B_ARR,,Cytokinin,,TYPE_B_ARR = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
ABPH1,,TYPE_B_ARR,,ABPH1 = prod(f(TYPE_B_ARR)) * 1.0 * gene_modifier + exogenous
VT2,,KN1,,VT2 = prod(f(KN1)) * 1.0 * gene_modifier + exogenous
SPI1,,KN1,,SPI1 = prod(f(KN1)) * 1.0 * gene_modifier + exogenous
Auxin,,"VT2,SPI1",,"Auxin = prod(f(VT2, SPI1)) * 1.0 * gene_modifier + exogenous"
TIR1,,"Auxin,KN1",,"TIR1 = prod(f(Auxin, KN1)) * 1.0 * gene_modifier + exogenous"
BIF1,,,TIR1,BIF1 = 1.0 * prod(g(TIR1)) * gene_modifier + exogenous
BIF2,,"UB3,UB2",,"BIF2 = prod(f(UB3, UB2)) * 1.0 * gene_modifier + exogenous"
ZMPIN1A,,"BIF2,ABPH1,KN1",,"ZMPIN1A = prod(f(BIF2, ABPH1, KN1)) * 1.0 * gene_modifier + exogenous"
BA1,,"ARF6,BIF2",BIF1,"BA1 = prod(f(ARF6, BIF2)) * prod(g(BIF1)) * gene_modifier + exogenous"
BA2,,BA1,,BA2 = prod(f(BA1)) * 1.0 * gene_modifier + exogenous
RA1,,"RA2,RA3,FEA4,IDS1",,"RA1 = prod(f(RA2, RA3, FEA4, IDS1)) * 1.0 * gene_modifier + exogenous"
T6P,,,RA3,T6P = 1.0 * prod(g(RA3)) * gene_modifier + exogenous
IDS1,,,miR172,IDS1 = 1.0 * prod(g(miR172)) * gene_modifier + exogenous
SID1,,,miR172,SID1 = 1.0 * prod(g(miR172)) * gene_modifier + exogenous
UB2,,FarRed_Light,miR156,UB2 = prod(f(FarRed_Light)) * prod(g(miR156)) * gene_modifier + exogenous
UB3,,UB2,miR156,UB3 = prod(f(UB2)) * prod(g(miR156)) * gene_modifier + exogenous
TSH4,,,miR156,TSH4 = 1.0 * prod(g(miR156)) * gene_modifier + exogenous
ZMTCP30,,"UB3,UB2",,"ZMTCP30 = prod(f(UB3, UB2)) * 1.0 * gene_modifier + exogenous"
AGAP,,KNR6,,AGAP = prod(f(KNR6)) * 1.0 * gene_modifier + exogenous
IM_Size,,"ZMWUS1,KN1,AGAP","TD1,CT2,ZMCRN,FEA4,UB3,REL2","IM_Size = prod(f(ZMWUS1, KN1, AGAP)) * prod(g(TD1, CT2, ZMCRN, FEA4, UB3, REL2)) * gene_modifier + exogenous"
Axillary_Meristem,,"ZMPIN1A,BA1,BA2",RA1,"Axillary_Meristem = prod(f(ZMPIN1A, BA1, BA2)) * prod(g(RA1)) * gene_modifier + exogenous"
Ear_Branching,,T6P,"RA1,IDS1,SID1","Ear_Branching = prod(f(T6P)) * prod(g(RA1, IDS1, SID1)) * gene_modifier + exogenous"
Kernel_Row_Number,,"ZMTCP30,KRN5B,Axillary_Meristem,IM_Size","TSH4,KRN2,Ear_Branching,FEA4","Kernel_Row_Number = prod(f(ZMTCP30, KRN5B, Axillary_Meristem, IM_Size)) * prod(g(TSH4, KRN2, Ear_Branching, FEA4)) * gene_modifier + exogenous"
