source	target	sign	confidence	color	doi
PAL1	Cinnamate	positive	MEDIUM	#228B22	10.3389/fpls.2020.00652
C4H1	P_Coumarate	positive	MEDIUM	#228B22	10.3389/fpls.2020.00652
PT4CL1	P_Coumaroyl_CoA	positive	MEDIUM	#228B22	10.1104/pp.110.159269
HCT1	P_Coumaroyl_Shikimate	positive	MEDIUM	#228B22	10.7717/peerj.10741
C3H1	Caffeoyl_Shikimate	positive	MEDIUM	#228B22	10.1073/pnas.0706537105
CSE1	Caffeic_Acid	positive	MEDIUM	#228B22	10.1104/pp.17.00920
CCOAOMT1	Feruloyl_CoA	positive	MEDIUM	#228B22	10.1104/pp.124.2.563
CCR2	Coniferaldehyde	positive	MEDIUM	#228B22	10.1105/tpc.107.054148
F5H1	Hydroxyconiferaldehyde	positive	MEDIUM	#228B22	10.1073/pnas.96.16.8955
COMT1	Sinapaldehyde	positive	MEDIUM	#228B22	10.1073/pnas.96.16.8955
CAD1	Coniferyl_Alcohol	positive	MEDIUM	#228B22	10.1104/pp.112.4.1479
CAD1	Sinapyl_Alcohol	positive	MEDIUM	#228B22	10.1104/pp.112.4.1479
Cinnamate	P_Coumarate	positive	MEDIUM	#228B22	10.3389/fpls.2020.00652
P_Coumarate	P_Coumaroyl_CoA	positive	MEDIUM	#228B22	10.1104/pp.110.159269
P_Coumaroyl_CoA	P_Coumaroyl_Shikimate	positive	MEDIUM	#228B22	10.7717/peerj.10741
P_Coumaroyl_Shikimate	Caffeoyl_Shikimate	positive	MEDIUM	#228B22	10.1073/pnas.0706537105
Caffeoyl_Shikimate	Caffeic_Acid	positive	MEDIUM	#228B22	10.1104/pp.17.00920
Caffeic_Acid	Caffeoyl_CoA	positive	MEDIUM	#228B22	10.1104/pp.19.01550
Caffeoyl_CoA	Feruloyl_CoA	positive	MEDIUM	#228B22	10.1104/pp.124.2.563
Feruloyl_CoA	Coniferaldehyde	positive	MEDIUM	#228B22	10.1105/tpc.107.054148
Coniferaldehyde	Hydroxyconiferaldehyde	positive	MEDIUM	#228B22	10.1073/pnas.96.16.8955
