network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lignin Sg Ratio,N001,PAL1,GENE,Cinnamate,METABOLITE,1,activation,"PAL1 deaminates L-phenylalanine to trans-cinnamate, the entry step of phenylpropanoid metabolism",1,10.3389/fpls.2020.00652
Lignin Sg Ratio,N002,C4H1,GENE,P_Coumarate,METABOLITE,1,activation,C4H (CYP73A) hydroxylates cinnamate at the 4-position to produce p-coumarate,1,10.3389/fpls.2020.00652
Lignin Sg Ratio,N003,PT4CL1,GENE,P_Coumaroyl_CoA,METABOLITE,1,activation,4CL1 activates p-coumarate as its CoA thioester for downstream reactions,1,10.1104/pp.110.159269
Lignin Sg Ratio,N004,HCT1,GENE,P_Coumaroyl_Shikimate,METABOLITE,1,activation,HCT transfers p-coumaroyl-CoA onto shikimate to yield p-coumaroyl-shikimate,1,10.7717/peerj.10741
Lignin Sg Ratio,N005,C3H1,GENE,Caffeoyl_Shikimate,METABOLITE,1,activation,C3'H (CYP98A) hydroxylates p-coumaroyl-shikimate at the 3'-position,1,10.1073/pnas.0706537105
Lignin Sg Ratio,N006,CSE1,GENE,Caffeic_Acid,METABOLITE,1,activation,CSE hydrolyses caffeoyl-shikimate into caffeic acid and shikimate,1,10.1104/pp.17.00920
Lignin Sg Ratio,N008,CCOAOMT1,GENE,Feruloyl_CoA,METABOLITE,1,activation,"CCoAOMT methylates caffeoyl-CoA to feruloyl-CoA, the shared precursor of G and S branches",1,10.1104/pp.124.2.563
Lignin Sg Ratio,N009,CCR2,GENE,Coniferaldehyde,METABOLITE,1,activation,"CCR reduces feruloyl-CoA to coniferaldehyde, the central G/S branch-point aldehyde",1,10.1105/tpc.107.054148
Lignin Sg Ratio,N010,F5H1,GENE,Hydroxyconiferaldehyde,METABOLITE,1,activation,"F5H1/CAld5H hydroxylates coniferaldehyde at the 5-position, committing flux to the S-branch",1,10.1073/pnas.96.16.8955
Lignin Sg Ratio,N011,COMT1,GENE,Sinapaldehyde,METABOLITE,1,activation,COMT methylates the 5-OH of 5-hydroxyconiferaldehyde to produce sinapaldehyde,1,10.1073/pnas.96.16.8955
Lignin Sg Ratio,N012,CAD1,GENE,Coniferyl_Alcohol,METABOLITE,1,activation,"CAD1 reduces coniferaldehyde to coniferyl alcohol, the G monolignol",1,10.1104/pp.112.4.1479
Lignin Sg Ratio,N013,CAD1,GENE,Sinapyl_Alcohol,METABOLITE,1,activation,"CAD1 reduces sinapaldehyde to sinapyl alcohol, the S monolignol",1,10.1104/pp.112.4.1479
