network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Lignin Sg Ratio,E001,PAL1,Cinnamate,1,HIGH,False,1,10.3389/fpls.2020.00652
Lignin Sg Ratio,E002,C4H1,p_Coumarate,1,HIGH,False,1,10.3389/fpls.2020.00652
Lignin Sg Ratio,E003,4CL1,p_Coumaroyl_CoA,1,HIGH,False,1,10.1104/pp.110.159269
Lignin Sg Ratio,E004,HCT1,p_Coumaroyl_Shikimate,1,HIGH,False,1,10.7717/peerj.10741
Lignin Sg Ratio,E005,C3H1,Caffeoyl_Shikimate,1,HIGH,False,1,10.1073/pnas.0706537105
Lignin Sg Ratio,E006,CSE1,Caffeic_Acid,1,HIGH,False,1,10.1104/pp.17.00920
Lignin Sg Ratio,E007,Caffeic_Acid,Caffeoyl_CoA,1,HIGH,False,1,10.1104/pp.19.01550
Lignin Sg Ratio,E008,CCoAOMT1,Feruloyl_CoA,1,HIGH,False,1,10.1104/pp.124.2.563
Lignin Sg Ratio,E009,CCR2,Coniferaldehyde,1,HIGH,False,1,10.1105/tpc.107.054148
Lignin Sg Ratio,E010,F5H1,5_Hydroxyconiferaldehyde,1,HIGH,False,2,10.1007/s00425-012-1663-5; 10.1073/pnas.96.16.8955
Lignin Sg Ratio,E011,COMT1,Sinapaldehyde,1,HIGH,False,2,10.1073/pnas.96.16.8955; 10.1104/pp.123.4.1363
Lignin Sg Ratio,E012,CAD1,Coniferyl_Alcohol,1,HIGH,False,1,10.1104/pp.112.4.1479
Lignin Sg Ratio,E013,CAD1,Sinapyl_Alcohol,1,HIGH,False,1,10.1104/pp.112.4.1479
Lignin Sg Ratio,E014,Sinapyl_Alcohol,Lignin_SG_Ratio,1,HIGH,False,1,10.1104/pp.109.137059
Lignin Sg Ratio,E015,Coniferyl_Alcohol,Lignin_SG_Ratio,-1,HIGH,False,1,10.1104/pp.109.137059
Lignin Sg Ratio,E016,F5H1,Lignin_SG_Ratio,1,HIGH,False,3,10.1046/j.1365-313X.2000.00795.x; 10.1104/pp.109.137059; 10.1128/AEM.03182-12
Lignin Sg Ratio,E017,COMT1,Lignin_SG_Ratio,1,HIGH,False,1,10.1104/pp.123.4.1363
Lignin Sg Ratio,E018,CCoAOMT1,Syringyl_Monolignol_Synthesis,1,HIGH,False,1,10.1104/pp.124.2.563
Lignin Sg Ratio,E019,CCoAOMT1,Guaiacyl_Monolignol_Synthesis,1,HIGH,False,1,10.1104/pp.124.2.563
Lignin Sg Ratio,E020,CCR2,Lignin_SG_Ratio,1,HIGH,False,2,10.1038/s41467-020-18822-w; 10.1105/tpc.107.054148
Lignin Sg Ratio,E021,C3H1,Lignin_SG_Ratio,-1,MEDIUM,False,2,10.1007/s12155-012-9218-y; 10.3389/fbioe.2021.790539
Lignin Sg Ratio,E022,4CL1,Lignin_SG_Ratio,1,HIGH,False,2,10.1104/pp.110.159269; 10.1104/pp.19.01550
Lignin Sg Ratio,E023,4CL1,F5H1,1,MEDIUM,False,1,10.1104/pp.19.01550
Lignin Sg Ratio,E024,4CL5,Guaiacyl_Monolignol_Synthesis,1,MEDIUM,False,1,10.1104/pp.19.01550
Lignin Sg Ratio,E025,CSE1,Lignin_SG_Ratio,1,MEDIUM,False,1,10.1104/pp.17.00920
Lignin Sg Ratio,E026,CAD1,Lignin_Polymerization,1,HIGH,False,1,10.1104/pp.112.4.1479
Lignin Sg Ratio,E027,LAC3,Lignin_Polymerization,1,HIGH,False,1,10.1073/pnas.1308936110
Lignin Sg Ratio,E028,CPR,F5H1,1,MEDIUM,False,1,10.1007/s00425-012-1663-5
Lignin Sg Ratio,E029,Coniferaldehyde,5_Hydroxyconiferaldehyde,1,HIGH,False,1,10.1073/pnas.96.16.8955
Lignin Sg Ratio,E030,5_Hydroxyconiferaldehyde,Sinapaldehyde,1,HIGH,False,1,10.1073/pnas.96.16.8955
Lignin Sg Ratio,E031,Sinapaldehyde,Sinapyl_Alcohol,1,HIGH,False,1,10.1104/pp.112.4.1479
Lignin Sg Ratio,E032,Ferulic_Acid,Lignin_Polymerization,-1,MEDIUM,False,1,10.1105/tpc.107.054148
Lignin Sg Ratio,E033,SND1,MYB3,1,HIGH,False,1,10.1104/pp.111.181354
