network,method,path_length,n_correct,n_total,accuracy_pct
Lignin Sg Ratio,Algebraic,1,9,13,69.23
Lignin Sg Ratio,Algebraic,2,2,8,25.0
Lignin Sg Ratio,Algebraic,3,6,6,100.0
Lignin Sg Ratio,Algebraic,4,0,1,0.0
Lignin Sg Ratio,Algebraic,6,0,2,0.0
Lignin Sg Ratio,Algebraic,7,1,1,100.0
Lignin Sg Ratio,ODE,1,12,13,92.31
Lignin Sg Ratio,ODE,2,6,8,75.0
Lignin Sg Ratio,ODE,3,6,6,100.0
Lignin Sg Ratio,ODE,4,0,1,0.0
Lignin Sg Ratio,ODE,6,2,2,100.0
Lignin Sg Ratio,ODE,7,1,1,100.0
Lignin Sg Ratio,RWR,1,12,13,92.31
Lignin Sg Ratio,RWR,2,7,8,87.5
Lignin Sg Ratio,RWR,3,5,6,83.33
Lignin Sg Ratio,RWR,4,0,1,0.0
Lignin Sg Ratio,RWR,6,0,2,0.0
Lignin Sg Ratio,RWR,7,1,1,100.0
