source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
PAL1,GENE,Cinnamate,METABOLITE,activation,enzymatic,HIGH,PAL deaminates L-phenylalanine to trans-cinnamate; entry step of phenylpropanoid pathway,,,,,,PAL catalyzes the initial step of phenylpropanoid biosynthesis,,
C4H1,GENE,p_Coumarate,METABOLITE,activation,enzymatic,HIGH,"C4H (cinnamate 4-hydroxylase, CYP73A) hydroxylates cinnamate to p-coumarate",,,,,,C4H hydroxylates cinnamate to p-coumarate in the phenylpropanoid pathway,,
4CL1,GENE,p_Coumaroyl_CoA,METABOLITE,activation,enzymatic,HIGH,4CL activates p-coumarate to p-coumaroyl-CoA,,,,,,4CL catalyses the activation of 4-coumarate to 4-coumaroyl-CoA,,
HCT1,GENE,p_Coumaroyl_Shikimate,METABOLITE,activation,enzymatic,HIGH,HCT transfers p-coumaroyl-CoA to shikimate to form p-coumaroyl-shikimate,,,,,,"HCT divides the mass flux to H, G and S units in monolignol biosynthesis; PtHCT1 and PtHCT6 have been associated with lignin biosynthesis because of their xylem-specific expression profile",,
C3H1,GENE,Caffeoyl_Shikimate,METABOLITE,activation,enzymatic,HIGH,C3'H (CYP98A) hydroxylates p-coumaroyl-shikimate at the 3'-position,,,,,,C3'H is a cytochrome P450-dependent monooxygenase that catalyzes the 3'-hydroxylation of p-coumaroyl shikimate and p-coumaroyl quinate,,
CSE1,GENE,Caffeic_Acid,METABOLITE,activation,enzymatic,HIGH,CSE hydrolyses caffeoyl-shikimate to caffeate and shikimate,,,,,,CSE is able to catalyze the conversion of caffeoyl shikimate into caffeate in Arabidopsis,,
Caffeic_Acid,METABOLITE,Caffeoyl_CoA,METABOLITE,activation,enzymatic,HIGH,4CL5 activates caffeic acid to caffeoyl-CoA (compensatory pathway),,,,,,"Combined activity of CSE with that of 4CL, producing caffeoyl-CoA",,
CCoAOMT1,GENE,Feruloyl_CoA,METABOLITE,activation,enzymatic,HIGH,CCoAOMT methylates caffeoyl-CoA to feruloyl-CoA,,,,,,reduction in CCoAOMT could effectively affect the availability of the substrate feruloyl CoA,,
CCR2,GENE,Coniferaldehyde,METABOLITE,activation,enzymatic,HIGH,CCR reduces feruloyl-CoA to coniferaldehyde,,,,,,CCR catalyzes the conversion of feruloyl-CoA to coniferaldehyde in monolignol biosynthesis,,
F5H1,GENE,5_Hydroxyconiferaldehyde,METABOLITE,activation,enzymatic,HIGH,F5H/CAld5H hydroxylates coniferaldehyde at the 5 position (major S-branch entry),,,,,,CAld5H catalyzes 5-hydroxylation of coniferyl aldehyde into 5-hydroxyconiferyl aldehyde; kcat/Km of CAld5H for coniferyl aldehyde was approximately 140 times greater than for ferulate,,
COMT1,GENE,Sinapaldehyde,METABOLITE,activation,enzymatic,HIGH,COMT methylates 5-hydroxyconiferaldehyde at the 5-OH to yield sinapaldehyde,,,,,,5-hydroxyconiferyl aldehyde was converted exclusively into sinapyl aldehyde when incubated with LsCOMT,,
CAD1,GENE,Coniferyl_Alcohol,METABOLITE,activation,enzymatic,HIGH,CAD reduces coniferaldehyde to coniferyl alcohol (G monolignol),,,,,,"CAD catalyzes the last step in the biosynthesis of the lignin precursors, the monolignols",,
CAD1,GENE,Sinapyl_Alcohol,METABOLITE,activation,enzymatic,HIGH,CAD reduces sinapaldehyde to sinapyl alcohol (S monolignol),,,,,,CAD catalyses the last step in monolignol biosynthesis; reduces both coniferaldehyde and sinapaldehyde to the respective alcohols,,
Sinapyl_Alcohol,METABOLITE,Lignin_SG_Ratio,PHENOTYPE,activation,flux,HIGH,Sinapyl alcohol is the S monolignol; higher availability drives higher S/G,,,,,,"F5H affects the partitioning between the two major traditional monolignols, coniferyl and sinapyl alcohols",,
Coniferyl_Alcohol,METABOLITE,Lignin_SG_Ratio,PHENOTYPE,inhibition,flux,HIGH,Coniferyl alcohol is the G monolignol; excess coniferyl alcohol reduces S/G,,,,,,only coupling of a monolignol with a G unit can result in beta-5-coupled products; G-unit surplus lowers S/G,,
F5H1,GENE,Lignin_SG_Ratio,PHENOTYPE,activation,enzymatic,HIGH,F5H1 is the rate-limiting enzyme for S-monolignol biosynthesis; dominant determinant of poplar S/G,,,,,,C4H::F5H transgenic lignin was comprised of as much as 97.5% syringyl units; the syringyl level in the wild-type control was 68%,,
COMT1,GENE,Lignin_SG_Ratio,PHENOTYPE,activation,enzymatic,HIGH,COMT methylation after F5H1 hydroxylation is required for S unit formation,,,,,,70SOMT-3 line almost complete lack of syringyl units; ASOMT lines 65-67% G vs 29-31% S (vs 33-34% G; 64-67% S control),,
CCoAOMT1,GENE,Syringyl_Monolignol_Synthesis,PROCESS,activation,enzymatic,HIGH,"CCoAOMT produces feruloyl-CoA, feeding both G and S branches",,,,,,repression of CCoAOMT results in a decrease of both guaiacyl lignin and syringyl lignin units,,
CCoAOMT1,GENE,Guaiacyl_Monolignol_Synthesis,PROCESS,activation,enzymatic,HIGH,CCoAOMT methylation is shared upstream of both G and S branches,,,,,,The reduction in lignin content was the result of a decrease in both guaiacyl and syringyl lignins,,
CCR2,GENE,Lignin_SG_Ratio,PHENOTYPE,activation,enzymatic,HIGH,CCR downregulation preferentially reduces S-units via disturbed flux,,,,,,S/G ratio of FAS13 and FS40 lignin was significantly lower than that of wild type; relatively more reduced in syringyl than in guaiacyl units,,
C3H1,GENE,Lignin_SG_Ratio,PHENOTYPE,inhibition,enzymatic,MEDIUM,"In poplar, C3H downregulation specifically reduces G (not S), so C3H net-drives G over S",,,,,,"C3H downregulation reduced lignin levels by half and markedly increased the proportion of H units; G/S 0.59 WT to 0.28 C3H (i.e., S/G INCREASED with C3H down)",,
4CL1,GENE,Lignin_SG_Ratio,PHENOTYPE,activation,enzymatic,HIGH,4CL1 loss in poplar preferentially reduces S-units (34%) vs G (5%),,,,,,S/G ratios declined to as little as 1.1 to 1.4 in event 712 as compared with 1.8 to 2.3,,
4CL1,GENE,F5H1,GENE,activation,transcriptional_indirect,MEDIUM,"In 4CL1-KO poplar, F5H1/F5H2 transcripts are significantly downregulated",,,,,,F5H1 and F5H2 significantly downregulated in 4CL1-KO; F5Hs occupy branch-point into S-lignin biosynthesis,,
4CL5,GENE,Guaiacyl_Monolignol_Synthesis,PROCESS,activation,enzymatic,MEDIUM,4CL5 provides compensatory flux to G lignin upon 4CL1 loss,,,,,,4CL5 compensatory pathway channelled toward G-lignin,,
