test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,F5H1,overexpression,,,,,,increased,strong,,,,,,C4H::F5H transgenic lignin was comprised of as much as 97.5% syringyl units; the syringyl level in the wild-type control was 68%,,,Populus tremula x alba,
T002,F5H1,overexpression,,,,,,increased,strong,,,,,,"Line 64 exhibits ca. 94 mol%, line 82 exhibits ca. 85 mol%, and the wild type exhibits ca. 65 mol% of syringyl lignin units, as determined by thioacidolysis",,,Populus alba x tremula,
T003,F5H1,overexpression,,,,,,increased,strong,,,,,,Ectopic expression of AtF5H cDNA in transgenic tobacco and poplar induces an increase in S-units in lignins,,,Populus tremula x alba,
T004,F5H1,overexpression,,,,,,increased,strong,,,,,,Analysis of poplar transformed with a C4H-F5H construct demonstrated significant increases in chemical (kraft) pulping efficiency; decreases of 23 kappa units and increases of more than 20 ISO brightness units in trees exhibiting high syringyl monomer concentrations,,,Populus tremula x alba,
T005,COMT1,knockdown,,,,,,decreased,strong,,,,,,70SOMT-3 line: 10-fold reduction in beta-O-4-linked S units (60% to 6%); almost complete lack of syringyl units,,,Populus tremula x alba,
T006,COMT1,knockdown,,,,,,decreased,moderate,,,,,,ASOMT antisense lines: 65-67% G vs 29-31% S (vs 33-34% G; 64-67% S in control),,,Populus tremula x alba,
T007,CCoAOMT1,knockdown,,,,,,unchanged,slight,,,,,,The reduction in lignin content was the result of a decrease in both guaiacyl and syringyl lignins (both reduced proportionally),,,Populus tremula x alba,
T008,CCR2,knockdown,,,,,,decreased,strong,,,,,,CCR transcript levels down to 3 to 4% of wild-type; S/G ratio of FAS13 and FS40 lignin was significantly lower than that of wild type; relatively more reduced in syringyl than in guaiacyl units,,,Populus tremula x alba,
T009,CCR2,knockout,,,,,,decreased,moderate,,,,,,Null CCR2 allele combined with haploinsufficient allele alters lignin composition,,,Populus tremula x alba,
T010,CAD1,knockdown,,,,,,unchanged,,,,,,,Neither the lignin amount nor the lignin monomeric composition (syringyl/guaiacyl) were significantly modified,,,Populus tremula x alba,
T011,C3H1,knockdown,,,,,,increased,strong,,,,,,up to approximately 20% p-hydroxyphenyl (H) lignin subunits; increase in H monomers came at the expense of only guaiacyl (G); S maintained,,,Populus alba x grandidentata,
T012,C3H1,knockdown,,,,,,increased,strong,,,,,,C3H downregulation reduced lignin levels by half; G/S went from 0.59 WT to 0.28 C3H (so S/G from ~1.7 to ~3.6),,,Populus alba x grandidentata,
T013,C3H1,knockdown,,,,,,decreased,moderate,,,,,,"the S/G ratio in DEL-CK was 2.82, while the S/G ratio for DEL-C3H was 2.48",,,Populus alba x glandulosa,
T014,4CL1,knockdown,,,,,,decreased,moderate,,,,,,S/G ratios declined to as little as 1.1 to 1.4 in event 712 as compared with 1.8 to 2.3,,,Populus tremula x alba,
T015,4CL1,knockout_CRISPR,,,,,,decreased,moderate,,,,,,pyMBMS analysis detected a 30% decrease in S/G ratio; 34% reduction of S-units and a small (5%) reduction of G-units,,,Populus tremula x alba,
T016,4CL5,knockout_CRISPR,,,,,,unchanged,,,,,,,CRISPR-KO of 4CL5 did not change either lignin content or S/G ratio,,,Populus tremula x alba,
T017,CSE1,knockdown,,,,,,decreased,moderate,,,,,,S/G ratio decreased from 2.06 in the wild type to 1.85 and 1.9 in hpCSE#1 and hpCSE#2,,,Populus tremula x alba,
T018,CSE1;CSE2,double_knockout,,,,,,decreased,strong,,,,,,CRISPR double KO of CSE1 and CSE2 shows importance and partial redundancy in lignification,,,Populus tremula x alba,
