test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,F5H1,overexpression,,,,WT,Lignin_SG_Ratio,increased,strong,,,,,,C4H::F5H transgenic lignin was comprised of as much as 97.5% syringyl units; the syringyl level in the wild-type control was 68%,,,Populus tremula x alba,Canonical positive-control S/G OE experiment in poplar (Meyermans 2000; Huntley 2003; Stewart 2009; Skyba 2013)
T002,F5H1,overexpression,,,,WT,Lignin_SG_Ratio,increased,strong,,,,,,"Line 64 exhibits ca. 94 mol%, line 82 exhibits ca. 85 mol%, and the wild type exhibits ca. 65 mol% of syringyl lignin units, as determined by thioacidolysis",,,Populus alba x tremula,Canonical positive-control S/G OE experiment in poplar (Meyermans 2000; Huntley 2003; Stewart 2009; Skyba 2013)
T003,F5H1,overexpression,,,,WT,Lignin_SG_Ratio,increased,strong,,,,,,Ectopic expression of AtF5H cDNA in transgenic tobacco and poplar induces an increase in S-units in lignins,,,Populus tremula x alba,Canonical positive-control S/G OE experiment in poplar (Meyermans 2000; Huntley 2003; Stewart 2009; Skyba 2013)
T004,F5H1,overexpression,,,,WT,Lignin_SG_Ratio,increased,strong,,,,,,Analysis of poplar transformed with a C4H-F5H construct demonstrated significant increases in chemical (kraft) pulping efficiency; decreases of 23 kappa units and increases of more than 20 ISO brightness units in trees exhibiting high syringyl monomer concentrations,,,Populus tremula x alba,Canonical positive-control S/G OE experiment in poplar (Meyermans 2000; Huntley 2003; Stewart 2009; Skyba 2013)
T005,COMT1,knockdown,,,,WT,Lignin_SG_Ratio,decreased,strong,,,,,,70SOMT-3 line: 10-fold reduction in beta-O-4-linked S units (60% to 6%); almost complete lack of syringyl units,,,Populus tremula x alba,COMT1 is the syringyl-specific methylation step; silencing -> loss of S units
T006,COMT1,knockdown,,,,WT,Lignin_SG_Ratio,decreased,moderate,,,,,,ASOMT antisense lines: 65-67% G vs 29-31% S (vs 33-34% G; 64-67% S in control),,,Populus tremula x alba,COMT1 is the syringyl-specific methylation step; silencing -> loss of S units
T007,CCoAOMT1,knockdown,,,,WT,Lignin_SG_Ratio,unchanged,slight,,,,,,The reduction in lignin content was the result of a decrease in both guaiacyl and syringyl lignins (both reduced proportionally),,,Populus tremula x alba,CCoAOMT1 KD reduces total lignin but leaves S/G ratio largely unchanged
T008,CCR2,knockdown,,,,WT,Lignin_SG_Ratio,decreased,strong,,,,,,CCR transcript levels down to 3 to 4% of wild-type; S/G ratio of FAS13 and FS40 lignin was significantly lower than that of wild type; relatively more reduced in syringyl than in guaiacyl units,,,Populus tremula x alba,CCR RNAi preferentially lowers S units in poplar (Leple 2007)
T009,CCR2,knockout,,,,WT,Lignin_SG_Ratio,decreased,moderate,,,,,,Null CCR2 allele combined with haploinsufficient allele alters lignin composition,,,Populus tremula x alba,Null CCR2 allele + haploinsufficient allele (De Meester 2020)
T010,CAD1,knockdown,,,,WT,Lignin_SG_Ratio,unchanged,slight,,,,,,Neither the lignin amount nor the lignin monomeric composition (syringyl/guaiacyl) were significantly modified,,,Populus tremula x alba,CAD acts on both coniferaldehyde and sinapaldehyde; KD does not shift S/G ratio
