node,node_type,activators,inhibitors,formula
Tension_Wood,,,,Tension_Wood = gene_modifier + exogenous_supply
Auxin,,,,Auxin = gene_modifier + exogenous_supply
ARF2_1,,,,ARF2_1 = gene_modifier + exogenous_supply
CSE1,,,,CSE1 = gene_modifier + exogenous_supply
MYB152,,,,MYB152 = gene_modifier + exogenous_supply
MYB90,,,,MYB90 = gene_modifier + exogenous_supply
MYB161,,,,MYB161 = gene_modifier + exogenous_supply
MYB156,,,,MYB156 = gene_modifier + exogenous_supply
NF_YA11,,,,NF_YA11 = gene_modifier + exogenous_supply
WBLH2,,,,WBLH2 = gene_modifier + exogenous_supply
SND1,,,"Auxin,ARF2_1,MYB221","SND1 = 1.0 * min(1/max(Auxin * ARF2_1 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
NAC156,,SND1,,"NAC156 = max(SND1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
MYB3,,SND1,,"MYB3 = max(SND1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
MYB20,,SND1,,"MYB20 = max(SND1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
MYB21,,SND1,,"MYB21 = max(SND1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
MYB74,,NAC156,,"MYB74 = max(NAC156, 0.01)^(1/1) * gene_modifier + exogenous_supply"
MYB92,,,ARF2_1,"MYB92 = 1.0 * min(1/max(ARF2_1, 0.1), 10.0) * gene_modifier + exogenous_supply"
MYB221,,MYB3,,"MYB221 = max(MYB3, 0.01)^(1/1) * gene_modifier + exogenous_supply"
KNAT7,,SND1,,"KNAT7 = max(SND1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
PAL1,,"MYB3,MYB20,MYB92,KNAT7","MYB156,MYB221","PAL1 = (max(MYB3, 0.01) * max(MYB20, 0.01) * max(MYB92, 0.01) * max(KNAT7, 0.01))^(1/4) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
C4H1,,"MYB74,MYB92","MYB156,MYB221","C4H1 = (max(MYB74, 0.01) * max(MYB92, 0.01))^(1/2) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
PT4CL1,,"MYB21,MYB152","MYB156,MYB221","PT4CL1 = (max(MYB21, 0.01) * max(MYB152, 0.01))^(1/2) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
HCT1,,"MYB92,MYB152,WBLH2","MYB156,MYB221","HCT1 = (max(MYB92, 0.01) * max(MYB152, 0.01) * max(WBLH2, 0.01))^(1/3) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
C3H1,,"MYB74,MYB92,MYB152","MYB156,MYB221","C3H1 = (max(MYB74, 0.01) * max(MYB92, 0.01) * max(MYB152, 0.01))^(1/3) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
CCOAOMT1,,"SND1,NAC156,MYB3,MYB21,MYB74,MYB92,MYB152","MYB156,MYB221","CCOAOMT1 = (max(SND1, 0.01) * max(NAC156, 0.01) * max(MYB3, 0.01) * max(MYB21, 0.01) * max(MYB74, 0.01) * max(MYB92, 0.01) * max(MYB152, 0.01))^(1/7) * min(1/max(MYB156 * MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
CCR2,,"KNAT7,MYB74,MYB92,MYB152",MYB221,"CCR2 = (max(KNAT7, 0.01) * max(MYB74, 0.01) * max(MYB92, 0.01) * max(MYB152, 0.01))^(1/4) * min(1/max(MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
F5H1,,"MYB74,MYB90,MYB152,MYB161,NF_YA11,WBLH2",MYB156,"F5H1 = (max(MYB74, 0.01) * max(MYB90, 0.01) * max(MYB152, 0.01) * max(MYB161, 0.01) * max(NF_YA11, 0.01) * max(WBLH2, 0.01))^(1/6) * min(1/max(MYB156, 0.1), 10.0) * gene_modifier + exogenous_supply"
COMT1,,"MYB3,MYB90,MYB92",MYB221,"COMT1 = (max(MYB3, 0.01) * max(MYB90, 0.01) * max(MYB92, 0.01))^(1/3) * min(1/max(MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
CAD1,,"MYB92,MYB152",MYB221,"CAD1 = (max(MYB92, 0.01) * max(MYB152, 0.01))^(1/2) * min(1/max(MYB221, 0.1), 10.0) * gene_modifier + exogenous_supply"
Cinnamate,,PAL1,,"Cinnamate = max(PAL1, 0.01)^(1/1) * gene_modifier + exogenous_supply"
P_Coumarate,,"C4H1,Cinnamate",,"P_Coumarate = (max(C4H1, 0.01) * max(Cinnamate, 0.01))^(1/2) * gene_modifier + exogenous_supply"
P_Coumaroyl_CoA,,"PT4CL1,P_Coumarate",,"P_Coumaroyl_CoA = (max(PT4CL1, 0.01) * max(P_Coumarate, 0.01))^(1/2) * gene_modifier + exogenous_supply"
P_Coumaroyl_Shikimate,,"HCT1,P_Coumaroyl_CoA",,"P_Coumaroyl_Shikimate = (max(HCT1, 0.01) * max(P_Coumaroyl_CoA, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Caffeoyl_Shikimate,,"C3H1,P_Coumaroyl_Shikimate",,"Caffeoyl_Shikimate = (max(C3H1, 0.01) * max(P_Coumaroyl_Shikimate, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Caffeic_Acid,,"CSE1,Caffeoyl_Shikimate",,"Caffeic_Acid = (max(CSE1, 0.01) * max(Caffeoyl_Shikimate, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Caffeoyl_CoA,,Caffeic_Acid,,"Caffeoyl_CoA = max(Caffeic_Acid, 0.01) * gene_modifier + exogenous_supply"
Feruloyl_CoA,,"CCOAOMT1,Caffeoyl_CoA",,"Feruloyl_CoA = (max(CCOAOMT1, 0.01) * max(Caffeoyl_CoA, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Coniferaldehyde,,"CCR2,Feruloyl_CoA",,"Coniferaldehyde = (max(CCR2, 0.01) * max(Feruloyl_CoA, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Hydroxyconiferaldehyde,,"F5H1,Coniferaldehyde",,"Hydroxyconiferaldehyde = (max(F5H1, 0.01) * max(Coniferaldehyde, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Sinapaldehyde,,"COMT1,Hydroxyconiferaldehyde",,"Sinapaldehyde = (max(COMT1, 0.01) * max(Hydroxyconiferaldehyde, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Coniferyl_Alcohol,,"CAD1,Coniferaldehyde",,"Coniferyl_Alcohol = (max(CAD1, 0.01) * max(Coniferaldehyde, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Sinapyl_Alcohol,,"CAD1,Sinapaldehyde",,"Sinapyl_Alcohol = (max(CAD1, 0.01) * max(Sinapaldehyde, 0.01))^(1/2) * gene_modifier + exogenous_supply"
Lignin_SG_Ratio,,"F5H1,Sinapyl_Alcohol,MYB152,Tension_Wood,CCR2,PT4CL1","Coniferyl_Alcohol,C3H1","Lignin_SG_Ratio = (max(F5H1, 0.01) * max(Sinapyl_Alcohol, 0.01) * max(MYB152, 0.01) * max(Tension_Wood, 0.01) * max(CCR2, 0.01) * max(PT4CL1, 0.01))^(1/6) * min(1/max(Coniferyl_Alcohol * C3H1, 0.1), 10.0) * gene_modifier + exogenous_supply"
