node,node_type,activators,inhibitors,formula
Tension_Wood,,,,Tension_Wood = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,,,Auxin = 1.0 * 1.0 * gene_modifier + exogenous
ARF2_1,,,,ARF2_1 = 1.0 * 1.0 * gene_modifier + exogenous
CSE1,,,,CSE1 = 1.0 * 1.0 * gene_modifier + exogenous
MYB152,,,,MYB152 = 1.0 * 1.0 * gene_modifier + exogenous
MYB90,,,,MYB90 = 1.0 * 1.0 * gene_modifier + exogenous
MYB161,,,,MYB161 = 1.0 * 1.0 * gene_modifier + exogenous
MYB156,,,,MYB156 = 1.0 * 1.0 * gene_modifier + exogenous
NF_YA11,,,,NF_YA11 = 1.0 * 1.0 * gene_modifier + exogenous
WBLH2,,,,WBLH2 = 1.0 * 1.0 * gene_modifier + exogenous
SND1,,,"Auxin,ARF2_1,MYB221","SND1 = 1.0 * prod(g(Auxin, ARF2_1, MYB221)) * gene_modifier + exogenous"
NAC156,,SND1,,NAC156 = prod(f(SND1)) * 1.0 * gene_modifier + exogenous
MYB3,,SND1,,MYB3 = prod(f(SND1)) * 1.0 * gene_modifier + exogenous
MYB20,,SND1,,MYB20 = prod(f(SND1)) * 1.0 * gene_modifier + exogenous
MYB21,,SND1,,MYB21 = prod(f(SND1)) * 1.0 * gene_modifier + exogenous
MYB74,,NAC156,,MYB74 = prod(f(NAC156)) * 1.0 * gene_modifier + exogenous
MYB92,,,ARF2_1,MYB92 = 1.0 * prod(g(ARF2_1)) * gene_modifier + exogenous
MYB221,,MYB3,,MYB221 = prod(f(MYB3)) * 1.0 * gene_modifier + exogenous
KNAT7,,SND1,,KNAT7 = prod(f(SND1)) * 1.0 * gene_modifier + exogenous
PAL1,,"MYB3,MYB20,MYB92,KNAT7","MYB156,MYB221","PAL1 = prod(f(MYB3, MYB20, MYB92, KNAT7)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
C4H1,,"MYB74,MYB92","MYB156,MYB221","C4H1 = prod(f(MYB74, MYB92)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
PT4CL1,,"MYB21,MYB152","MYB156,MYB221","PT4CL1 = prod(f(MYB21, MYB152)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
HCT1,,"MYB92,MYB152,WBLH2","MYB156,MYB221","HCT1 = prod(f(MYB92, MYB152, WBLH2)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
C3H1,,"MYB74,MYB92,MYB152","MYB156,MYB221","C3H1 = prod(f(MYB74, MYB92, MYB152)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
CCOAOMT1,,"SND1,NAC156,MYB3,MYB21,MYB74,MYB92,MYB152","MYB156,MYB221","CCOAOMT1 = prod(f(SND1, NAC156, MYB3, MYB21, MYB74, MYB92, MYB152)) * prod(g(MYB156, MYB221)) * gene_modifier + exogenous"
CCR2,,"KNAT7,MYB74,MYB92,MYB152",MYB221,"CCR2 = prod(f(KNAT7, MYB74, MYB92, MYB152)) * prod(g(MYB221)) * gene_modifier + exogenous"
F5H1,,"MYB74,MYB90,MYB152,MYB161,NF_YA11,WBLH2",MYB156,"F5H1 = prod(f(MYB74, MYB90, MYB152, MYB161, NF_YA11, WBLH2)) * prod(g(MYB156)) * gene_modifier + exogenous"
COMT1,,"MYB3,MYB90,MYB92",MYB221,"COMT1 = prod(f(MYB3, MYB90, MYB92)) * prod(g(MYB221)) * gene_modifier + exogenous"
CAD1,,"MYB92,MYB152",MYB221,"CAD1 = prod(f(MYB92, MYB152)) * prod(g(MYB221)) * gene_modifier + exogenous"
Cinnamate,,PAL1,,Cinnamate = prod(f(PAL1)) * 1.0 * gene_modifier + exogenous
P_Coumarate,,"C4H1,Cinnamate",,"P_Coumarate = prod(f(C4H1, Cinnamate)) * 1.0 * gene_modifier + exogenous"
P_Coumaroyl_CoA,,"PT4CL1,P_Coumarate",,"P_Coumaroyl_CoA = prod(f(PT4CL1, P_Coumarate)) * 1.0 * gene_modifier + exogenous"
P_Coumaroyl_Shikimate,,"HCT1,P_Coumaroyl_CoA",,"P_Coumaroyl_Shikimate = prod(f(HCT1, P_Coumaroyl_CoA)) * 1.0 * gene_modifier + exogenous"
Caffeoyl_Shikimate,,"C3H1,P_Coumaroyl_Shikimate",,"Caffeoyl_Shikimate = prod(f(C3H1, P_Coumaroyl_Shikimate)) * 1.0 * gene_modifier + exogenous"
Caffeic_Acid,,"CSE1,Caffeoyl_Shikimate",,"Caffeic_Acid = prod(f(CSE1, Caffeoyl_Shikimate)) * 1.0 * gene_modifier + exogenous"
Caffeoyl_CoA,,Caffeic_Acid,,Caffeoyl_CoA = prod(f(Caffeic_Acid)) * 1.0 * gene_modifier + exogenous
Feruloyl_CoA,,"CCOAOMT1,Caffeoyl_CoA",,"Feruloyl_CoA = prod(f(CCOAOMT1, Caffeoyl_CoA)) * 1.0 * gene_modifier + exogenous"
Coniferaldehyde,,"CCR2,Feruloyl_CoA",,"Coniferaldehyde = prod(f(CCR2, Feruloyl_CoA)) * 1.0 * gene_modifier + exogenous"
Hydroxyconiferaldehyde,,"F5H1,Coniferaldehyde",,"Hydroxyconiferaldehyde = prod(f(F5H1, Coniferaldehyde)) * 1.0 * gene_modifier + exogenous"
Sinapaldehyde,,"COMT1,Hydroxyconiferaldehyde",,"Sinapaldehyde = prod(f(COMT1, Hydroxyconiferaldehyde)) * 1.0 * gene_modifier + exogenous"
Coniferyl_Alcohol,,"CAD1,Coniferaldehyde",,"Coniferyl_Alcohol = prod(f(CAD1, Coniferaldehyde)) * 1.0 * gene_modifier + exogenous"
Sinapyl_Alcohol,,"CAD1,Sinapaldehyde",,"Sinapyl_Alcohol = prod(f(CAD1, Sinapaldehyde)) * 1.0 * gene_modifier + exogenous"
Lignin_SG_Ratio,,"F5H1,Sinapyl_Alcohol,MYB152,Tension_Wood,CCR2,PT4CL1","Coniferyl_Alcohol,C3H1","Lignin_SG_Ratio = prod(f(F5H1, Sinapyl_Alcohol, MYB152, Tension_Wood, CCR2, PT4CL1)) * prod(g(Coniferyl_Alcohol, C3H1)) * gene_modifier + exogenous"
