network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Tillering,E001,Strigolactone,D14,1,HIGH,True,2,10.1038/nature12870; 10.1038/nature12878
Tillering,E002,D14,D53,-1,HIGH,True,1,10.1038/nature12870
Tillering,E003,D3,D53,-1,HIGH,True,1,10.1038/nature12878
Tillering,E004,D53,IPA1,-1,HIGH,True,1,10.1038/cr.2017.102
Tillering,E005,D53,MOC1,-1,MEDIUM,True,1,10.1038/s41477-019-0376-1
Tillering,E006,D53,OsCKX9,-1,HIGH,True,1,10.1073/pnas.1810980116
Tillering,E007,IPA1,OsTB1,1,HIGH,True,2,10.1038/cr.2017.102; 10.1105/tpc.113.113639
Tillering,E008,IPA1,D53,1,HIGH,True,1,10.1038/cr.2017.102
Tillering,E009,IPA1,OsDEP1,1,HIGH,True,1,10.1105/tpc.113.113639
Tillering,E010,IPA1,OsLOG,1,MEDIUM,True,1,10.1105/tpc.113.113639
Tillering,E011,IPA1,OsPIN1b,1,MEDIUM,True,1,10.1105/tpc.113.113639
Tillering,E012,IPA1,OsHK4,1,HIGH,True,1,10.1093/plcell/koad257
Tillering,E013,miR156,IPA1,-1,HIGH,True,1,10.1038/ng.591
Tillering,E014,miR529,IPA1,-1,MEDIUM,True,1,10.1270/jsbbs.22088
Tillering,E015,IPI1,IPA1,-1,HIGH,True,1,10.1105/tpc.16.00879
Tillering,E016,OsSHI1,IPA1,-1,HIGH,True,1,10.1105/tpc.19.00023
Tillering,E017,D27,Strigolactone,1,HIGH,True,1,10.1105/tpc.109.065987
Tillering,E018,D10,Strigolactone,1,HIGH,True,1,10.1111/j.1365-313X.2007.03210.x
Tillering,E019,D17,Strigolactone,1,HIGH,True,1,10.1270/jsbbs.22088
Tillering,E020,OsMAX1,Strigolactone,1,HIGH,True,1,10.1073/pnas.1314805111
Tillering,E021,Auxin,D10,1,HIGH,True,2,10.1104/pp.109.137646; 10.1111/j.1365-313X.2007.03210.x
Tillering,E022,Auxin,D17,1,MEDIUM,True,1,10.1104/pp.109.137646
Tillering,E023,OsTB1,Tiller_Number,-1,HIGH,True,2,10.1046/j.1365-313X.2003.01648.x; 10.1093/pcp/pcq083
Tillering,E024,OsTB1,D14,1,MEDIUM,True,1,10.1038/ncomms2542
Tillering,E025,OsMADS57,D14,-1,HIGH,True,1,10.1038/ncomms2542
Tillering,E026,miR444,OsMADS57,-1,HIGH,True,1,10.1038/ncomms2542
Tillering,E027,MOC1,Tiller_Number,1,HIGH,True,2,10.1038/nature01518; 10.1038/s41467-019-10667-2
Tillering,E028,MOC1,OSH1,1,HIGH,True,1,10.1038/ncomms1716
Tillering,E029,TAD1,MOC1,-1,HIGH,True,1,10.1038/ncomms1743
Tillering,E030,TE,MOC1,-1,HIGH,True,1,10.1038/ncomms1716
