network,method,path_length,n_correct,n_total,accuracy_pct
Tillering,Algebraic,1,18,21,85.71
Tillering,Algebraic,2,31,43,72.09
Tillering,Algebraic,3,41,53,77.36
Tillering,Algebraic,4,14,17,82.35
Tillering,Algebraic,5,10,11,90.91
Tillering,Algebraic,6,17,19,89.47
Tillering,Algebraic,7,1,1,100.0
Tillering,ODE,1,17,21,80.95
Tillering,ODE,2,34,43,79.07
Tillering,ODE,3,41,53,77.36
Tillering,ODE,4,13,17,76.47
Tillering,ODE,5,8,11,72.73
Tillering,ODE,6,16,19,84.21
Tillering,ODE,7,1,1,100.0
Tillering,RWR,1,18,21,85.71
Tillering,RWR,2,33,43,76.74
Tillering,RWR,3,34,53,64.15
Tillering,RWR,4,9,17,52.94
Tillering,RWR,5,5,11,45.45
Tillering,RWR,6,4,19,21.05
Tillering,RWR,7,0,1,0.0
