source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Strigolactone,HORMONE,D14,GENE,activation,post-translational,HIGH,"SL binds D14 alpha/beta hydrolase, induces conformational change and formation of D14-D3-D53 complex",,,,,,D53 was shown to interact with D14 by pull-down assay. Interaction enhanced by GR24 in a dose-dependent manner.,,
D14,GENE,D53,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,D14 recruits SCF-D3 E3 ligase to ubiquitinate D53 for 26S proteasomal degradation,,,,,,D53 protein levels decreased rapidly upon GR24 treatment in wild-type seedlings. Mutations at Ser-His-Asp catalytic triad could attenuate the SL-induced degradation of D53.,,
D3,GENE,D53,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,D3 is the F-box subunit of SCF complex that ubiquitinates D53; required for proteasomal degradation,,,,,,"SLs induce D53 degradation by the proteasome and abrogate its activity in promoting axillary bud outgrowth, in a D14- and D3-dependent manner.",,
D53,PROTEIN_COMPLEX,IPA1,GENE,repression,post-translational,HIGH,D53 binds IPA1 via direct protein-protein interaction and represses IPA1 transcriptional activation activity,,,,,,D53 physically interacts with IPA1 in vivo and in vitro and suppresses the transcriptional activation activity of IPA1.,,
D53,PROTEIN_COMPLEX,MOC1,GENE,inhibition,post-translational,MEDIUM,D53 physically interacts with MOC1 to repress tiller bud outgrowth,,,,,,D53 interacts with MOC1 to repress MOC1 activity in tiller regulation.,,
D53,PROTEIN_COMPLEX,OsCKX9,GENE,repression,transcriptional,HIGH,D53 represses OsCKX9 expression; SL-induced D53 degradation derepresses OsCKX9,,,,,,D53 represses OsCKX9; knockdown of D53 increases OsCKX9 expression.,,
IPA1,GENE,OsTB1,GENE,activation,transcriptional,HIGH,IPA1 directly binds GTAC motif in OsTB1 promoter via SBP domain and activates transcription,,,,,,IPA1 could directly bind to the promoter of rice TEOSINTE BRANCHED1 via GTAC motif binding to suppress rice tillering.,,
IPA1,GENE,D53,PROTEIN_COMPLEX,activation,transcriptional,HIGH,IPA1 directly binds GTAC element in D53 promoter and activates D53 transcription (negative feedback loop with D53 protein repressing IPA1),,,,,,"IPA1 directly binds D53 promoter GTAC element and activates D53 transcription, forming negative feedback loop.",,
IPA1,GENE,OsDEP1,GENE,activation,transcriptional,HIGH,"IPA1 binds GTAC core motifs in OsDEP1 promoter, activating panicle morphology gene",,,,,,IPA1 can directly bind to the promoter of DEP1 at different sites with GTAC core motifs.,,
IPA1,GENE,OsLOG,GENE,activation,transcriptional,MEDIUM,IPA1 directly binds OsLOG promoter; OsLOG is cytokinin activating enzyme,,,,,,EMSA assays confirmed that IPA1 could directly target the promoter or first intron of LOG.,,
IPA1,GENE,OsPIN1b,GENE,activation,transcriptional,MEDIUM,IPA1 directly binds OsPIN1b promoter to activate auxin efflux carrier expression,,,,,,EMSA confirmed IPA1 could directly target PIN1b promoter.,,
IPA1,GENE,OsHK4,GENE,activation,transcriptional,HIGH,"IPA1 activates OsHK4 via TGGGCC motif binding with TCP cofactors PCF1/PCF2, completing positive feedback loop",,,,,,IPA1 upregulates its expression through interactions with 2 TCP transcription factors; binds TGGGCC motifs in OsHK4 promoter via PCF1/PCF2 heterotrimers.,,
miR156,REGULATORY_RNA,IPA1,GENE,repression,post-transcriptional,HIGH,OsmiR156 cleaves IPA1/OsSPL14 mRNA via miR156 recognition site in 3' region,,,,,,One nucleotide substitution in the OsmiR156 recognition site perturbs OsmiR156-directed mRNA degradation; accumulation of OsSPL14 leads to ideal plant architecture.,,
miR529,REGULATORY_RNA,IPA1,GENE,repression,post-transcriptional,MEDIUM,miR529a cleaves OsSPL14/IPA1 mRNA at the same site as miR156,,,,,,"MiR529a regulates panicle architecture and grain size through altering the expression of OsSPL2, OsSPL7, OsSPL14, OsSPL16, OsSPL17 and OsSPL18.",,
IPI1,GENE,IPA1,GENE,inhibition,post-translational,HIGH,"IPI1 is a RING-type E3 ubiquitin ligase that ubiquitinates IPA1; K48-linked chains in panicle drive degradation, K63 chains in shoot apex are non-proteolytic",,,,,,"IPI1 could promote targeting of the IPA1 complex with different polyubiquitin chains, and the diverse fate of IPA1 proteins could in turn regulate downstream genes; IPI1 promotes degradation of IPA1 in panicles.",,
OsSHI1,GENE,IPA1,GENE,inhibition,post-translational,HIGH,"OsSHI1 physically interacts with IPA1 and reduces IPA1 DNA binding affinity, inhibiting transcriptional activation activity",,,,,,OsSHI1 repressed the transcriptional activation activity of IPA1 via physical interaction.,,
D27,GENE,Strigolactone,HORMONE,activation,biosynthesis,HIGH,"D27 is iron-containing beta-carotene isomerase, first step of SL biosynthesis converting all-trans to 9-cis-beta-carotene",,,,,,2'-epi-5-deoxystrigol was undetectable in d27 vs. wild-type root exudates.,,
D10,GENE,Strigolactone,HORMONE,activation,biosynthesis,HIGH,D10 encodes CAROTENOID CLEAVAGE DIOXYGENASE 8 (CCD8) cleaving 9-cis-beta-apo-10'-carotenal to carlactone,,,,,,D10 encodes a CAROTENOID CLEAVAGE DIOXYGENASE 8 (CCD8) involved in strigolactone biosynthesis.,,
D17,GENE,Strigolactone,HORMONE,activation,biosynthesis,HIGH,D17/HTD1 encodes CCD7 catalyzing cleavage of 9-cis-beta-carotene to 9-cis-beta-apo-10'-carotenal,,,,,,D17/HIGH-TILLERING DWARF1 (HTD1) acts as enzyme in SL biosynthesis; rice D17 encodes CCD7.,,
OsMAX1,GENE,Strigolactone,HORMONE,activation,biosynthesis,HIGH,"Rice MAX1 homologs (Os900, Os1400, Os1500, Os1900, Os5100) convert carlactone to 4-deoxyorobanchol",,,,,,Rice MAX1 (Os900) and other homologs convert carlactone to 4-deoxyorobanchol (4DO).,,
Auxin,HORMONE,D10,GENE,activation,transcriptional,HIGH,Auxin signaling via AXR1-TIR1 pathway induces D10 expression; positive feedback from apical auxin to SL biosynthesis,,,,,,Exogenous auxin up-regulates D10 in shoots.,,
Auxin,HORMONE,D17,GENE,activation,transcriptional,MEDIUM,Auxin induces D17/HTD1 CCD7 expression (parallel to D10 regulation),,,,,,Auxin induces expression of D17 SL biosynthesis gene.,,
OsTB1,GENE,Tiller_Number,PHENOTYPE,inhibition,developmental,HIGH,OsTB1/FC1 is a TCP family transcription factor expressed in axillary buds that inhibits bud outgrowth; key branching integrator downstream of SL,,,,,,OsTB1 functions as a negative regulator for lateral branching in rice.,,
OsTB1,GENE,D14,GENE,activation,transcriptional,MEDIUM,"OsTB1 physically interacts with OsMADS57 and relieves OsMADS57-mediated repression of D14, activating D14 expression in buds",,,,,,Interaction of OsMADS57 with OsTB1 reduced OsMADS57 inhibition of D14 transcription.,,
OsMADS57,GENE,D14,GENE,repression,transcriptional,HIGH,OsMADS57 binds CArG motif in D14 promoter and directly suppresses D14 transcription,,,,,,OsMADS57 bound to the CArG motif in the promoter and directly suppressed D14 expression.,,
miR444,REGULATORY_RNA,OsMADS57,GENE,repression,post-transcriptional,HIGH,miR444a cleaves OsMADS57 mRNA,,,,,,OsMADS57 gene is targeted and regulated negatively by miR444a.,,
MOC1,GENE,Tiller_Number,PHENOTYPE,activation,developmental,HIGH,MOC1 is a GRAS-family transcription factor essential for axillary meristem initiation and bud outgrowth,,,,,,MOC1 plays an essential role in the initiation of axillary bud formation; loss-of-function mutant moc1 exhibits a monoculm phenotype without tillers.,,
MOC1,GENE,OSH1,GENE,activation,transcriptional,HIGH,MOC1 positively regulates OSH1 expression in developing axillary meristem,,,,,,TE-OE lines had reduced OSH1 expression (inverse relationship via MOC1).,,
TAD1,GENE,MOC1,GENE,inhibition,post-translational,HIGH,TAD1 is Cdh1-type APC/C co-activator; recruits MOC1 to APC/C E3 ligase for cell-cycle-dependent ubiquitination and proteasomal degradation,,,,,,TAD1 interacts directly with MOC1; recruits MOC1 to APC/C and degrades MOC1 in cell-cycle-dependent manner; MOC1 accumulated to a higher level in tad1.,,
TE,GENE,MOC1,GENE,inhibition,post-translational,HIGH,TE is CDC20-type APC/C co-activator; mediates ubiquitin-26S proteasome degradation of MOC1,,,,,,TE mediates the degradation of MOC1 by ubiquitin-26S proteasome pathway; te mutant drastically increased tiller number.,,
SLR1,GENE,MOC1,GENE,activation,post-translational,HIGH,SLR1 DELLA protein physically binds MOC1 and protects it from APC/C-mediated degradation,,,,,,MOC1 is protected from degradation by binding to the DELLA protein SLR1; cell-free protein degradation assay showed degradation of MBP-MOC1 was inhibited by His-Trx-SLR1.,,
Gibberellin,HORMONE,SLR1,GENE,inhibition,post-translational,HIGH,"GA binds GID1 receptor, which promotes ubiquitin-mediated degradation of DELLA SLR1 via SCF-GID2 F-box",,,,,,"GAs trigger the degradation of SLR1, leading to stem elongation.",,
Gibberellin,HORMONE,NGR5,GENE,inhibition,post-translational,HIGH,GA-GID1 complex targets NGR5 (AP2-TF) for proteasomal degradation,,,,,,GA receptor GID1 targets NGR5 for proteolysis by the 26S proteasome.,,
SLR1,GENE,NGR5,GENE,activation,post-translational,HIGH,"SLR1 competes with NGR5 for GID1 binding, preventing NGR5 ubiquitination and degradation",,,,,,SLR1 competes with NGR5 for GID1 and prevents NGR5 from GA-mediated proteolysis.,,
NGR5,GENE,OsTB1,GENE,repression,transcriptional,HIGH,NGR5 recruits PRC2 to OsTB1 promoter depositing H3K27me3 repressive mark,,,,,,NGR5 directly interacts with PRC2 to form a repressive complex at the shoot branching inhibitory genes including OsTB1 in a nitrogen-dependent way.,,
NGR5,GENE,D14,GENE,repression,transcriptional,HIGH,NGR5-PRC2 complex represses D14 via H3K27me3,,,,,,NGR5 recruits PRC2 to branching inhibitory genes such as D14 for H3K27me3 repression.,,
Nitrogen,ENVIRONMENT,NGR5,GENE,activation,signaling,HIGH,Nitrogen supply (nitrate sensing via NRT1.1B) promotes NGR5 accumulation and PRC2 recruitment,,,,,,Nitrogen supply promotes tillering via NGR5 by chromatin modulation at branching-inhibitor genes.,,
NRT1.1B,GENE,Nitrogen,ENVIRONMENT,activation,transport,HIGH,NRT1.1B is a nitrate transporter/transceptor; natural variation (indica vs japonica) affects N uptake and NGR5 activity,,,,,,NRT1.1B is a nitrate transporter and sensor; indica allele shows enhanced nitrogen uptake and tiller response.,,
OsTCP19,GENE,DLT,GENE,repression,transcriptional,HIGH,OsTCP19 TCP TF directly binds DLT promoter and represses its transcription; inhibits N-responsive tillering,,,,,,OsTCP19 directly represses the expression of DWARF AND LOW TILLERING (DLT); N-induced LBD37/LBD39 directly inhibit OsTCP19.,,
DLT,GENE,Tiller_Number,PHENOTYPE,activation,developmental,HIGH,DLT is GRAS-family BR signaling TF promoting tiller outgrowth,,,,,,DLT (DWARF AND LOW TILLERING) plays positive roles in BR signaling and tiller outgrowth.,,
OsLBD37,GENE,OsTCP19,GENE,repression,transcriptional,HIGH,"N-induced OsLBD37 represses OsTCP19 transcription, relieving DLT repression and enabling N-induced tillering",,,,,,Nitrogen-induced LATERAL ORGAN BOUNDARIES DOMAIN proteins OsLBD37 and OsLBD39 can directly repress OsTCP19.,,
Nitrogen,ENVIRONMENT,OsLBD37,GENE,activation,transcriptional,MEDIUM,High nitrogen induces OsLBD37 transcription,,,,,,Nitrogen induces OsLBD37/39 which then repress OsTCP19.,,
OsCKX2,GENE,Cytokinin,HORMONE,inhibition,metabolism,HIGH,"OsCKX2/Gn1a irreversibly degrades cytokinin (N6-isopentenyladenine, trans-zeatin)",,,,,,Gn1a encodes cytokinin oxidase/dehydrogenase (OsCKX2); reduced expression causes cytokinin accumulation in inflorescence meristems.,,
OsCKX4,GENE,Cytokinin,HORMONE,inhibition,metabolism,MEDIUM,OsCKX4 degrades cytokinin; represses tiller outgrowth,,,,,,Multiple cytokinin oxidase genes including OsCKX4 are reported to repress tiller outgrowth through CK degradation.,,
OsCKX9,GENE,Cytokinin,HORMONE,inhibition,metabolism,HIGH,OsCKX9 degrades cytokinin; nuclear/cytosolic dual-localized enzyme,,,,,,OsCKX9 functions as a cytosolic and nuclear dual-localized CK catabolic enzyme.,,
OsCKX11,GENE,Cytokinin,HORMONE,inhibition,metabolism,MEDIUM,OsCKX11 degrades cytokinin; coordinates source-sink relationship,,,,,,OsCKX11 degrades cytokinin; knockout increases tiller number and alters source-sink relationship.,,
Cytokinin,HORMONE,Tiller_Number,PHENOTYPE,activation,signaling,HIGH,Cytokinins are transported acropetally to axillary buds and promote bud outgrowth directly and via derepression of MOC1 target axillary meristem activity,,,,,,"Cytokinins are transported acropetally in xylem, and enter axillary buds and promote outgrowth.",,
