test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,MOC1,knockout,,,,,,decreased,strong,,,,,,Loss-of-function mutant of MOC1 exhibits a monoculm phenotype without tillers.,,,Oryza sativa,
T002,MOC1,overexpression,,,,,,increased,strong,,,,,,"Overexpression of MOC1 leads to the formation of higher-order tillers such as tertiary, quaternary, and quinary.",,,Oryza sativa,
T003,MOC3,knockout,,,,,,decreased,strong,,,,,,moc3 mutant cannot form normal axillary meristems; severely reduced tillers.,,,Oryza sativa,
T004,MOC2,knockout,,,,,,decreased,strong,,,,,,Loss of MOC2 causes a significant reduction in tiller number.,,,Oryza sativa,
T005,LAX1,knockout,,,,,,decreased,moderate,,,,,,lax1 single mutant shows reduced axillary bud formation.,,,Oryza sativa,
T006,LAX2,knockout,,,,,,decreased,moderate,,,,,,lax2 single mutant: sparse panicle; reduced secondary branches and spikelets; fewer tillers.,,,Oryza sativa,
T007,LAX1_LAX2,double_mutant,,,,,,decreased,strong,,,,,,lax1 lax2 double mutant: severe reduction in secondary branches and spikelets; dramatic tiller loss; 'All SBs and spikelets except terminal spikelets were absent'.,,,Oryza sativa,
T008,LAX2_MOC1,double_mutant,,,,,,decreased,strong,,,,,,lax2 moc1 double mutant: complete loss of all branching except primary branches; monoculm.,,,Oryza sativa,
T009,TAB1,knockout,,,,,,decreased,strong,,,,,,tab1-1 produces no tillers even in 2-month-old shoots.,,,Oryza sativa,
T010,FON2,knockout,,,,,,increased,moderate,,,,,,In fon2 mutant sizes of the SAM and inflorescence meristem were increased; axillary meristems increased.,,,Oryza sativa,
T011,FON2,overexpression,,,,,,decreased,moderate,,,,,,"In FON2 overexpressor, axillary meristem formation is inhibited.",,,Oryza sativa,
T012,TAB1_FON2,double_mutant,,,,,,increased,slight,,,,,,tab1 fon2 double mutant produces a few tillers (partial rescue of tab1 tillerless phenotype).,,,Oryza sativa,
T013,D3,knockout,,,,,,increased,strong,,,,,,d3 mutant is tillering dwarf with excessive tillers.,,,Oryza sativa,
T014,D14,knockout,,,,,,increased,strong,,,,,,d14 mutant shows accelerated outgrowth of tillers; SL-insensitive.,,,Oryza sativa,
T015,D53,gain_of_function,,,,,,increased,strong,,,,,,d53 dominant mutant has total tiller number about three times that of wild type.,,,Oryza sativa,
T016,D53,overexpression,,,,,,increased,moderate,,,,,,pActin::D53-GFP transgenic plants showed moderate increase in tillering.,,,Oryza sativa,
T017,D10,knockout,,,,,,increased,strong,,,,,,d10 SL-biosynthesis mutant shows high-tillering dwarf phenotype.,,,Oryza sativa,
T018,D17,knockout,,,,,,increased,strong,,,,,,d17/htd1 SL-biosynthesis mutant shows high-tillering dwarf phenotype.,,,Oryza sativa,
T019,D27,knockout,,,,,,increased,strong,,,,,,d27 final tiller number is three times that of the wild type.,,,Oryza sativa,
T020,D88,knockout,,,,,,increased,moderate,,,,,,d88/d14L weak SL-insensitive phenotype with moderately increased tillers.,,,Oryza sativa,
T021,OsMAX1,knockout,,,,,,increased,moderate,,,,,,Os900 max1 mutant shows increased tillers.,,,Oryza sativa,
T022,OsTB1,knockout,,,,,,increased,strong,,,,,,fc1 mutant (OsTB1 loss-of-function) causes increase in the number of tillers; NIL-fc1 produces 143% more panicles.,,,Oryza sativa,
T023,OsTB1,overexpression,,,,,,decreased,strong,,,,,,Transgenic rice plants overexpressing OsTB1 exhibited markedly reduced lateral branching.,,,Oryza sativa,
T024,IPA1,gain_of_function,,,,,,decreased,strong,,,,,,"ipa1-1D: miR156 binding site mutation, IPA1 accumulation, reduced tiller number.",,,Oryza sativa,
T025,IPA1,gain_of_function,,,,,,decreased,moderate,,,,,,"ipa1-2D novel allele generates large panicles and moderate panicle number, with reduced tillers.",,,Oryza sativa,
T026,IPA1,knockdown,,,,,,increased,moderate,,,,,,"ipa1-10 loss-of-function: more tillers, smaller panicles.",,,Oryza sativa,
