test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,MOC1,knockout,,,,WT,Tiller_Number,decreased,strong,,,,,,Loss-of-function mutant of MOC1 exhibits a monoculm phenotype without tillers.,,,Oryza sativa,moc1 KO — monoculm
T002,MOC1,overexpression,,,,WT,Tiller_Number,increased,strong,,,,,,"Overexpression of MOC1 leads to the formation of higher-order tillers such as tertiary, quaternary, and quinary.",,,Oryza sativa,MOC1 OE increases tillers
T003,MOC3,knockout,,,,WT,Tiller_Number,decreased,strong,,,,,,moc3 mutant cannot form normal axillary meristems; severely reduced tillers.,,,Oryza sativa,moc3 KO reduces tillers
T004,MOC2,knockout,,,,WT,Tiller_Number,decreased,strong,,,,,,Loss of MOC2 causes a significant reduction in tiller number.,,,Oryza sativa,"moc2 KO (fructose-1,6-BPase, low sugar)"
T005,LAX1,knockout,,,,WT,Tiller_Number,decreased,moderate,,,,,,lax1 single mutant shows reduced axillary bud formation.,,,Oryza sativa,lax1 KO reduces axillary meristems
T006,LAX2,knockout,,,,WT,Tiller_Number,decreased,moderate,,,,,,lax2 single mutant: sparse panicle; reduced secondary branches and spikelets; fewer tillers.,,,Oryza sativa,OsLAX2 not represented as a separate node; LAX1 node is LAX1-specific
T007,LAX1_LAX2,double_mutant,,,,WT,Tiller_Number,decreased,strong,,,,,,lax1 lax2 double mutant: severe reduction in secondary branches and spikelets; dramatic tiller loss; 'All SBs and spikelets except terminal spikelets were absent'.,,,Oryza sativa,lax1 lax2 double — LAX2 absent; only LAX1 encoded
T008,LAX2_MOC1,double_mutant,,,,WT,Tiller_Number,decreased,strong,,,,,,lax2 moc1 double mutant: complete loss of all branching except primary branches; monoculm.,,,Oryza sativa,lax2 moc1 — LAX2 not in network; only MOC1 encoded
T009,TAB1,knockout,,,,WT,Tiller_Number,decreased,strong,,,,,,tab1-1 produces no tillers even in 2-month-old shoots.,,,Oryza sativa,TAB1 (OsWUS-like) not in network
T010,FON2,knockout,,,,WT,Tiller_Number,increased,moderate,,,,,,In fon2 mutant sizes of the SAM and inflorescence meristem were increased; axillary meristems increased.,,,Oryza sativa,fon2 KO increases meristem size
T011,FON2,overexpression,,,,WT,Tiller_Number,decreased,moderate,,,,,,"In FON2 overexpressor, axillary meristem formation is inhibited.",,,Oryza sativa,FON2 OE reduces tillers
T012,TAB1_FON2,double_mutant,,,,WT,Tiller_Number,increased,slight,,,,,,tab1 fon2 double mutant produces a few tillers (partial rescue of tab1 tillerless phenotype).,,,Oryza sativa,tab1 fon2 double — TAB1 not in network; only FON2 encoded
T013,D3,knockout,,,,WT,Tiller_Number,increased,strong,,,,,,d3 mutant is tillering dwarf with excessive tillers.,,,Oryza sativa,"d3 KO — SL F-box lost, high tillers"
T014,D14,knockout,,,,WT,Tiller_Number,increased,strong,,,,,,d14 mutant shows accelerated outgrowth of tillers; SL-insensitive.,,,Oryza sativa,"d14 KO — SL receptor lost, high tillers"
T015,D53,gain_of_function,,,,WT,Tiller_Number,increased,strong,,,,,,d53 dominant mutant has total tiller number about three times that of wild type.,,,Oryza sativa,d53-D dominant GOF — stabilised D53 (Trap-5 encoding)
T016,D53,overexpression,,,,WT,Tiller_Number,increased,moderate,,,,,,pActin::D53-GFP transgenic plants showed moderate increase in tillering.,,,Oryza sativa,D53 OE accumulates D53 repressor
T017,D10,knockout,,,,WT,Tiller_Number,increased,strong,,,,,,d10 SL-biosynthesis mutant shows high-tillering dwarf phenotype.,,,Oryza sativa,"d10 KO — CCD8, SL biosynthesis"
T018,D17,knockout,,,,WT,Tiller_Number,increased,strong,,,,,,d17/htd1 SL-biosynthesis mutant shows high-tillering dwarf phenotype.,,,Oryza sativa,"d17 KO — CCD7, SL biosynthesis"
T019,D27,knockout,,,,WT,Tiller_Number,increased,strong,,,,,,d27 final tiller number is three times that of the wild type.,,,Oryza sativa,"d27 KO — iron-containing, SL biosynthesis"
T020,D88,knockout,,,,WT,Tiller_Number,increased,moderate,,,,,,d88/d14L weak SL-insensitive phenotype with moderately increased tillers.,,,Oryza sativa,D88 dwarf locus not represented in network
T021,OsMAX1,knockout,,,,WT,Tiller_Number,increased,moderate,,,,,,Os900 max1 mutant shows increased tillers.,,,Oryza sativa,OsMAX1 (canonical CYP711A) — MAX1 node
