node,node_type,activators,inhibitors,formula
ABA,,NCED1,,"ABA = (max(NCED1, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
AHP,,HK4,,"AHP = (max(HK4, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
Ammonium,,,,Ammonium = gene_modifier + exogenous_supply
Auxin,,"TAR2,YUCCA",Decapitation,"Auxin = (max(TAR2, 0.01) * max(YUCCA, 0.01))^(1/2) * min(1/max(Decapitation, 0.1), 10.0) * gene_modifier + exogenous_supply"
BZR1,,Brassinosteroid,,"BZR1 = (max(Brassinosteroid, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
Brassinosteroid,,,,Brassinosteroid = gene_modifier + exogenous_supply
CCA1,,Light,"PRR1,Sucrose","CCA1 = (max(Light, 0.01))^(1/1) * min(1/max(PRR1 * Sucrose, 0.1), 10.0) * gene_modifier + exogenous_supply"
CKX2,,DST,,"CKX2 = (max(DST, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
CKX9,,,D53,"CKX9 = 1.0 * min(1/max(D53, 0.1), 10.0) * gene_modifier + exogenous_supply"
Cytokinin,,"IPT,LOG","CKX2,CKX9,RR_TYPEA","Cytokinin = (max(IPT, 0.01) * max(LOG, 0.01))^(1/2) * min(1/max(CKX2 * CKX9 * RR_TYPEA, 0.1), 10.0) * gene_modifier + exogenous_supply"
D10,,"CCA1,TIR1","ABA,Nitrogen,Phosphate","D10 = (max(CCA1, 0.01) * max(TIR1, 0.01))^(1/2) * min(1/max(ABA * Nitrogen * Phosphate, 0.1), 10.0) * gene_modifier + exogenous_supply"
D14,,"CCA1,Strigolactone","MADS57,NGR5","D14 = (max(CCA1, 0.01) * max(Strigolactone, 0.01))^(1/2) * min(1/max(MADS57 * NGR5, 0.1), 10.0) * gene_modifier + exogenous_supply"
D17,,TIR1,"Nitrogen,Phosphate","D17 = (max(TIR1, 0.01))^(1/1) * min(1/max(Nitrogen * Phosphate, 0.1), 10.0) * gene_modifier + exogenous_supply"
D27,,,"Nitrogen,Phosphate","D27 = 1.0 * min(1/max(Nitrogen * Phosphate, 0.1), 10.0) * gene_modifier + exogenous_supply"
D3,,,,D3 = gene_modifier + exogenous_supply
D53,,"IPA1,Sucrose","D14,D3","D53 = (max(IPA1, 0.01) * max(Sucrose, 0.01))^(1/2) * min(1/max(D14 * D3, 0.1), 10.0) * gene_modifier + exogenous_supply"
DLT,,Brassinosteroid,TCP19,"DLT = (max(Brassinosteroid, 0.01))^(1/1) * min(1/max(TCP19, 0.1), 10.0) * gene_modifier + exogenous_supply"
DST,,,,DST = gene_modifier + exogenous_supply
DTN1,,,,DTN1 = gene_modifier + exogenous_supply
Decapitation,,,,Decapitation = gene_modifier + exogenous_supply
FON1,,MOC3,,"FON1 = (max(MOC3, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
FON2,,,,FON2 = gene_modifier + exogenous_supply
GA20OX2,,,,GA20OX2 = gene_modifier + exogenous_supply
GATA8,,,,GATA8 = gene_modifier + exogenous_supply
GID1,,Gibberellin,,"GID1 = (max(Gibberellin, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
Gibberellin,,GA20OX2,,"Gibberellin = (max(GA20OX2, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
HK4,,"Cytokinin,IPA1",,"HK4 = (max(Cytokinin, 0.01) * max(IPA1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
IPA1,,"CCA1,IPI1,RR21","D53,NGR5,SHI1,miR156","IPA1 = (max(CCA1, 0.01) * max(IPI1, 0.01) * max(RR21, 0.01))^(1/3) * min(1/max(D53 * NGR5 * SHI1 * miR156, 0.1), 10.0) * gene_modifier + exogenous_supply"
IPI1,,,,IPI1 = gene_modifier + exogenous_supply
IPT,,,TIR1,"IPT = 1.0 * min(1/max(TIR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
LAX1,,MOC1,,"LAX1 = (max(MOC1, 0.01))^(1/1) * 1.0 * gene_modifier + exogenous_supply"
