node,node_type,activators,inhibitors,formula
ABA,,NCED1,,ABA = prod(f(NCED1)) * 1.0 * gene_modifier + exogenous
AHP,,HK4,,AHP = prod(f(HK4)) * 1.0 * gene_modifier + exogenous
Ammonium,,,,Ammonium = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,"TAR2,YUCCA",Decapitation,"Auxin = prod(f(TAR2, YUCCA)) * prod(g(Decapitation)) * gene_modifier + exogenous"
BZR1,,Brassinosteroid,,BZR1 = prod(f(Brassinosteroid)) * 1.0 * gene_modifier + exogenous
Brassinosteroid,,,,Brassinosteroid = 1.0 * 1.0 * gene_modifier + exogenous
CCA1,,Light,"PRR1,Sucrose","CCA1 = prod(f(Light)) * prod(g(PRR1, Sucrose)) * gene_modifier + exogenous"
CKX2,,DST,,CKX2 = prod(f(DST)) * 1.0 * gene_modifier + exogenous
CKX9,,,D53,CKX9 = 1.0 * prod(g(D53)) * gene_modifier + exogenous
Cytokinin,,"IPT,LOG","CKX2,CKX9,RR_TYPEA","Cytokinin = prod(f(IPT, LOG)) * prod(g(CKX2, CKX9, RR_TYPEA)) * gene_modifier + exogenous"
D10,,"CCA1,TIR1","ABA,Nitrogen,Phosphate","D10 = prod(f(CCA1, TIR1)) * prod(g(ABA, Nitrogen, Phosphate)) * gene_modifier + exogenous"
D14,,"CCA1,Strigolactone","MADS57,NGR5","D14 = prod(f(CCA1, Strigolactone)) * prod(g(MADS57, NGR5)) * gene_modifier + exogenous"
D17,,TIR1,"Nitrogen,Phosphate","D17 = prod(f(TIR1)) * prod(g(Nitrogen, Phosphate)) * gene_modifier + exogenous"
D27,,,"Nitrogen,Phosphate","D27 = 1.0 * prod(g(Nitrogen, Phosphate)) * gene_modifier + exogenous"
D3,,,,D3 = 1.0 * 1.0 * gene_modifier + exogenous
D53,,"IPA1,Sucrose","D14,D3","D53 = prod(f(IPA1, Sucrose)) * prod(g(D14, D3)) * gene_modifier + exogenous"
DLT,,Brassinosteroid,TCP19,DLT = prod(f(Brassinosteroid)) * prod(g(TCP19)) * gene_modifier + exogenous
DST,,,,DST = 1.0 * 1.0 * gene_modifier + exogenous
DTN1,,,,DTN1 = 1.0 * 1.0 * gene_modifier + exogenous
Decapitation,,,,Decapitation = 1.0 * 1.0 * gene_modifier + exogenous
FON1,,MOC3,,FON1 = prod(f(MOC3)) * 1.0 * gene_modifier + exogenous
FON2,,,,FON2 = 1.0 * 1.0 * gene_modifier + exogenous
GA20OX2,,,,GA20OX2 = 1.0 * 1.0 * gene_modifier + exogenous
GATA8,,,,GATA8 = 1.0 * 1.0 * gene_modifier + exogenous
GID1,,Gibberellin,,GID1 = prod(f(Gibberellin)) * 1.0 * gene_modifier + exogenous
Gibberellin,,GA20OX2,,Gibberellin = prod(f(GA20OX2)) * 1.0 * gene_modifier + exogenous
HK4,,"Cytokinin,IPA1",,"HK4 = prod(f(Cytokinin, IPA1)) * 1.0 * gene_modifier + exogenous"
IPA1,,"CCA1,IPI1,RR21","D53,NGR5,SHI1,miR156","IPA1 = prod(f(CCA1, IPI1, RR21)) * prod(g(D53, NGR5, SHI1, miR156)) * gene_modifier + exogenous"
IPI1,,,,IPI1 = 1.0 * 1.0 * gene_modifier + exogenous
IPT,,,TIR1,IPT = 1.0 * prod(g(TIR1)) * gene_modifier + exogenous
LAX1,,MOC1,,LAX1 = prod(f(MOC1)) * 1.0 * gene_modifier + exogenous
LBD37,,Nitrogen,,LBD37 = prod(f(Nitrogen)) * 1.0 * gene_modifier + exogenous
LOG,,IPA1,,LOG = prod(f(IPA1)) * 1.0 * gene_modifier + exogenous
Light,,,,Light = 1.0 * 1.0 * gene_modifier + exogenous
MADS57,,,miR444,MADS57 = 1.0 * prod(g(miR444)) * gene_modifier + exogenous
MAX1,,,,MAX1 = 1.0 * 1.0 * gene_modifier + exogenous
MAX1_1900,,Nitrogen,,MAX1_1900 = prod(f(Nitrogen)) * 1.0 * gene_modifier + exogenous
MOC1,,SLR1,"D53,TAD1,TE","MOC1 = prod(f(SLR1)) * prod(g(D53, TAD1, TE)) * gene_modifier + exogenous"
MOC2,,,,MOC2 = 1.0 * 1.0 * gene_modifier + exogenous
MOC3,,MOC1,FON2,MOC3 = prod(f(MOC1)) * prod(g(FON2)) * gene_modifier + exogenous
NCED1,,HOX12,,NCED1 = prod(f(HOX12)) * 1.0 * gene_modifier + exogenous
NGR5,,"NRT1_1B,Nitrogen,SLR1,Sucrose",GID1,"NGR5 = prod(f(NRT1_1B, Nitrogen, SLR1, Sucrose)) * prod(g(GID1)) * gene_modifier + exogenous"
NRT1_1B,,,,NRT1_1B = 1.0 * 1.0 * gene_modifier + exogenous
Nitrogen,,,,Nitrogen = 1.0 * 1.0 * gene_modifier + exogenous
HOX12,,,,HOX12 = 1.0 * 1.0 * gene_modifier + exogenous
TIR1,,Auxin,,TIR1 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
PIN1B,,IPA1,,PIN1B = prod(f(IPA1)) * 1.0 * gene_modifier + exogenous
PIN9,,Ammonium,,PIN9 = prod(f(Ammonium)) * 1.0 * gene_modifier + exogenous
PRR1,,Photoperiod,CCA1,PRR1 = prod(f(Photoperiod)) * prod(g(CCA1)) * gene_modifier + exogenous
Phosphate,,,,Phosphate = 1.0 * 1.0 * gene_modifier + exogenous
Photoperiod,,,,Photoperiod = 1.0 * 1.0 * gene_modifier + exogenous
RR21,,AHP,,RR21 = prod(f(AHP)) * 1.0 * gene_modifier + exogenous
RR_TYPEA,,AHP,,RR_TYPEA = prod(f(AHP)) * 1.0 * gene_modifier + exogenous
SHI1,,,,SHI1 = 1.0 * 1.0 * gene_modifier + exogenous
SLR1,,,GID1,SLR1 = 1.0 * prod(g(GID1)) * gene_modifier + exogenous
Strigolactone,,"D10,D17,D27,MAX1,MAX1_1900,T20",,"Strigolactone = prod(f(D10, D17, D27, MAX1, MAX1_1900, T20)) * 1.0 * gene_modifier + exogenous"
Sucrose,,"DTN1,MOC2",,"Sucrose = prod(f(DTN1, MOC2)) * 1.0 * gene_modifier + exogenous"
T20,,,,T20 = 1.0 * 1.0 * gene_modifier + exogenous
T6P,,Sucrose,,T6P = prod(f(Sucrose)) * 1.0 * gene_modifier + exogenous
TAD1,,,,TAD1 = 1.0 * 1.0 * gene_modifier + exogenous
TAR2,,,,TAR2 = 1.0 * 1.0 * gene_modifier + exogenous
TB1,,"BZR1,CCA1,IPA1","Cytokinin,HK4,NGR5,T6P,VIL2","TB1 = prod(f(BZR1, CCA1, IPA1)) * prod(g(Cytokinin, HK4, NGR5, T6P, VIL2)) * gene_modifier + exogenous"
TCP19,,,"GATA8,LBD37","TCP19 = 1.0 * prod(g(GATA8, LBD37)) * gene_modifier + exogenous"
TE,,,,TE = 1.0 * 1.0 * gene_modifier + exogenous
Tiller_Number,,"DLT,FON1,LAX1,PIN9","ABA,PIN1B,TB1","Tiller_Number = prod(f(DLT, FON1, LAX1, PIN9)) * prod(g(ABA, PIN1B, TB1)) * gene_modifier + exogenous"
VIL2,,,,VIL2 = 1.0 * 1.0 * gene_modifier + exogenous
YUCCA,,,,YUCCA = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,,miR156 = 1.0 * 1.0 * gene_modifier + exogenous
miR444,,,,miR444 = 1.0 * 1.0 * gene_modifier + exogenous
